Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR9929263_1 - illumina_universal_adapter	(1, 8.997900789745752e-06)	(2, 1.1997201052994337e-05)	(3, 2.3994402105988674e-05)	(4, 3.5991603158983006e-05)	(5, 3.5991603158983006e-05)	(6, 9.897690868720328e-05)	(7, 0.00010197620895045186)	(8, 0.00010797480947694903)	(9, 0.0001139734100034462)	(10, 0.00014546606276755634)	(12, 0.00015296431342567778)	(14, 0.00018745626645303652)	(16, 0.00023544507066501386)	(18, 0.0002579398226393783)	(20, 0.00037191323264282447)	(22, 0.00046939049119840343)	(24, 0.0005278768463317508)	(26, 0.0005878628515967225)	(28, 0.0006733429090993071)	(30, 0.000775319118049759)	(32, 0.0009537774837130497)	(34, 0.001268704011354151)	(36, 0.0016496151447867213)	(38, 0.0022974640016484157)	(40, 0.003297730639441818)	(42, 0.004869363977384076)	(44, 0.007103842673504271)	(46, 0.010071650283988745)	(48, 0.014596094731099234)	(50, 0.021665445451576146)	(52, 0.031734096435301645)	(54, 0.04379728209408745)	(56, 0.05874129565572352)	(58, 0.07990435831320553)	(60, 0.10771387035404639)	(62, 0.14526211034965542)	(64, 0.19047656181812783)	(66, 0.24617206805652242)	(68, 0.3188766060877997)	(70, 0.4077083816345647)	(72, 0.5196197727070275)	(74, 0.6603034512048339)	(76, 0.8285177068189991)	(78, 1.0327145676913576)	(80, 1.2718202843276663)	(82, 1.5766571658831994)	(84, 1.952421500064035)	(86, 2.3897674672498903)	(88, 2.9292546049006765)	(90, 3.367116451731811)
SRR9929263_2 - illumina_universal_adapter	(1, 8.997900789745752e-06)	(2, 1.4996501316242921e-05)	(3, 1.7995801579491503e-05)	(4, 2.6993702369237258e-05)	(5, 2.6993702369237258e-05)	(6, 5.69867050017231e-05)	(7, 6.298530552822027e-05)	(8, 6.898390605471743e-05)	(9, 7.198320631796601e-05)	(10, 0.00010497550921370044)	(12, 0.00011997201052994337)	(14, 0.00016046256408379925)	(16, 0.00021594961895389807)	(18, 0.0002459426215863839)	(20, 0.0003674142822479515)	(22, 0.00047688874185652485)	(24, 0.000533875446858248)	(26, 0.0005998600526497169)	(28, 0.0006898390605471743)	(30, 0.0007978138700241234)	(32, 0.000980771186082287)	(34, 0.0013016963142498854)	(36, 0.00168410709781408)	(38, 0.0023409538554655203)	(40, 0.003350218394048668)	(42, 0.0049098545309379325)	(44, 0.00712783707561026)	(46, 0.010097144336226358)	(48, 0.014581098229782992)	(50, 0.021612957696969297)	(52, 0.03159162967279734)	(54, 0.043585831425528423)	(56, 0.058417371227292667)	(58, 0.07937198251647891)	(60, 0.10692805368507527)	(62, 0.14419735875620218)	(64, 0.18910288229755998)	(66, 0.2444984585096297)	(68, 0.3168910693135292)	(70, 0.4052894459722547)	(72, 0.5167449434047037)	(74, 0.6567597779438057)	(76, 0.8240742434789964)	(78, 1.0274073058755393)	(80, 1.2645604780404731)	(82, 1.5668329578709286)	(84, 1.9394855180286439)	(86, 2.37303737038149)	(88, 2.907935578629506)	(90, 3.342054298732106)
SRR9929263_2 - polya	(1, 0.004582930802243836)	(2, 0.010047655881882757)	(3, 0.02159196259512656)	(4, 0.03349918464022344)	(5, 0.04667211139641122)	(6, 0.059509116523115156)	(7, 0.07415170040829475)	(8, 0.09250741801937608)	(9, 0.11330756534500501)	(10, 0.14287916629050443)	(12, 0.18318526287817052)	(14, 0.22360383322570843)	(16, 0.26393992281600703)	(18, 0.30117773523436986)	(20, 0.33792966101008637)	(22, 0.36896192118378784)	(24, 0.3964640049476457)	(26, 0.42152315864708767)	(28, 0.4452746174317532)	(30, 0.4677948634583552)	(32, 0.4888994397607038)	(34, 0.5089452630701257)	(36, 0.5282217658620244)	(38, 0.5468549187474563)	(40, 0.5635400261119081)	(42, 0.5794078241546248)	(44, 0.5950761687298354)	(46, 0.6102226350592407)	(48, 0.6239759264163671)	(50, 0.6380096523481071)	(52, 0.6509576315845513)	(54, 0.6634692126326928)	(56, 0.6760752716391266)	(58, 0.6886963271468767)	(60, 0.7005960509413154)	(62, 0.7119903926413969)	(64, 0.7233697378401619)	(66, 0.7354644161517118)	(68, 0.7474241259514155)	(70, 0.7586400092858336)	(72, 0.7688991158362755)	(74, 0.7796516072800215)	(76, 0.7890049251509623)	(78, 0.7978468623270192)	(80, 0.8092816945806542)	(82, 0.8187204925090976)	(84, 0.8271455269485629)	(86, 0.835798508208035)	(88, 0.8440540821826268)	(90, 0.8497287582806932)
SRR9929263_2 - polyg	(1, 0.5690002522411521)	(2, 0.5770623713487644)	(3, 0.5772243335629798)	(4, 0.5773143125708772)	(5, 0.5773922943777217)	(6, 0.5775032684874619)	(7, 0.5776202411977286)	(8, 0.5778631845190517)	(9, 0.5781871089474826)	(10, 0.5787749717990793)	(12, 0.5798187282906897)	(14, 0.5802596254293874)	(16, 0.5803571026879428)	(18, 0.5804230872937344)	(20, 0.5804815736488678)	(22, 0.5805220642024216)	(24, 0.580580550557555)	(26, 0.5806330383121618)	(28, 0.5806660306150575)	(30, 0.5807215176699276)	(32, 0.580768006824008)	(34, 0.5808234938788781)	(36, 0.5808729823332217)	(38, 0.5809419662392763)	(40, 0.5810289459469106)	(42, 0.5811279228555978)	(44, 0.5812643910175757)	(46, 0.5814083574302116)	(48, 0.5815178318898202)	(50, 0.58163780390035)	(52, 0.5817397801093005)	(54, 0.5818117633156185)	(56, 0.581921237775227)	(58, 0.5820112167831245)	(60, 0.5820712027883894)	(62, 0.5821356877440493)	(64, 0.5822121699007622)	(66, 0.5822931510078699)	(68, 0.5823516373630032)	(70, 0.5824221209191895)	(72, 0.5824791076241913)	(74, 0.5825315953787982)	(76, 0.5826065778853793)	(78, 0.5827070544441981)	(80, 0.5828540201570973)	(82, 0.5830924645280257)	(84, 0.5833429061000068)	(86, 0.5836038452229095)	(88, 0.5839787577558155)	(90, 0.5843296758866157)
SRR9929264_1 - illumina_universal_adapter	(1, 6.312516002228066e-06)	(2, 9.468774003342098e-06)	(3, 9.468774003342098e-06)	(4, 1.2625032004456131e-05)	(5, 1.8937548006684195e-05)	(6, 9.784399803453501e-05)	(7, 0.00010100025603564905)	(8, 0.00011362528804010518)	(9, 0.0001262503200445613)	(10, 0.00013256283604678938)	(12, 0.00015781290005570164)	(14, 0.00018937548006684195)	(16, 0.00023514122108299546)	(18, 0.00025565689809023667)	(20, 0.0003124695421102893)	(22, 0.0004450323781570786)	(24, 0.0005381419891899426)	(26, 0.0007022674052478723)	(28, 0.0010194713343598327)	(30, 0.001350878424476806)	(32, 0.0017753951256266436)	(34, 0.00239086543584388)	(36, 0.002966882521047191)	(38, 0.003937431856389756)	(40, 0.005367216730894413)	(42, 0.007486643978642486)	(44, 0.010579776819734238)	(46, 0.014562974417140148)	(48, 0.02051725513624177)	(50, 0.029910278947557135)	(52, 0.04260159237003666)	(54, 0.05766009929335171)	(56, 0.07555450403066771)	(58, 0.10052997359348306)	(60, 0.13408415240332633)	(62, 0.17765313785070444)	(64, 0.230825038266472)	(66, 0.2966330175896996)	(68, 0.3789829450967658)	(70, 0.482034768833139)	(72, 0.6088532153179008)	(74, 0.763913858396631)	(76, 0.9479473717965876)	(78, 1.166726551401808)	(80, 1.4220299485959198)	(82, 1.7289302734632432)	(84, 2.1068448252266316)	(86, 2.5483548194544676)	(88, 3.0628012017010464)	(90, 3.478549818123789)
SRR9929264_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00018621922206572795)	(4, 0.00023356309208243844)	(5, 0.0002525006400891226)	(6, 0.00026512567209357877)	(7, 0.00026828193009469277)	(8, 0.00027775070409803487)	(9, 0.00031246954211028923)	(10, 0.00032036018711307433)	(12, 0.0003613915411275568)	(14, 0.000385063476135912)	(16, 0.0004103135401448243)	(18, 0.0004260948301503944)	(20, 0.00042925108815150846)	(22, 0.0004355636041537365)	(24, 0.0004513448941593067)	(26, 0.000476594958168219)	(28, 0.000482907474170447)	(30, 0.0005002668931765742)	(32, 0.0005128919251810304)	(34, 0.0005444545051921706)	(36, 0.0005697045692010828)	(38, 0.0006028452782127803)	(40, 0.000665970438235061)	(42, 0.0007259393402562276)	(44, 0.0007622363072690389)	(46, 0.0007859082422773942)	(48, 0.0008206270802896485)	(50, 0.000871127208307473)	(52, 0.0009642368193403369)	(54, 0.001058924559373758)	(56, 0.0011551904284077359)	(58, 0.0012451437814394858)	(60, 0.001344565908474578)	(62, 0.0015071131955319507)	(64, 0.0016728167405904372)	(66, 0.0018811297686639637)	(68, 0.006220984520195759)	(70, 0.13443923142845166)	(72, 0.15064503813517166)	(74, 0.15233363616576767)	(76, 0.15311954440804507)	(78, 0.15364979575223223)	(80, 0.1541800470964194)	(82, 0.15474659540761937)	(84, 0.1553289250088249)	(86, 0.15602330176906998)	(88, 0.156521990533246)	(90, 0.15685339762336298)
SRR9929264_2 - illumina_universal_adapter	(1, 6.312516002228066e-06)	(2, 6.312516002228066e-06)	(3, 6.312516002228066e-06)	(4, 6.312516002228066e-06)	(5, 9.468774003342098e-06)	(6, 1.8937548006684195e-05)	(7, 2.209380600779823e-05)	(8, 3.471883801225436e-05)	(9, 4.418761201559646e-05)	(10, 5.0500128017824525e-05)	(12, 7.259393402562274e-05)	(14, 0.00010415651403676308)	(16, 0.0001530785130540306)	(18, 0.00017675044806238585)	(20, 0.00023514122108299546)	(22, 0.0003740165731320129)	(24, 0.0004718605711665479)	(26, 0.0006296734712222496)	(28, 0.0009516117873358808)	(30, 0.0013082689414617666)	(32, 0.0017406762876143891)	(34, 0.0023545684688310686)	(36, 0.0029716169080488616)	(38, 0.003951635017394769)	(40, 0.005390888665902769)	(42, 0.007535565977659754)	(44, 0.010642901979756519)	(46, 0.014656084028173012)	(48, 0.02061825539227742)	(50, 0.029990763526585543)	(52, 0.042628420563046124)	(54, 0.05758750535932608)	(56, 0.07536197229259976)	(58, 0.10031534804940731)	(60, 0.13388057376225448)	(62, 0.17743062166162593)	(64, 0.2305094124663606)	(66, 0.2960491098594935)	(68, 0.3780913022114511)	(70, 0.4808795784047313)	(72, 0.6075118056674274)	(74, 0.7622299947530367)	(76, 0.9458626633868517)	(78, 1.164375139190978)	(80, 1.4185580647946943)	(82, 1.7241532769785572)	(84, 2.0999815422032095)	(86, 2.5389144517731355)	(88, 3.050212466663603)	(90, 3.4635165612644827)
SRR9929264_2 - polya	(1, 0.0064671726442826535)	(2, 0.013527721792774745)	(3, 0.027794007957810174)	(4, 0.043199703261247765)	(5, 0.05956174473902291)	(6, 0.0761131616968649)	(7, 0.09509805357356581)	(8, 0.11875420729191548)	(9, 0.14488486728313857)	(10, 0.18229283711234207)	(12, 0.23244893300804517)	(14, 0.2815539949893773)	(16, 0.32835972301689786)	(18, 0.3729292422506291)	(20, 0.417432480066337)	(22, 0.454617933706462)	(24, 0.48990332002991627)	(26, 0.5195279576283726)	(28, 0.5475792006132736)	(30, 0.5748287540658916)	(32, 0.6010477892811459)	(34, 0.6264461974161104)	(36, 0.6493180210211833)	(38, 0.6711009356158718)	(40, 0.6907502198018072)	(42, 0.7096909240664926)	(44, 0.7284154246581015)	(46, 0.7469395028666397)	(48, 0.7639327959446377)	(50, 0.7800628524593309)	(52, 0.7954322507957557)	(54, 0.81080007100318)	(56, 0.8260053439235469)	(58, 0.8410938352978725)	(60, 0.8550255581147899)	(62, 0.8687394991296302)	(64, 0.8839163657279872)	(66, 0.9013436442811382)	(68, 0.9172164657687407)	(70, 0.9316090022538207)	(72, 0.9436627515600752)	(74, 0.9549574208170618)	(76, 0.9655608695718043)	(78, 0.9753736756972679)	(80, 0.986448985023177)	(82, 0.9971187151959431)	(84, 1.007258194024522)	(86, 1.016783780671884)	(88, 1.025832772361078)	(90, 1.0322604917803466)
SRR9929264_2 - polyg	(1, 0.7751801213316076)	(2, 0.785734648087333)	(3, 0.7859461173734076)	(4, 0.7860471176294432)	(5, 0.7861418053694766)	(6, 0.7862712119475223)	(7, 0.7864195560735746)	(8, 0.7867762132277005)	(9, 0.787315933345891)	(10, 0.7883196233902453)	(12, 0.7904706132180046)	(14, 0.7913685686193215)	(16, 0.7914932408103654)	(18, 0.7915863504213982)	(20, 0.791662100613425)	(22, 0.7917173351284446)	(24, 0.7917725696434641)	(26, 0.7918325385454852)	(28, 0.7919003980925092)	(30, 0.791950898220527)	(32, 0.7920140233805493)	(34, 0.7921166017655855)	(36, 0.7922254926666239)	(38, 0.7923627898896723)	(40, 0.7925695247887453)	(42, 0.7928188691708333)	(44, 0.7930792604559253)	(46, 0.7933096672900066)	(48, 0.7935116678020779)	(50, 0.7936852619921391)	(52, 0.7938399186341938)	(54, 0.7940166690822561)	(56, 0.7942028883043218)	(58, 0.7944048888163932)	(60, 0.7945895299094583)	(62, 0.7947836397765269)	(64, 0.7949745933855943)	(66, 0.7951844845426683)	(68, 0.7953501880877267)	(70, 0.7954969540847786)	(72, 0.7956295169208254)	(74, 0.7957920642078827)	(76, 0.7960051116229581)	(78, 0.7963033780040633)	(80, 0.7968131136712431)	(82, 0.797472771593476)	(84, 0.7982949768027662)	(86, 0.7991834634300798)	(88, 0.8002723724404641)	(90, 0.8012003122927916)
SRR9929265_1 - illumina_universal_adapter	(1, 1.5452335601983436e-05)	(2, 1.5452335601983436e-05)	(3, 2.7814204083570188e-05)	(4, 2.7814204083570188e-05)	(5, 3.090467120396687e-05)	(6, 0.00011434728345467744)	(7, 0.00011434728345467744)	(8, 0.00013289008617705755)	(9, 0.00013289008617705755)	(10, 0.00014679718821884266)	(12, 0.0001622495238208261)	(14, 0.0002225136326685615)	(16, 0.00030286577779887536)	(18, 0.00036622035376700744)	(20, 0.000445027265337123)	(22, 0.0006505433288435027)	(24, 0.00075561921093699)	(26, 0.000930230603239403)	(28, 0.001205282176954708)	(30, 0.0015993167348052858)	(32, 0.0020412535330220118)	(34, 0.0025913566804526226)	(36, 0.0032125405716523564)	(38, 0.004045421460599264)	(40, 0.0054314959640971786)	(42, 0.007488201832721173)	(44, 0.010217084300031449)	(46, 0.013619688599588202)	(48, 0.01849953618269457)	(50, 0.026202525480283314)	(52, 0.0367611063971186)	(54, 0.049921860629327894)	(56, 0.06581613302952806)	(58, 0.087871251634239)	(60, 0.11775761392203518)	(62, 0.15693082990662338)	(64, 0.20328783671257372)	(66, 0.2607535275827899)	(68, 0.3318651760231177)	(70, 0.420720741435203)	(72, 0.5281222000367889)	(74, 0.6590328420232323)	(76, 0.8132904178707127)	(78, 0.995672789747363)	(80, 1.2096196475581849)	(82, 1.4620180972809824)	(84, 1.7785251969492886)	(86, 2.144572484557554)	(88, 2.579481560542498)	(90, 2.935671803270258)
