Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR9929263_1	(1, 0.014321658757011989)	(2, 0.0005308761465949994)	(3, 0.0033322225924691767)	(4, 5.998600526497168e-06)	(5, 0.0015056487321507893)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.005829140061623623)	(14, 0.0)	(16, 8.847935776583323e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0003674142822479515)	(28, 0.0)	(30, 1.499650131624292e-06)	(32, 0.0)	(34, 0.00048288734238302204)	(36, 0.0)	(38, 1.499650131624292e-06)	(40, 1.3496851184618627e-05)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.00978971605924338)	(54, 0.005907121868468086)	(56, 0.0003569167313265815)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 5.398740473847451e-05)	(68, 0.0)	(70, 4.498950394872876e-06)	(72, 0.0)	(74, 0.0)	(76, 0.0001934548669795337)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0003614156817214544)	(90, 4.498950394872876e-06)	(92, 0.0)	(94, 0.0)	(96, 5.998600526497168e-06)	(98, 4.498950394872876e-06)	(100, 0.0)
SRR9929263_2	(1, 0.019237511888476416)	(2, 1.4996501316242921e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0011787250034566935)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 2.999300263248584e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.002101009834405633)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 2.5494052237612965e-05)	(50, 0.0004154030864599289)	(52, 0.0007903156193660019)	(54, 3.149265276411013e-05)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 4.498950394872876e-06)	(70, 8.997900789745752e-06)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 9.297830816070612e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR9929264_1	(1, 0.014679755963181367)	(2, 0.0005460326341927276)	(3, 0.0032446332251452256)	(4, 0.0)	(5, 0.0013635034564812621)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0058816867850759996)	(14, 0.0)	(16, 9.310961103286397e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0003187820581125173)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0004434542491565216)	(36, 0.0)	(38, 1.5781290005570166e-06)	(40, 1.1046903003899115e-05)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.009609227484391672)	(54, 0.00582329601205539)	(56, 0.00033929773511975854)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 4.8921999017267506e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.00018464109306517092)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.00032825083211585944)	(90, 1.5781290005570166e-06)	(92, 0.0)	(94, 0.0)	(96, 1.5781290005570166e-06)	(98, 6.3125160022280665e-06)	(100, 0.0)
SRR9929264_2	(1, 0.020007519469061857)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0011457216544043939)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 6.3125160022280665e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0020752396357324766)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 2.8406322010026298e-05)	(50, 0.00040084476614148215)	(52, 0.0007859082422773942)	(54, 2.0515677007241215e-05)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 1.1046903003899115e-05)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 7.890645002785082e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR9929265_1	(1, 0.014073987266286515)	(2, 0.0005562840816714037)	(3, 0.003204814403851365)	(4, 3.090467120396687e-06)	(5, 0.0014957860862719967)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0059754181772869955)	(14, 0.0)	(16, 8.962354649150392e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0003909440907301809)	(28, 0.0)	(30, 1.5452335601983436e-06)	(32, 0.0)	(34, 0.00049447473926347)	(36, 0.0)	(38, 1.5452335601983436e-06)	(40, 1.2361868481586749e-05)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.009640712182077465)	(54, 0.005913608834879062)	(56, 0.0003909440907301809)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 4.635700680595031e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.00020706129706657804)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.00036622035376700744)	(90, 4.635700680595032e-06)	(92, 0.0)	(94, 0.0)	(96, 7.726167800991718e-06)	(98, 7.726167800991718e-06)	(100, 0.0)
SRR9929265_2	(1, 0.019714089761010467)	(2, 1.2361868481586749e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0011743775057507413)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 3.090467120396687e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0021185152110319294)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 1.699756916218178e-05)	(50, 0.0004342106304157346)	(52, 0.0008560593923498825)	(54, 4.790224036614865e-05)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 9.271401361190063e-06)	(70, 1.0816634921388407e-05)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 8.189737869051221e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR9929266_1	(1, 0.013922552824516063)	(2, 0.0004912290719519046)	(3, 0.0032177152632554295)	(4, 0.0)	(5, 0.0016846849380363978)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.005934310936331734)	(14, 0.0)	(16, 0.00011044412020395172)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.00033133236061185515)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0004730964552020022)	(36, 0.0)	(38, 6.593678818146371e-06)	(40, 1.6484197045365928e-05)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.009684465764152482)	(54, 0.005828812075241392)	(56, 0.00033133236061185515)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 5.439785024970756e-05)	(68, 0.0)	(70, 4.945259113609778e-06)	(72, 0.0)	(74, 0.0)	(76, 0.00021759140099883025)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.00036924601381619677)	(90, 6.593678818146371e-06)	(92, 0.0)	(94, 0.0)	(96, 4.945259113609778e-06)	(98, 3.2968394090731854e-06)	(100, 0.0)
SRR9929266_2	(1, 0.019629381841621746)	(2, 1.3187357636292742e-05)	(3, 0.0)	(4, 0.0)	(5, 0.001242908457220591)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 4.945259113609778e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0020506341124435215)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 3.2968394090731856e-05)	(50, 0.0004500185793384899)	(52, 0.0008439908887227355)	(54, 2.9671554681658668e-05)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 8.242098522682964e-06)	(70, 6.593678818146371e-06)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.00010714728079487853)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR9929267_1	(1, 0.014122691835986311)	(2, 0.0005786633273934921)	(3, 0.00323720798581845)	(4, 3.3066475851056686e-06)	(5, 0.0014317784043507546)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.005907325910791277)	(14, 0.0)	(16, 8.431951342019456e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.00033231808230311974)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0004166375957233143)	(36, 0.0)	(38, 3.3066475851056686e-06)	(40, 1.818656171808118e-05)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.00952479836889688)	(54, 0.00593212576767957)	(56, 0.0003637312343616236)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 5.455968515424354e-05)	(68, 0.0)	(70, 4.959971377658503e-06)	(72, 0.0)	(74, 0.0)	(76, 0.00020501215027655148)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.00028933166369674604)	(90, 3.3066475851056686e-06)	(92, 1.6533237925528343e-06)	(94, 0.0)	(96, 6.613295170211337e-06)	(98, 1.1573266547869842e-05)	(100, 0.0)
SRR9929267_2	(1, 0.019803512387197852)	(2, 9.919942755317005e-06)	(3, 0.0)	(4, 0.0)	(5, 0.0010945003506699763)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 3.3066475851056686e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0020120950555367998)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 2.4799856888292518e-05)	(50, 0.00037034452953183493)	(52, 0.0007373824114785641)	(54, 2.975982826595102e-05)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 8.266618962764173e-06)	(70, 4.959971377658503e-06)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 7.935954204253604e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
