Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR9929263_1	(1, 36.387991281633994)	(2, 36.3849447423916)	(3, 36.53394392088326)	(4, 36.59053834740355)	(5, 36.664351786728155)	(6, 36.685845342281645)	(7, 36.67870307857177)	(8, 36.737980679107565)	(9, 36.760148867269265)	(10, 36.80815367274815)	(12, 36.81483546888511)	(14, 36.826083429735846)	(16, 36.824549287651195)	(18, 36.82304908264902)	(20, 36.8223549845821)	(22, 36.81374573312046)	(24, 36.808285327033204)	(26, 36.79606334342198)	(28, 36.78926775383303)	(30, 36.78747739652339)	(32, 36.787395620601714)	(34, 36.78556778703528)	(36, 36.783661011885926)	(38, 36.781761270095686)	(40, 36.77499727813502)	(42, 36.769842875657105)	(44, 36.7651259061261)	(46, 36.7577213086187)	(48, 36.758363383822555)	(50, 36.75329453638466)	(52, 36.74927481418585)	(54, 36.73719423258554)	(56, 36.73505000283434)	(58, 36.7407303176169)	(60, 36.7331718710025)	(62, 36.70731980728896)	(64, 36.70664745414895)	(66, 36.688237179266075)	(68, 36.64375136280706)	(70, 36.57872465853716)	(72, 36.551742908379474)	(74, 36.54753695962732)	(76, 36.485188150604465)	(78, 36.43538386994314)	(80, 36.426195948485216)	(82, 36.43944523742611)	(84, 36.39696331345897)	(86, 36.39463426682555)	(88, 36.385685914476156)	(90, 36.36560616908075)	(92, 36.33087878597923)	(94, 36.331960978503716)	(96, 36.29606550291817)	(98, 36.300398532022484)	(100, 36.2006961525876)
SRR9929263_2	(1, 35.94400465371429)	(2, 36.02544537359434)	(3, 36.52717261062994)	(4, 36.61826486880611)	(5, 36.65885541903074)	(6, 36.651426602173714)	(7, 36.63888220878069)	(8, 36.65039373314206)	(9, 36.66207669750647)	(10, 36.65144326328668)	(12, 36.64787833998328)	(14, 36.62998710900747)	(16, 36.631703713523635)	(18, 36.64440386057933)	(20, 36.63069216951685)	(22, 36.6222923591926)	(24, 36.61826801807138)	(26, 36.61686732985194)	(28, 36.615044280169435)	(30, 36.60146475327306)	(32, 36.59218419842651)	(34, 36.58750948903621)	(36, 36.58987200786056)	(38, 36.57351268449071)	(40, 36.565885493914266)	(42, 36.55441323039335)	(44, 36.515865878490544)	(46, 36.49493742109966)	(48, 36.4819767698196)	(50, 36.42588426120186)	(52, 36.402602927736964)	(54, 36.36664961064584)	(56, 36.30903540703954)	(58, 36.28358743905047)	(60, 36.24267363923997)	(62, 36.204127292102754)	(64, 36.145959747590894)	(66, 36.16104061922354)	(68, 36.109039486087894)	(70, 36.10614592615543)	(72, 36.092221014837236)	(74, 36.1253536849853)	(76, 36.091192344825956)	(78, 36.0801652224536)	(80, 35.98985741626478)	(82, 36.012111924288064)	(84, 35.977737243901004)	(86, 35.933987575698595)	(88, 35.9068907723828)	(90, 35.91311769464184)	(92, 35.87933785047949)	(94, 35.86171438203468)	(96, 35.87086829142761)	(98, 35.76204004605725)	(100, 35.66378136480759)
SRR9929264_1	(1, 36.40330620550623)	(2, 36.39265837976399)	(3, 36.53634251181577)	(4, 36.5940110067554)	(5, 36.66570278755657)	(6, 36.689809812730374)	(7, 36.68621480330452)	(8, 36.738850392360746)	(9, 36.76369591878166)	(10, 36.80973208798334)	(12, 36.820273105954826)	(14, 36.82968700841282)	(16, 36.82876118325335)	(18, 36.82814642310118)	(20, 36.82492227399047)	(22, 36.81791942123823)	(24, 36.81184031051519)	(26, 36.79871195004729)	(28, 36.7936281652849)	(30, 36.79307648294889)	(32, 36.78974539981709)	(34, 36.78746896451508)	(36, 36.78453126159925)	(38, 36.78304490080007)	(40, 36.776418084626094)	(42, 36.76862151189303)	(44, 36.75819544483795)	(46, 36.75702433108793)	(48, 36.75195817402647)	(50, 36.75322604286552)	(52, 36.74575784721489)	(54, 36.73612464795099)	(56, 36.72824083624677)	(58, 36.72897659154941)	(60, 36.72529470612208)	(62, 36.69498249349937)	(64, 36.70066557274973)	(66, 36.67158368527714)	(68, 36.62255516255234)	(70, 36.561670803679235)	(72, 36.537961324981964)	(74, 36.5417679299442)	(76, 36.48652992725961)	(78, 36.4433202344418)	(80, 36.423907559136914)	(82, 36.433645846010975)	(84, 36.38934762293373)	(86, 36.38222248096524)	(88, 36.37137499034185)	(90, 36.35780418562736)	(92, 36.33726870310116)	(94, 36.32667666421909)	(96, 36.284330965466495)	(98, 36.28906058651859)	(100, 36.185768098109634)
SRR9929264_2	(1, 35.94109434661167)	(2, 35.999698735173794)	(3, 36.51016892671573)	(4, 36.60442870972678)	(5, 36.65100699780274)	(6, 36.64080392037544)	(7, 36.62527740351572)	(8, 36.630901760585964)	(9, 36.64203924819449)	(10, 36.62896468614423)	(12, 36.62568784330618)	(14, 36.61014990079249)	(16, 36.611557307797774)	(18, 36.62209052981199)	(20, 36.61130212433839)	(22, 36.603802082044524)	(24, 36.59412608392212)	(26, 36.59324160574247)	(28, 36.58791387379917)	(30, 36.577127567237135)	(32, 36.56683890787413)	(34, 36.56352242243559)	(36, 36.56501077167731)	(38, 36.55113807088501)	(40, 36.54495450380342)	(42, 36.52823610501603)	(44, 36.49718280301465)	(46, 36.47238608812373)	(48, 36.45904796274908)	(50, 36.40478500706749)	(52, 36.37601195944032)	(54, 36.33884839444943)	(56, 36.28243242893495)	(58, 36.24958577269993)	(60, 36.207177595820205)	(62, 36.176282785314356)	(64, 36.119705882204414)	(66, 36.126197515848204)	(68, 36.075725210244656)	(70, 36.07017018038141)	(72, 36.05437596549932)	(74, 36.08994027034234)	(76, 36.052236496013265)	(78, 36.03704856673062)	(80, 35.95961608918928)	(82, 35.97505453066948)	(84, 35.947124803617626)	(86, 35.91351933561526)	(88, 35.88532645555256)	(90, 35.89813810131133)	(92, 35.86252279133903)	(94, 35.850586170767194)	(96, 35.86742289766704)	(98, 35.76917068500394)	(100, 35.67173556441216)
SRR9929265_1	(1, 36.38124126015899)	(2, 36.380240412382044)	(3, 36.5236697949611)	(4, 36.58184502617749)	(5, 36.65657703323068)	(6, 36.67987108919929)	(7, 36.67664930813095)	(8, 36.73189727979556)	(9, 36.75477501893838)	(10, 36.80311961331581)	(12, 36.81353904595055)	(14, 36.8231798353943)	(16, 36.822784363769244)	(18, 36.82205575524094)	(20, 36.81897431228454)	(22, 36.811473192299246)	(24, 36.80484886874069)	(26, 36.7922512748795)	(28, 36.78605626356097)	(30, 36.786494661774334)	(32, 36.78149705194161)	(34, 36.77961690445957)	(36, 36.7763931145876)	(38, 36.77443670982937)	(40, 36.76691687706567)	(42, 36.759721867848654)	(44, 36.75594902558808)	(46, 36.74882197574305)	(48, 36.75142923287683)	(50, 36.74548011457475)	(52, 36.739914554146964)	(54, 36.73125212933185)	(56, 36.727920111301316)	(58, 36.72965230266996)	(60, 36.7226737652224)	(62, 36.69741808160613)	(64, 36.693922114294864)	(66, 36.67198871373769)	(68, 36.62553709228085)	(70, 36.56581597850617)	(72, 36.52690866631262)	(74, 36.52426515799951)	(76, 36.467862325129005)	(78, 36.42014965401603)	(80, 36.404601343957616)	(82, 36.412181286306804)	(84, 36.364533901311745)	(86, 36.35667573966004)	(88, 36.34463286919462)	(90, 36.33334584972518)	(92, 36.31153282286233)	(94, 36.30118782412819)	(96, 36.25614117538129)	(98, 36.259081059491244)	(100, 36.15818837188259)
SRR9929265_2	(1, 35.87378365395075)	(2, 35.9666676123496)	(3, 36.47562644386624)	(4, 36.57941659892363)	(5, 36.6227002907017)	(6, 36.611691181488055)	(7, 36.60158059468499)	(8, 36.61319067613487)	(9, 36.62294119261374)	(10, 36.61180019771572)	(12, 36.60715106895549)	(14, 36.588297566121156)	(16, 36.587441862132536)	(18, 36.598772719878085)	(20, 36.590115085287)	(22, 36.57624103579107)	(24, 36.56944936343795)	(26, 36.56828543171106)	(28, 36.56342593485394)	(30, 36.550376638318426)	(32, 36.53917485393216)	(34, 36.53449067927478)	(36, 36.536381272535685)	(38, 36.52106678721961)	(40, 36.51284734996153)	(42, 36.49525719918135)	(44, 36.45934098013794)	(46, 36.43182551605856)	(48, 36.41712805795541)	(50, 36.35686421179738)	(52, 36.323906898689046)	(54, 36.28677600244864)	(56, 36.22465044344494)	(58, 36.187665247276925)	(60, 36.138560150750514)	(62, 36.104785532707524)	(64, 36.04163044639202)	(66, 36.04700909536835)	(68, 35.99383952465154)	(70, 35.98313206048118)	(72, 35.96343652897523)	(74, 36.002808987375076)	(76, 35.961899222463195)	(78, 35.943801570624835)	(80, 35.85748482395216)	(82, 35.86806496087716)	(84, 35.8299456714423)	(86, 35.78611782566601)	(88, 35.74646597358615)	(90, 35.75672362026714)	(92, 35.71068168658411)	(94, 35.69148732067873)	(96, 35.708031224719974)	(98, 35.585964433420955)	(100, 35.4861422836228)
SRR9929266_1	(1, 36.36385198892222)	(2, 36.35058537526654)	(3, 36.50572926400928)	(4, 36.56821225025741)	(5, 36.647694103151046)	(6, 36.673599051776236)	(7, 36.66667298560887)	(8, 36.723946635906714)	(9, 36.74725888408382)	(10, 36.79748994142538)	(12, 36.806551370478005)	(14, 36.81703968811108)	(16, 36.81611952374781)	(18, 36.81545361163977)	(20, 36.812405716574474)	(22, 36.804808941397724)	(24, 36.79813574281303)	(26, 36.78401196739518)	(28, 36.777784287204035)	(30, 36.77785652095549)	(32, 36.77460115578618)	(34, 36.7728196591589)	(36, 36.77035644207861)	(38, 36.76867914206085)	(40, 36.762071253864846)	(42, 36.756296476987515)	(44, 36.74571273233775)	(46, 36.742976141333656)	(48, 36.73953056501465)	(50, 36.73795489007167)	(52, 36.732256599868634)	(54, 36.7234936501719)	(56, 36.715591109624164)	(58, 36.71739523905399)	(60, 36.71357362523197)	(62, 36.68351101594381)	(64, 36.6876993536975)	(66, 36.66155071918739)	(68, 36.612043103801554)	(70, 36.544190126618744)	(72, 36.52100940584987)	(74, 36.52197030266403)	(76, 36.46507692630783)	(78, 36.4185775120408)	(80, 36.40713103397027)	(82, 36.41693883449672)	(84, 36.375668125111495)	(86, 36.36970823070135)	(88, 36.36063058119883)	(90, 36.34106161393938)	(92, 36.31531418830116)	(94, 36.30752690525915)	(96, 36.26618940190751)	(98, 36.27506769153096)	(100, 36.170830415493086)
SRR9929266_2	(1, 35.90579696790339)	(2, 35.97572138225531)	(3, 36.50131700492294)	(4, 36.597950500000316)	(5, 36.64741113542457)	(6, 36.63975633587422)	(7, 36.62566508377714)	(8, 36.63298027589996)	(9, 36.64506503856428)	(10, 36.633518765164844)	(12, 36.632017384497956)	(14, 36.61528753994821)	(16, 36.6177586035063)	(18, 36.6283700416071)	(20, 36.616802025551756)	(22, 36.60809977066856)	(24, 36.60111757581025)	(26, 36.599990815005405)	(28, 36.59486277911496)	(30, 36.58323743102229)	(32, 36.57304767516611)	(34, 36.569842916481726)	(36, 36.572315216354596)	(38, 36.5558657515124)	(40, 36.54892156921248)	(42, 36.536183142198524)	(44, 36.50093325281572)	(46, 36.47896664261182)	(48, 36.46681376724531)	(50, 36.41031414890393)	(52, 36.38399536451192)	(54, 36.348162231269264)	(56, 36.29182895496026)	(58, 36.26153060517015)	(60, 36.22252039020995)	(62, 36.191016468668934)	(64, 36.12959943302275)	(66, 36.14011915305119)	(68, 36.08939884474131)	(70, 36.08230056816741)	(72, 36.06550627040723)	(74, 36.09757299540378)	(76, 36.06403551737845)	(78, 36.049672440872094)	(80, 35.96196414944296)	(82, 35.97951446193224)	(84, 35.9494963270077)	(86, 35.91269412078914)	(88, 35.88068469486152)	(90, 35.89045446634539)	(92, 35.855505314653485)	(94, 35.83951544570911)	(96, 35.85024555354445)	(98, 35.74857506479691)	(100, 35.64875739979726)
SRR9929267_1	(1, 36.362742050736536)	(2, 36.34732685649249)	(3, 36.503798709812244)	(4, 36.56045464420307)	(5, 36.64083107957745)	(6, 36.66738187249501)	(7, 36.658990625984764)	(8, 36.718087163891674)	(9, 36.743066670943264)	(10, 36.794420991127936)	(12, 36.803761179362155)	(14, 36.814898001495266)	(16, 36.813824448757046)	(18, 36.81271584555442)	(20, 36.810865743164086)	(22, 36.803600277890666)	(24, 36.797650461558405)	(26, 36.7835575791504)	(28, 36.776746827519645)	(30, 36.776556100086935)	(32, 36.77475252222811)	(34, 36.77281700913065)	(36, 36.76893186355052)	(38, 36.76748497376671)	(40, 36.76187367548098)	(42, 36.75691510942855)	(44, 36.751433547460806)	(46, 36.742802767399496)	(48, 36.74305931365239)	(50, 36.73923871383313)	(52, 36.73514938276463)	(54, 36.72227232160719)	(56, 36.72017722969727)	(58, 36.72392257021749)	(60, 36.71841918437569)	(62, 36.69173683648396)	(64, 36.69128511535736)	(66, 36.67028185202686)	(68, 36.62318583260229)	(70, 36.55824904413085)	(72, 36.52989449148886)	(74, 36.5238322491387)	(76, 36.46144465449005)	(78, 36.41240331775792)	(80, 36.39975605207441)	(82, 36.41313745965476)	(84, 36.36926049472078)	(86, 36.3653196982618)	(88, 36.3544068684361)	(90, 36.332548588706274)	(92, 36.30254289465914)	(94, 36.30279501000426)	(96, 36.26327453673041)	(98, 36.26621145151579)	(100, 36.160870818868126)
SRR9929267_2	(1, 35.89664064445239)	(2, 35.94691223595179)	(3, 36.48506605524548)	(4, 36.58437562722971)	(5, 36.6327204021148)	(6, 36.62472000134911)	(7, 36.61204214917544)	(8, 36.62306962047291)	(9, 36.63508009196448)	(10, 36.622316184287406)	(12, 36.6208000698364)	(14, 36.603425951429976)	(16, 36.60428710166056)	(18, 36.61572195194052)	(20, 36.60492502011269)	(22, 36.59592872322732)	(24, 36.59077607349487)	(26, 36.59117738477904)	(28, 36.58564812441989)	(30, 36.57383811843816)	(32, 36.56395099416013)	(34, 36.55968523690973)	(36, 36.56337743960326)	(38, 36.54637946889288)	(40, 36.5402440669649)	(42, 36.52748549952368)	(44, 36.4903590225682)	(46, 36.46794446551514)	(48, 36.453880582406455)	(50, 36.398619210101415)	(52, 36.37168461459865)	(54, 36.33498168613235)	(56, 36.27495847677295)	(58, 36.24512600145955)	(60, 36.20328487331076)	(62, 36.16839836902915)	(64, 36.10622755819617)	(66, 36.122007178070575)	(68, 36.069605973260465)	(70, 36.06578001667212)	(72, 36.05163336817438)	(74, 36.083683909621385)	(76, 36.0484154048775)	(78, 36.039676795038446)	(80, 35.95387673016202)	(82, 35.97455807481687)	(84, 35.945840336537366)	(86, 35.90856449831047)	(88, 35.87932505370823)	(90, 35.887389967168296)	(92, 35.85523571271978)	(94, 35.83918238509152)	(96, 35.85402134639415)	(98, 35.753431771129726)	(100, 35.660995181883806)
