Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
SRR9929263_1	(21.0, 2.0)	(22.0, 8.0)	(23.0, 12.0)	(24.0, 36.0)	(25.0, 226.0)	(26.0, 1017.0)	(27.0, 3785.0)	(28.0, 11491.0)	(29.0, 33252.0)	(30.0, 82254.0)	(31.0, 166268.0)	(32.0, 281426.0)	(33.0, 434691.0)	(34.0, 665487.0)	(35.0, 1339393.0)	(36.0, 12391452.0)	(37.0, 17930310.0)									
SRR9929263_2	(14.0, 5.0)	(15.0, 58.0)	(16.0, 421.0)	(17.0, 3122.0)	(18.0, 14044.0)	(19.0, 31993.0)	(20.0, 38959.0)	(21.0, 30429.0)	(22.0, 22433.0)	(23.0, 21571.0)	(24.0, 28481.0)	(25.0, 45289.0)	(26.0, 71127.0)	(27.0, 90920.0)	(28.0, 98392.0)	(29.0, 105552.0)	(30.0, 129312.0)	(31.0, 176304.0)	(32.0, 259204.0)	(33.0, 413806.0)	(34.0, 778251.0)	(35.0, 2281826.0)	(36.0, 16941852.0)	(37.0, 11757759.0)		
SRR9929264_1	(21.0, 1.0)	(22.0, 14.0)	(23.0, 35.0)	(24.0, 69.0)	(25.0, 359.0)	(26.0, 1175.0)	(27.0, 4078.0)	(28.0, 11903.0)	(29.0, 33462.0)	(30.0, 79168.0)	(31.0, 157179.0)	(32.0, 263854.0)	(33.0, 408676.0)	(34.0, 642796.0)	(35.0, 1283414.0)	(36.0, 11878668.0)	(37.0, 16918237.0)									
SRR9929264_2	(13.0, 1.0)	(14.0, 7.0)	(15.0, 51.0)	(16.0, 527.0)	(17.0, 3661.0)	(18.0, 16392.0)	(19.0, 37457.0)	(20.0, 46386.0)	(21.0, 38166.0)	(22.0, 30274.0)	(23.0, 30261.0)	(24.0, 37481.0)	(25.0, 53321.0)	(26.0, 80285.0)	(27.0, 101439.0)	(28.0, 103925.0)	(29.0, 105218.0)	(30.0, 122298.0)	(31.0, 161528.0)	(32.0, 233102.0)	(33.0, 370001.0)	(34.0, 695896.0)	(35.0, 2060755.0)	(36.0, 15606121.0)	(37.0, 11748535.0)	
SRR9929265_1	(22.0, 9.0)	(23.0, 38.0)	(24.0, 120.0)	(25.0, 351.0)	(26.0, 1428.0)	(27.0, 4554.0)	(28.0, 13422.0)	(29.0, 35856.0)	(30.0, 85535.0)	(31.0, 170584.0)	(32.0, 286123.0)	(33.0, 439633.0)	(34.0, 669860.0)	(35.0, 1353107.0)	(36.0, 12006704.0)	(37.0, 17290244.0)										
SRR9929265_2	(14.0, 2.0)	(15.0, 56.0)	(16.0, 491.0)	(17.0, 3637.0)	(18.0, 17082.0)	(19.0, 38535.0)	(20.0, 46369.0)	(21.0, 35537.0)	(22.0, 25917.0)	(23.0, 24405.0)	(24.0, 31760.0)	(25.0, 50521.0)	(26.0, 79040.0)	(27.0, 100756.0)	(28.0, 108357.0)	(29.0, 116045.0)	(30.0, 142760.0)	(31.0, 194525.0)	(32.0, 282734.0)	(33.0, 450883.0)	(34.0, 856063.0)	(35.0, 2581447.0)	(36.0, 17123331.0)	(37.0, 10047315.0)		
SRR9929266_1	(22.0, 16.0)	(23.0, 32.0)	(24.0, 54.0)	(25.0, 212.0)	(26.0, 1127.0)	(27.0, 3734.0)	(28.0, 11800.0)	(29.0, 34398.0)	(30.0, 84604.0)	(31.0, 167964.0)	(32.0, 278378.0)	(33.0, 423199.0)	(34.0, 643067.0)	(35.0, 1250562.0)	(36.0, 11286504.0)	(37.0, 16146430.0)										
SRR9929266_2	(14.0, 3.0)	(15.0, 54.0)	(16.0, 515.0)	(17.0, 3647.0)	(18.0, 14978.0)	(19.0, 33001.0)	(20.0, 39045.0)	(21.0, 30853.0)	(22.0, 23380.0)	(23.0, 22074.0)	(24.0, 26942.0)	(25.0, 42503.0)	(26.0, 65383.0)	(27.0, 85350.0)	(28.0, 93510.0)	(29.0, 100860.0)	(30.0, 125005.0)	(31.0, 170503.0)	(32.0, 248428.0)	(33.0, 392054.0)	(34.0, 728785.0)	(35.0, 2093815.0)	(36.0, 15091530.0)	(37.0, 10899863.0)		
SRR9929267_1	(22.0, 12.0)	(23.0, 33.0)	(24.0, 96.0)	(25.0, 274.0)	(26.0, 1167.0)	(27.0, 4257.0)	(28.0, 12649.0)	(29.0, 35885.0)	(30.0, 86441.0)	(31.0, 169680.0)	(32.0, 277288.0)	(33.0, 418548.0)	(34.0, 629518.0)	(35.0, 1250082.0)	(36.0, 11280531.0)	(37.0, 16075649.0)										
SRR9929267_2	(14.0, 4.0)	(15.0, 68.0)	(16.0, 475.0)	(17.0, 3233.0)	(18.0, 14681.0)	(19.0, 35166.0)	(20.0, 43136.0)	(21.0, 33527.0)	(22.0, 25011.0)	(23.0, 24216.0)	(24.0, 31093.0)	(25.0, 49924.0)	(26.0, 78918.0)	(27.0, 100591.0)	(28.0, 104106.0)	(29.0, 106214.0)	(30.0, 124706.0)	(31.0, 165826.0)	(32.0, 238455.0)	(33.0, 373855.0)	(34.0, 692339.0)	(35.0, 1993312.0)	(36.0, 14895760.0)	(37.0, 11107494.0)		
SRR9929268_1	(22.0, 9.0)	(23.0, 17.0)	(24.0, 76.0)	(25.0, 322.0)	(26.0, 1344.0)	(27.0, 4434.0)	(28.0, 12910.0)	(29.0, 35192.0)	(30.0, 83403.0)	(31.0, 163960.0)	(32.0, 271543.0)	(33.0, 424136.0)	(34.0, 685057.0)	(35.0, 1247422.0)	(36.0, 11093346.0)	(37.0, 16228087.0)										
SRR9929268_2	(13.0, 1.0)	(14.0, 6.0)	(15.0, 89.0)	(16.0, 685.0)	(17.0, 4762.0)	(18.0, 19685.0)	(19.0, 42784.0)	(20.0, 53670.0)	(21.0, 45818.0)	(22.0, 40180.0)	(23.0, 42141.0)	(24.0, 44641.0)	(25.0, 53762.0)	(26.0, 75575.0)	(27.0, 96403.0)	(28.0, 103204.0)	(29.0, 107195.0)	(30.0, 129035.0)	(31.0, 171669.0)	(32.0, 248058.0)	(33.0, 393588.0)	(34.0, 735201.0)	(35.0, 2132904.0)	(36.0, 15206933.0)	(37.0, 10503269.0)	
SRR9929269_1	(21.0, 2.0)	(22.0, 7.0)	(23.0, 46.0)	(24.0, 174.0)	(25.0, 678.0)	(26.0, 2011.0)	(27.0, 4977.0)	(28.0, 13845.0)	(29.0, 36716.0)	(30.0, 85299.0)	(31.0, 165067.0)	(32.0, 271581.0)	(33.0, 448558.0)	(34.0, 813690.0)	(35.0, 1252567.0)	(36.0, 10565639.0)	(37.0, 14768554.0)									
SRR9929269_2	(14.0, 7.0)	(15.0, 97.0)	(16.0, 685.0)	(17.0, 4887.0)	(18.0, 21954.0)	(19.0, 52243.0)	(20.0, 73233.0)	(21.0, 72508.0)	(22.0, 67676.0)	(23.0, 77238.0)	(24.0, 88622.0)	(25.0, 84307.0)	(26.0, 84710.0)	(27.0, 91493.0)	(28.0, 94916.0)	(29.0, 100715.0)	(30.0, 122160.0)	(31.0, 162736.0)	(32.0, 234109.0)	(33.0, 365876.0)	(34.0, 672492.0)	(35.0, 1940247.0)	(36.0, 13902719.0)	(37.0, 10113781.0)		
SRR9929270_1	(18.0, 1.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 2.0)	(22.0, 7.0)	(23.0, 34.0)	(24.0, 140.0)	(25.0, 675.0)	(26.0, 3153.0)	(27.0, 9418.0)	(28.0, 16435.0)	(29.0, 27978.0)	(30.0, 56244.0)	(31.0, 104241.0)	(32.0, 167827.0)	(33.0, 245615.0)	(34.0, 367348.0)	(35.0, 802344.0)	(36.0, 7929687.0)	(37.0, 9944568.0)						
SRR9929270_2	(12.0, 21.0)	(13.0, 335.0)	(14.0, 2363.0)	(15.0, 10572.0)	(16.0, 33756.0)	(17.0, 82706.0)	(18.0, 152022.0)	(19.0, 216946.0)	(20.0, 209198.0)	(21.0, 162451.0)	(22.0, 140688.0)	(23.0, 153352.0)	(24.0, 200587.0)	(25.0, 276121.0)	(26.0, 338958.0)	(27.0, 331281.0)	(28.0, 274330.0)	(29.0, 222475.0)	(30.0, 205208.0)	(31.0, 213913.0)	(32.0, 244572.0)	(33.0, 316599.0)	(34.0, 556119.0)	(35.0, 1578362.0)	(36.0, 8478176.0)	(37.0, 5274606.0)
SRR9929271_1	(22.0, 8.0)	(23.0, 15.0)	(24.0, 45.0)	(25.0, 290.0)	(26.0, 1256.0)	(27.0, 4290.0)	(28.0, 11336.0)	(29.0, 31627.0)	(30.0, 77134.0)	(31.0, 155148.0)	(32.0, 260712.0)	(33.0, 400726.0)	(34.0, 614722.0)	(35.0, 1229981.0)	(36.0, 10830949.0)	(37.0, 15631779.0)										
SRR9929271_2	(14.0, 5.0)	(15.0, 83.0)	(16.0, 577.0)	(17.0, 4352.0)	(18.0, 19067.0)	(19.0, 44404.0)	(20.0, 54564.0)	(21.0, 43867.0)	(22.0, 33739.0)	(23.0, 31929.0)	(24.0, 39783.0)	(25.0, 61300.0)	(26.0, 94718.0)	(27.0, 117773.0)	(28.0, 119033.0)	(29.0, 113138.0)	(30.0, 125937.0)	(31.0, 163392.0)	(32.0, 232242.0)	(33.0, 360500.0)	(34.0, 663446.0)	(35.0, 1903760.0)	(36.0, 14538253.0)	(37.0, 10484156.0)		
SRR9929272_1	(21.0, 4.0)	(22.0, 22.0)	(23.0, 78.0)	(24.0, 139.0)	(25.0, 532.0)	(26.0, 1785.0)	(27.0, 5329.0)	(28.0, 13748.0)	(29.0, 35402.0)	(30.0, 81576.0)	(31.0, 160108.0)	(32.0, 265474.0)	(33.0, 409003.0)	(34.0, 633091.0)	(35.0, 1278203.0)	(36.0, 11263477.0)	(37.0, 15898920.0)									
SRR9929272_2	(14.0, 10.0)	(15.0, 73.0)	(16.0, 644.0)	(17.0, 4697.0)	(18.0, 21181.0)	(19.0, 49864.0)	(20.0, 62867.0)	(21.0, 51916.0)	(22.0, 41179.0)	(23.0, 40665.0)	(24.0, 49891.0)	(25.0, 73645.0)	(26.0, 112519.0)	(27.0, 139692.0)	(28.0, 136562.0)	(29.0, 123997.0)	(30.0, 129764.0)	(31.0, 160838.0)	(32.0, 223086.0)	(33.0, 346485.0)	(34.0, 637504.0)	(35.0, 1804951.0)	(36.0, 14324810.0)	(37.0, 11510051.0)		
SRR9929273_1	(22.0, 7.0)	(23.0, 13.0)	(24.0, 47.0)	(25.0, 216.0)	(26.0, 1065.0)	(27.0, 3544.0)	(28.0, 9982.0)	(29.0, 28042.0)	(30.0, 68423.0)	(31.0, 138374.0)	(32.0, 233151.0)	(33.0, 359386.0)	(34.0, 545915.0)	(35.0, 1088093.0)	(36.0, 9723739.0)	(37.0, 14614319.0)										
