Sample	Unique Reads	Duplicate Reads
SRR9929263_1	4040194.0	29300916.0
SRR9929263_2	5072932.0	28268178.0
SRR9929264_1	3847392.0	27835696.0
SRR9929264_2	5023888.0	26659200.0
SRR9929265_1	4206444.0	28151124.0
SRR9929265_2	5464353.0	26893215.0
SRR9929266_1	4489464.0	25842617.0
SRR9929266_2	5655672.0	24676409.0
SRR9929267_1	4045783.0	26196327.0
SRR9929267_2	5159642.0	25082468.0
SRR9929268_1	4589236.0	25662022.0
SRR9929268_2	5888619.0	24362639.0
SRR9929269_1	4594208.0	23835203.0
SRR9929269_2	5799741.0	22629670.0
SRR9929270_1	2776754.0	16898963.0
SRR9929270_2	5385092.0	14290625.0
SRR9929271_1	4037296.0	25212722.0
SRR9929271_2	5628987.0	23621031.0
SRR9929272_1	4123664.0	25923227.0
SRR9929272_2	5831525.0	24215366.0
SRR9929273_1	3624400.0	23189916.0
SRR9929273_2	4929772.0	21884544.0
SRR9929274_1	3976859.0	23365382.0
SRR9929274_2	5431884.0	21910357.0
SRR9929275_1	4400936.0	24669489.0
SRR9929275_2	5808196.0	23262229.0
SRR9929276_1	3529421.0	24490178.0
SRR9929276_2	5177082.0	22842517.0
SRR9929277_1	3784209.0	25593080.0
SRR9929277_2	5131265.0	24246024.0
SRR9929278_1	3379116.0	24383048.0
SRR9929278_2	4649053.0	23113111.0
SRR9929279_1	4391245.0	23350054.0
SRR9929279_2	5581778.0	22159521.0
SRR9929280_1	4117902.0	28249727.0
SRR9929280_2	5629436.0	26738193.0
SRR9929281_1	4543062.0	27125667.0
SRR9929281_2	5855172.0	25813557.0
SRR9929282_1	3754370.0	26054564.0
SRR9929282_2	4981157.0	24827777.0
SRR9929283_1	4017038.0	26393827.0
SRR9929283_2	5184463.0	25226402.0
SRR9929284_1	3465946.0	23289502.0
SRR9929284_2	4721603.0	22033845.0
SRR9929285_1	3264835.0	23004147.0
SRR9929285_2	4679774.0	21589208.0
SRR9929286_1	3996162.0	22851759.0
SRR9929286_2	5421936.0	21425985.0
