Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR9929263_1	(1.0, 6.676166776092642)	(2.0, 3.638415776993637)	(3.0, 2.6143793033500877)	(4.0, 2.1497776080939297)	(5.0, 1.799855418524545)	(6.0, 1.5413327549005622)	(7.0, 1.361330912652298)	(8.0, 1.2367414009147646)	(9.0, 1.1227870090227359)	('>10', 17.942262027375637)	('>50', 7.291475879077123)	('>100', 17.135003945126005)	('>500', 7.334682369219375)	('>1k', 13.323447544335416)	('>5k', 3.435308291539769)	('>10k+', 11.39703298278153)
SRR9929263_2	(1.0, 8.49872837447304)	(2.0, 4.605911322396564)	(3.0, 3.5725179929759148)	(4.0, 2.842193301113178)	(5.0, 2.2973474911360414)	(6.0, 1.9799884830791477)	(7.0, 1.6464116238359712)	(8.0, 1.427165541536461)	(9.0, 1.31231844835708)	('>10', 18.278178433672128)	('>50', 7.220068216650589)	('>100', 18.293934733579782)	('>500', 6.693485425766095)	('>1k', 10.086459247043287)	('>5k', 3.1654760030632967)	('>10k+', 8.079815361321659)
SRR9929264_1	(1.0, 6.240507902948646)	(2.0, 3.8861542984691653)	(3.0, 2.9751595108245885)	(4.0, 2.243972698772596)	(5.0, 1.953459623602049)	(6.0, 1.6716233401747822)	(7.0, 1.4861075178988814)	(8.0, 1.3470401616384313)	(9.0, 1.2316562863758425)	('>10', 19.551436323573967)	('>50', 8.187013673698202)	('>100', 19.147163485572122)	('>500', 8.040813789808041)	('>1k', 13.258588670240472)	('>5k', 3.41178795123006)	('>10k+', 5.367514765172091)
SRR9929264_2	(1.0, 8.546529819848006)	(2.0, 4.828246592248379)	(3.0, 3.8717882852366463)	(4.0, 3.138076209995318)	(5.0, 2.5877865536216786)	(6.0, 2.1775744479130457)	(7.0, 1.923791210624493)	(8.0, 1.5953942211977972)	(9.0, 1.5062346827259259)	('>10', 20.491353668183322)	('>50', 8.155570191794412)	('>100', 20.447562676486704)	('>500', 6.5061608688746215)	('>1k', 8.814630136331592)	('>5k', 2.2754832801616782)	('>10k+', 3.1338171547562315)
SRR9929265_1	(1.0, 6.315502877994689)	(2.0, 4.389746786342075)	(3.0, 3.4225566216649557)	(4.0, 2.680498212044419)	(5.0, 2.2188698603534744)	(6.0, 1.9547704605877243)	(7.0, 1.6946952802923927)	(8.0, 1.5654064264099747)	(9.0, 1.3498976174183588)	('>10', 21.631308059108058)	('>50', 8.029114753470468)	('>100', 16.102107920214387)	('>500', 6.096678492710502)	('>1k', 11.834497809952573)	('>5k', 3.440926793528402)	('>10k+', 7.273422027907514)
SRR9929265_2	(1.0, 8.64116648557062)	(2.0, 5.366764525279734)	(3.0, 4.468336674905514)	(4.0, 3.6615921047388102)	(5.0, 3.064280100801264)	(6.0, 2.635983728578722)	(7.0, 2.213868530111722)	(8.0, 1.9335693710661968)	(9.0, 1.728826812086424)	('>10', 21.70858135991373)	('>50', 6.998024783213326)	('>100', 14.746251279901665)	('>500', 5.67284104947612)	('>1k', 9.57820699352736)	('>5k', 2.5235463981034383)	('>10k+', 5.058159802725173)
SRR9929266_1	(1.0, 8.166875542103792)	(2.0, 4.364815512370161)	(3.0, 3.292201581507644)	(4.0, 2.683472138966688)	(5.0, 2.2325124929339313)	(6.0, 1.9547208676698218)	(7.0, 1.6937640397693612)	(8.0, 1.5542542565214235)	(9.0, 1.4249019216726895)	('>10', 21.573946965579033)	('>50', 7.660707968545507)	('>100', 16.21330718932562)	('>500', 6.5487523509667644)	('>1k', 11.101630168527661)	('>5k', 2.7269520543792956)	('>10k+', 6.80718494916072)
SRR9929266_2	(1.0, 10.173412371122396)	(2.0, 5.836568060563561)	(3.0, 4.568214943988378)	(4.0, 3.8685454045119005)	(5.0, 3.132749493432354)	(6.0, 2.5110774011485857)	(7.0, 2.1258990657921575)	(8.0, 1.9134249169176503)	(9.0, 1.666034803956324)	('>10', 20.396724503155)	('>50', 7.283439535332994)	('>100', 16.159393866191355)	('>500', 5.709055674038174)	('>1k', 8.325539656221148)	('>5k', 2.4827390270618994)	('>10k+', 3.847181276565945)
SRR9929267_1	(1.0, 7.33368876564114)	(2.0, 4.080815237689792)	(3.0, 2.9175741704425056)	(4.0, 2.3911124758067173)	(5.0, 1.9573987093115461)	(6.0, 1.7554956862881332)	(7.0, 1.4796116566764927)	(8.0, 1.3451624133932325)	(9.0, 1.2300839064116647)	('>10', 19.832793016651475)	('>50', 8.033085599562263)	('>100', 18.223661444621065)	('>500', 7.638307877693147)	('>1k', 11.938643976577438)	('>5k', 2.8588988178996995)	('>10k+', 6.9836662453340885)
SRR9929267_2	(1.0, 9.55982820209115)	(2.0, 5.1288261472334105)	(3.0, 3.997279630247181)	(4.0, 3.1726599071138133)	(5.0, 2.6411960675630928)	(6.0, 2.1938356263791317)	(7.0, 1.8545433331929848)	(8.0, 1.6336070249272572)	(9.0, 1.4233448522724579)	('>10', 20.308314351045233)	('>50', 8.041526680270906)	('>100', 18.952158850485663)	('>500', 6.067341390139353)	('>1k', 8.185357075436498)	('>5k', 2.1871109535129984)	('>10k+', 4.653069908088722)
