Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR9929263_1	87.88224520765588	43.0	101.0	101	30.0	33.34111
SRR9929263_2	84.78475599492967	43.0	101.0	101	10.0	33.34111
SRR9929264_1	87.85663836812415	43.0	101.0	101	30.0	31.683087999999998
SRR9929264_2	84.14331424710451	43.0	101.0	101	20.0	31.683087999999998
SRR9929265_1	87.00012315434476	44.0	101.0	101	30.0	32.357568
SRR9929265_2	83.11259942243431	43.0	101.0	101	20.0	32.357568
SRR9929266_1	85.19895959910284	43.0	101.0	101	20.0	30.332081
SRR9929266_2	81.35416059178107	42.0	101.0	101	10.0	30.332081
SRR9929267_1	86.62202405250953	43.0	101.0	101	30.0	30.24211
SRR9929267_2	82.93888340088878	42.0	101.0	101	10.0	30.24211
SRR9929268_1	84.8296045932104	43.0	101.0	101	20.0	30.251258
SRR9929268_2	80.53430280316597	42.0	101.0	101	20.0	30.251258
SRR9929269_1	83.83994854946967	43.0	101.0	101	20.0	28.429410999999998
SRR9929269_2	79.59950477393217	43.0	101.0	101	20.0	28.429410999999998
SRR9929270_1	85.88741074000406	44.0	101.0	101	40.0	19.675717
SRR9929270_2	72.63077487796173	44.0	101.0	101	40.0	19.675717
SRR9929271_1	86.19729016829015	42.0	101.0	101	20.0	29.250017999999997
SRR9929271_2	80.75561397019007	42.0	101.0	101	10.0	29.250017999999997
SRR9929272_1	86.27590684956778	44.0	101.0	101	30.0	30.046891
SRR9929272_2	80.59192018401681	43.0	101.0	101	20.0	30.046891
SRR9929273_1	86.48334137328875	43.0	101.0	101	20.0	26.814315999999998
SRR9929273_2	81.61514983604425	42.0	101.0	101	10.0	26.814315999999998
SRR9929274_1	85.45525931737971	44.0	101.0	101	30.0	27.342240999999998
SRR9929274_2	80.1337312092376	43.0	101.0	101	20.0	27.342240999999998
SRR9929275_1	84.86112283116509	43.0	101.0	101	20.0	29.070425
SRR9929275_2	80.02025921240583	43.0	101.0	101	20.0	29.070425
SRR9929276_1	87.40374410232073	43.0	101.0	101	30.0	28.019599
SRR9929276_2	81.52335659582258	42.0	101.0	101	10.0	28.019599
SRR9929277_1	87.11859101647578	44.0	101.0	101	40.0	29.377288999999998
SRR9929277_2	82.53322681032053	44.0	101.0	101	20.0	29.377288999999998
SRR9929278_1	87.82834257008791	44.0	101.0	101	40.0	27.762164
SRR9929278_2	83.25399673567871	43.0	101.0	101	20.0	27.762164
SRR9929279_1	84.1707310395221	42.0	101.0	101	20.0	27.741298999999998
SRR9929279_2	79.87917870457743	42.0	101.0	101	10.0	27.741298999999998
SRR9929280_1	87.27771545542721	43.0	101.0	101	30.0	32.367629
SRR9929280_2	82.60782174166434	43.0	101.0	101	20.0	32.367629
SRR9929281_1	85.65442514336226	42.0	101.0	101	30.0	31.668729
SRR9929281_2	81.51118755398606	42.0	101.0	101	10.0	31.668729
SRR9929282_1	87.40522041110353	43.0	101.0	101	30.0	29.808933999999997
SRR9929282_2	83.2897178211624	43.0	101.0	101	10.0	29.808933999999997
SRR9929283_1	86.790782463197	44.0	101.0	101	30.0	30.410864999999998
SRR9929283_2	82.95193914770826	43.0	101.0	101	20.0	30.410864999999998
SRR9929284_1	87.04583438741108	43.0	101.0	101	30.0	26.755447999999998
SRR9929284_2	82.35274437099389	43.0	101.0	101	10.0	26.755447999999998
SRR9929285_1	87.57152088694419	44.0	101.0	101	30.0	26.268981999999998
SRR9929285_2	82.18517190655925	44.0	101.0	101	20.0	26.268981999999998
SRR9929286_1	85.11556448450035	43.0	101.0	101	30.0	26.847921
SRR9929286_2	79.80500902550095	42.0	101.0	101	10.0	26.847921
