.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR9929263_1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR9929263_2	1	1	1	0.5	0.5	1	1	0.25	0.5	1
SRR9929264_1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR9929264_2	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
SRR9929265_1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR9929265_2	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
SRR9929266_1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR9929266_2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR9929267_1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR9929267_2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR9929268_1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR9929268_2	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
SRR9929269_1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR9929269_2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR9929270_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR9929270_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.5
SRR9929271_1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR9929271_2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR9929272_1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR9929272_2	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
SRR9929273_1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR9929273_2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR9929274_1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR9929274_2	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
SRR9929275_1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR9929275_2	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
SRR9929276_1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR9929276_2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR9929277_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR9929277_2	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
SRR9929278_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR9929278_2	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
SRR9929279_1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR9929279_2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR9929280_1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR9929280_2	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
SRR9929281_1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
SRR9929281_2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR9929282_1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR9929282_2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR9929283_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR9929283_2	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
SRR9929284_1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR9929284_2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR9929285_1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR9929285_2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR9929286_1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
SRR9929286_2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
