Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR9929263_1 - illumina_universal_adapter	(1, 8.997900789745752e-06)	(2, 1.1997201052994337e-05)	(3, 2.3994402105988674e-05)	(4, 3.5991603158983006e-05)	(5, 3.5991603158983006e-05)	(6, 9.897690868720328e-05)	(7, 0.00010197620895045186)	(8, 0.00010797480947694903)	(9, 0.0001139734100034462)	(10, 0.00014546606276755634)	(12, 0.00015296431342567778)	(14, 0.00018745626645303652)	(16, 0.00023544507066501386)	(18, 0.0002579398226393783)	(20, 0.00037191323264282447)	(22, 0.00046939049119840343)	(24, 0.0005278768463317508)	(26, 0.0005878628515967225)	(28, 0.0006733429090993071)	(30, 0.000775319118049759)	(32, 0.0009537774837130497)	(34, 0.001268704011354151)	(36, 0.0016496151447867213)	(38, 0.0022974640016484157)	(40, 0.003297730639441818)	(42, 0.004869363977384076)	(44, 0.007103842673504271)	(46, 0.010071650283988745)	(48, 0.014596094731099234)	(50, 0.021665445451576146)	(52, 0.031734096435301645)	(54, 0.04379728209408745)	(56, 0.05874129565572352)	(58, 0.07990435831320553)	(60, 0.10771387035404639)	(62, 0.14526211034965542)	(64, 0.19047656181812783)	(66, 0.24617206805652242)	(68, 0.3188766060877997)	(70, 0.4077083816345647)	(72, 0.5196197727070275)	(74, 0.6603034512048339)	(76, 0.8285177068189991)	(78, 1.0327145676913576)	(80, 1.2718202843276663)	(82, 1.5766571658831994)	(84, 1.952421500064035)	(86, 2.3897674672498903)	(88, 2.9292546049006765)	(90, 3.367116451731811)
SRR9929263_2 - illumina_universal_adapter	(1, 8.997900789745752e-06)	(2, 1.4996501316242921e-05)	(3, 1.7995801579491503e-05)	(4, 2.6993702369237258e-05)	(5, 2.6993702369237258e-05)	(6, 5.69867050017231e-05)	(7, 6.298530552822027e-05)	(8, 6.898390605471743e-05)	(9, 7.198320631796601e-05)	(10, 0.00010497550921370044)	(12, 0.00011997201052994337)	(14, 0.00016046256408379925)	(16, 0.00021594961895389807)	(18, 0.0002459426215863839)	(20, 0.0003674142822479515)	(22, 0.00047688874185652485)	(24, 0.000533875446858248)	(26, 0.0005998600526497169)	(28, 0.0006898390605471743)	(30, 0.0007978138700241234)	(32, 0.000980771186082287)	(34, 0.0013016963142498854)	(36, 0.00168410709781408)	(38, 0.0023409538554655203)	(40, 0.003350218394048668)	(42, 0.0049098545309379325)	(44, 0.00712783707561026)	(46, 0.010097144336226358)	(48, 0.014581098229782992)	(50, 0.021612957696969297)	(52, 0.03159162967279734)	(54, 0.043585831425528423)	(56, 0.058417371227292667)	(58, 0.07937198251647891)	(60, 0.10692805368507527)	(62, 0.14419735875620218)	(64, 0.18910288229755998)	(66, 0.2444984585096297)	(68, 0.3168910693135292)	(70, 0.4052894459722547)	(72, 0.5167449434047037)	(74, 0.6567597779438057)	(76, 0.8240742434789964)	(78, 1.0274073058755393)	(80, 1.2645604780404731)	(82, 1.5668329578709286)	(84, 1.9394855180286439)	(86, 2.37303737038149)	(88, 2.907935578629506)	(90, 3.342054298732106)
SRR9929263_2 - polya	(1, 0.004582930802243836)	(2, 0.010047655881882757)	(3, 0.02159196259512656)	(4, 0.03349918464022344)	(5, 0.04667211139641122)	(6, 0.059509116523115156)	(7, 0.07415170040829475)	(8, 0.09250741801937608)	(9, 0.11330756534500501)	(10, 0.14287916629050443)	(12, 0.18318526287817052)	(14, 0.22360383322570843)	(16, 0.26393992281600703)	(18, 0.30117773523436986)	(20, 0.33792966101008637)	(22, 0.36896192118378784)	(24, 0.3964640049476457)	(26, 0.42152315864708767)	(28, 0.4452746174317532)	(30, 0.4677948634583552)	(32, 0.4888994397607038)	(34, 0.5089452630701257)	(36, 0.5282217658620244)	(38, 0.5468549187474563)	(40, 0.5635400261119081)	(42, 0.5794078241546248)	(44, 0.5950761687298354)	(46, 0.6102226350592407)	(48, 0.6239759264163671)	(50, 0.6380096523481071)	(52, 0.6509576315845513)	(54, 0.6634692126326928)	(56, 0.6760752716391266)	(58, 0.6886963271468767)	(60, 0.7005960509413154)	(62, 0.7119903926413969)	(64, 0.7233697378401619)	(66, 0.7354644161517118)	(68, 0.7474241259514155)	(70, 0.7586400092858336)	(72, 0.7688991158362755)	(74, 0.7796516072800215)	(76, 0.7890049251509623)	(78, 0.7978468623270192)	(80, 0.8092816945806542)	(82, 0.8187204925090976)	(84, 0.8271455269485629)	(86, 0.835798508208035)	(88, 0.8440540821826268)	(90, 0.8497287582806932)
SRR9929263_2 - polyg	(1, 0.5690002522411521)	(2, 0.5770623713487644)	(3, 0.5772243335629798)	(4, 0.5773143125708772)	(5, 0.5773922943777217)	(6, 0.5775032684874619)	(7, 0.5776202411977286)	(8, 0.5778631845190517)	(9, 0.5781871089474826)	(10, 0.5787749717990793)	(12, 0.5798187282906897)	(14, 0.5802596254293874)	(16, 0.5803571026879428)	(18, 0.5804230872937344)	(20, 0.5804815736488678)	(22, 0.5805220642024216)	(24, 0.580580550557555)	(26, 0.5806330383121618)	(28, 0.5806660306150575)	(30, 0.5807215176699276)	(32, 0.580768006824008)	(34, 0.5808234938788781)	(36, 0.5808729823332217)	(38, 0.5809419662392763)	(40, 0.5810289459469106)	(42, 0.5811279228555978)	(44, 0.5812643910175757)	(46, 0.5814083574302116)	(48, 0.5815178318898202)	(50, 0.58163780390035)	(52, 0.5817397801093005)	(54, 0.5818117633156185)	(56, 0.581921237775227)	(58, 0.5820112167831245)	(60, 0.5820712027883894)	(62, 0.5821356877440493)	(64, 0.5822121699007622)	(66, 0.5822931510078699)	(68, 0.5823516373630032)	(70, 0.5824221209191895)	(72, 0.5824791076241913)	(74, 0.5825315953787982)	(76, 0.5826065778853793)	(78, 0.5827070544441981)	(80, 0.5828540201570973)	(82, 0.5830924645280257)	(84, 0.5833429061000068)	(86, 0.5836038452229095)	(88, 0.5839787577558155)	(90, 0.5843296758866157)
SRR9929264_2 - polya	(1, 0.006208624766454823)	(2, 0.013143756978754384)	(3, 0.027125059659268643)	(4, 0.04206763638384821)	(5, 0.05779699846462645)	(6, 0.07374526453563737)	(7, 0.09144793505010744)	(8, 0.11387131770176952)	(9, 0.13907382927290754)	(10, 0.17494711723749)	(12, 0.22361042602269723)	(14, 0.2710586590360331)	(16, 0.31618777876154147)	(18, 0.3587392246890199)	(20, 0.4006291998634039)	(22, 0.435504729785549)	(24, 0.46575472321842926)	(26, 0.4932017938198518)	(28, 0.519455996300586)	(30, 0.5447140269996816)	(32, 0.5684032457687762)	(34, 0.5901651576673439)	(36, 0.6105993692773262)	(38, 0.6301278259712009)	(40, 0.6477797361401096)	(42, 0.6646908625159847)	(44, 0.6808627913596248)	(46, 0.6971045156784114)	(48, 0.7121232329213327)	(50, 0.72644082289119)	(52, 0.7399525923752631)	(54, 0.7532882869106707)	(56, 0.7664986668429743)	(58, 0.7793854495723251)	(60, 0.7913553735599765)	(62, 0.8027336222696804)	(64, 0.8136344064789489)	(66, 0.8249872750158721)	(68, 0.8355184604590233)	(70, 0.8454436942770376)	(72, 0.8553023051415027)	(74, 0.8643297153474032)	(76, 0.8728447633152951)	(78, 0.8806459939237328)	(80, 0.8896020223936878)	(82, 0.8979600305425)	(84, 0.9057057420229799)	(86, 0.912839156835128)	(88, 0.9196156629675488)	(90, 0.9243173399751553)
SRR9929264_2 - polyg	(1, 0.3454622218031674)	(2, 0.35260039539771176)	(3, 0.35275584895599293)	(4, 0.35281929938794443)	(5, 0.35286054216871293)	(6, 0.35293668268705475)	(7, 0.35303503085657956)	(8, 0.35322855467403164)	(9, 0.3533776631891177)	(10, 0.35360132596174676)	(12, 0.35392016438230306)	(14, 0.3541009981133648)	(16, 0.35415334471972487)	(18, 0.3541977600220909)	(20, 0.354234244020463)	(22, 0.35426438297564)	(24, 0.354286590626823)	(26, 0.35431831584279877)	(28, 0.35435797236276845)	(30, 0.354391283839543)	(32, 0.3544356991419091)	(34, 0.3545023220954581)	(36, 0.35458798017859267)	(38, 0.35469425965211143)	(40, 0.35487192086157565)	(42, 0.3550797210262169)	(44, 0.3552859349300592)	(46, 0.35547311370431617)	(48, 0.355646016131384)	(50, 0.3557998834288664)	(52, 0.3559220255103731)	(54, 0.3560489263742761)	(56, 0.3561789997597766)	(58, 0.3563392121004542)	(60, 0.35650259696272935)	(62, 0.35667391312899843)	(64, 0.35684522929526746)	(66, 0.35702764928712805)	(68, 0.35715455015103104)	(70, 0.35728938231892804)	(72, 0.3573909030100504)	(74, 0.35750352752676434)	(76, 0.35765898108504557)	(78, 0.35777953690575337)	(80, 0.3579111965520527)	(82, 0.3580444424591509)	(84, 0.35823638001580427)	(86, 0.35843783513725025)	(88, 0.3586773605178672)	(90, 0.35885343546653264)
SRR9929265_1 - polya	(1, 0.017975158851665944)	(2, 0.01864216940622379)	(3, 0.019830378905738473)	(4, 0.02184692244277383)	(5, 0.02385105648111974)	(6, 0.02542706281467968)	(7, 0.02975177310795243)	(8, 0.032813816909573815)	(9, 0.0376597261478034)	(10, 0.040662824830649896)	(12, 0.0427165968637536)	(14, 0.044751754648823125)	(16, 0.04704285834436253)	(18, 0.051379978136324736)	(20, 0.05571244436627839)	(22, 0.058645739618996745)	(24, 0.0610966156101628)	(26, 0.06329930162753988)	(28, 0.06582308342350643)	(30, 0.06800095044350463)	(32, 0.07005472247660832)	(34, 0.0721674396284869)	(36, 0.07362710691183327)	(38, 0.07527446786285755)	(40, 0.07698077393265669)	(42, 0.07942079161246948)	(44, 0.08124498791981838)	(46, 0.08266122195775168)	(48, 0.08423257472930307)	(50, 0.08515087763232225)	(52, 0.08601644016591128)	(54, 0.0869145776335601)	(56, 0.0879135422780607)	(58, 0.0892382562631593)	(60, 0.0908421839687705)	(62, 0.0924383557377008)	(64, 0.09375531378611851)	(66, 0.0957206681410599)	(68, 0.09714931167768263)	(70, 0.0981824024435792)	(72, 0.09937061194309388)	(74, 0.10046885257711007)	(76, 0.10170670007138255)	(78, 0.10300814624643845)	(80, 0.10432200192018379)	(82, 0.10567308608999747)	(84, 0.10693420139431266)	(86, 0.10826977369076454)	(88, 0.11011568662081998)	(90, 0.11126356524959395)
SRR9929265_2 - polya	(1, 0.0070920285010197355)	(2, 0.012229560958451353)	(3, 0.022690768353656316)	(4, 0.03413853089467243)	(5, 0.045573883936999085)	(6, 0.056965803733912676)	(7, 0.07041459793860233)	(8, 0.0870526333064802)	(9, 0.1070133119484579)	(10, 0.13405205840542966)	(12, 0.17164818587244965)	(14, 0.21061090938264515)	(16, 0.24885077959418023)	(18, 0.28450326932896536)	(20, 0.32085844692704046)	(22, 0.3512648210908613)	(24, 0.3781500000015512)	(26, 0.40263859447784134)	(28, 0.42540071744896196)	(30, 0.44752530242491223)	(32, 0.468197976054197)	(34, 0.48773828292806964)	(36, 0.5059817971888949)	(38, 0.5231937718711597)	(40, 0.5392159858665737)	(42, 0.5544874251912761)	(44, 0.5698969201888986)	(46, 0.5846145856345843)	(48, 0.5981440415807554)	(50, 0.611111967711229)	(52, 0.6234749307805919)	(54, 0.6357463737971202)	(56, 0.6478146112726086)	(58, 0.6594671305420007)	(60, 0.6706403329245127)	(62, 0.6812458007419826)	(64, 0.6916449606437403)	(66, 0.702377625822777)	(68, 0.7124262173865576)	(70, 0.7217535068390143)	(72, 0.730584416343893)	(74, 0.7389701350832878)	(76, 0.7474473738755172)	(78, 0.7550652548835022)	(80, 0.7635192258656889)	(82, 0.7713030839186454)	(84, 0.7784525063511039)	(86, 0.7851722498914402)	(88, 0.7919323243025171)	(90, 0.7967053277359463)
SRR9929265_2 - polyg	(1, 0.347869272011961)	(2, 0.3550636788771687)	(3, 0.35520638811209737)	(4, 0.3552777427295617)	(5, 0.35535530209637073)	(6, 0.3554421685871969)	(7, 0.355529035078023)	(8, 0.35568105143696876)	(9, 0.3558516820439487)	(10, 0.35620690394393417)	(12, 0.3566784648941332)	(14, 0.3569157965565689)	(16, 0.356985599986697)	(18, 0.3570445451054719)	(20, 0.35708642716354877)	(22, 0.3571391675329789)	(24, 0.35717019127970256)	(26, 0.35721982927446033)	(28, 0.3572632625198734)	(30, 0.35730514457795026)	(32, 0.35737029444606994)	(34, 0.3574385466888619)	(36, 0.35750835011899007)	(38, 0.35766036647793575)	(40, 0.357875981517665)	(42, 0.35813037624079863)	(44, 0.3584638815180775)	(46, 0.3587027643678494)	(48, 0.35887494616216553)	(50, 0.3590828052652138)	(52, 0.35924723112284895)	(54, 0.35941320816782035)	(56, 0.35960090183549825)	(58, 0.3598413358726063)	(60, 0.36005695091233547)	(62, 0.36031444801014156)	(64, 0.36049438574113857)	(66, 0.3606758746594717)	(68, 0.36084185170444305)	(70, 0.36100627756207826)	(72, 0.3611598451083602)	(74, 0.3613475387760381)	(76, 0.36152592531969896)	(78, 0.36167794167864464)	(80, 0.3618920055310377)	(82, 0.3621727704388864)	(84, 0.3625016221541568)	(86, 0.3628320250567634)	(88, 0.3631701838960508)	(90, 0.36339665724713327)
SRR9929266_2 - polya	(1, 0.0054704515480252)	(2, 0.011566759840951589)	(3, 0.023246107667758416)	(4, 0.03599835277153871)	(5, 0.04906187054209526)	(6, 0.06202273456084261)	(7, 0.07694395409801062)	(8, 0.09550110329603316)	(9, 0.11722396174339715)	(10, 0.14627000638837478)	(12, 0.18589104317537325)	(14, 0.22550711284534875)	(16, 0.26436486931647574)	(18, 0.3006844289888367)	(20, 0.3363102479836485)	(22, 0.36604175477780365)	(24, 0.392155544673522)	(26, 0.4155390759122508)	(28, 0.4373463753490062)	(30, 0.45858907915081104)	(32, 0.47830853373222154)	(34, 0.4965229518556553)	(36, 0.5136263914716057)	(38, 0.53016689115828)	(40, 0.5450318167025203)	(42, 0.5596599763353299)	(44, 0.5741076640496362)	(46, 0.5884808450085971)	(48, 0.6015443627791537)	(50, 0.6142187897162399)	(52, 0.626209410209823)	(54, 0.6377943828131922)	(56, 0.6492932587214959)	(58, 0.6606745795269211)	(60, 0.6708886278319355)	(62, 0.680933794158167)	(64, 0.6906958348140861)	(66, 0.7003750901862881)	(68, 0.7096536647852993)	(70, 0.7187799144622712)	(72, 0.7275717115930259)	(74, 0.7360588588797019)	(76, 0.7440327374073318)	(78, 0.7513410222538763)	(80, 0.7599987072250094)	(82, 0.7674940868127547)	(84, 0.77457388427624)	(86, 0.7810261692891499)	(88, 0.787309572323277)	(90, 0.7915796372574043)
