Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR9929263_1	(1, 0.014321658757011989)	(2, 0.0005308761465949994)	(3, 0.0033322225924691767)	(4, 5.998600526497168e-06)	(5, 0.0015056487321507893)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.005829140061623623)	(14, 0.0)	(16, 8.847935776583323e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0003674142822479515)	(28, 0.0)	(30, 1.499650131624292e-06)	(32, 0.0)	(34, 0.00048288734238302204)	(36, 0.0)	(38, 1.499650131624292e-06)	(40, 1.3496851184618627e-05)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.00978971605924338)	(54, 0.005907121868468086)	(56, 0.0003569167313265815)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 5.398740473847451e-05)	(68, 0.0)	(70, 4.498950394872876e-06)	(72, 0.0)	(74, 0.0)	(76, 0.0001934548669795337)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0003614156817214544)	(90, 4.498950394872876e-06)	(92, 0.0)	(94, 0.0)	(96, 5.998600526497168e-06)	(98, 4.498950394872876e-06)	(100, 0.0)
SRR9929263_2	(1, 0.019237511888476416)	(2, 1.4996501316242921e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0011787250034566935)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 2.999300263248584e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.002101009834405633)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 2.5494052237612965e-05)	(50, 0.0004154030864599289)	(52, 0.0007903156193660019)	(54, 3.149265276411013e-05)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 4.498950394872876e-06)	(70, 8.997900789745752e-06)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 9.297830816070612e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR9929264_1	(1, 0.014704637604761423)	(2, 0.0005456737147829481)	(3, 0.0032359720295267857)	(4, 0.0)	(5, 0.0013483216789694939)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.005883441302703357)	(14, 0.0)	(16, 9.35894183044881e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0003188400895759817)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.00044416774908760806)	(36, 0.0)	(38, 1.5863554647582092e-06)	(40, 9.518322739545883e-06)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.009620657261974273)	(54, 0.005828558846285665)	(56, 0.00034133400664509045)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 4.9330164002904116e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.00017303875749327915)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0003179059528332114)	(90, 1.6487541074174514e-06)	(92, 0.0)	(94, 0.0)	(96, 1.6908995111947693e-06)	(98, 5.12637058857655e-06)	(100, 0.0)
SRR9929264_2	(1, 0.01999640362951699)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0011262451671392242)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 6.34504319515056e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0020796804747826446)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 2.855992753394387e-05)	(50, 0.00039035846332058583)	(52, 0.0007744731737490097)	(54, 2.0634730336851975e-05)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 6.621803998413221e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR9929265_1	(1, 0.014087883387196246)	(2, 0.0005553250663528138)	(3, 0.0032078554112224002)	(4, 3.1023746723620885e-06)	(5, 0.0014953445920785268)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.005968968869624659)	(14, 0.0)	(16, 8.996886549850058e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.00039245039605380425)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0004963909585117056)	(36, 0.0)	(38, 1.551264819116472e-06)	(40, 9.307778352136649e-06)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.009646298209008622)	(54, 0.005918040493800181)	(56, 0.0003927397234373437)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 4.3553405372324996e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.000195549912871563)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0003569450861178622)	(90, 1.6016856909020185e-06)	(92, 0.0)	(94, 0.0)	(96, 4.905561161612682e-06)	(98, 8.24782170492471e-06)	(100, 0.0)
SRR9929265_2	(1, 0.019718693417533437)	(2, 1.2409498689448354e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0011571857527910591)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 3.1023746723620885e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0021236830527920614)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 1.706724313814593e-05)	(50, 0.000425165509251842)	(52, 0.0008457729725595864)	(54, 4.811501736587384e-05)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 1.556663872558793e-06)	(70, 1.0906692003431557e-05)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 7.245227596145784e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR9929266_1	(1, 0.013911239075819532)	(2, 0.0004934002909538467)	(3, 0.0032120690082230287)	(4, 0.0)	(5, 0.0016855083764799196)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.005924114902794844)	(14, 0.0)	(16, 0.00011093233528228753)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.00032948700578584153)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.00047189497041922235)	(36, 0.0)	(38, 4.96756470025342e-06)	(40, 1.1591489865949553e-05)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.009679859691096781)	(54, 0.005823228889887467)	(56, 0.0003317531708636318)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 4.9978023829954904e-05)	(68, 0.0)	(70, 5.013754734739283e-06)	(72, 0.0)	(74, 0.0)	(76, 0.0002071311482187218)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.000355889697595663)	(90, 3.4995871099637986e-06)	(92, 0.0)	(94, 0.0)	(96, 1.8036128240623305e-06)	(98, 1.8255490370676087e-06)	(100, 0.0)
SRR9929266_2	(1, 0.01960355518420653)	(2, 1.324564539473414e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0012252221990129081)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 4.9671170230253024e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.002051542972258238)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 3.3132070911974996e-05)	(50, 0.0004407564653505436)	(52, 0.0008320621732767819)	(54, 2.9845340450938555e-05)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 6.684339279883096e-06)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 9.538125471519788e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR9929267_1	(1, 0.0141444904188343)	(2, 0.0005810530101633808)	(3, 0.0032439359481692743)	(4, 3.3203029152193187e-06)	(5, 0.0014277302535443072)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.00589851812888712)	(14, 0.0)	(16, 8.300763213673681e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.00032871231879795683)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0004150592115169966)	(36, 0.0)	(38, 1.6603265437267916e-06)	(40, 1.3283275530883125e-05)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.009526891129440534)	(54, 0.005937306696690052)	(56, 0.00035595080214344927)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 5.010809568942601e-05)	(68, 0.0)	(70, 3.350525662295895e-06)	(72, 0.0)	(74, 0.0)	(76, 0.00019398642749500873)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.00027921295452378833)	(90, 0.0)	(92, 1.760948060625638e-06)	(94, 0.0)	(96, 3.590942780481358e-06)	(98, 1.0890651254410623e-05)	(100, 0.0)
SRR9929267_2	(1, 0.01980228658636802)	(2, 9.960908745657957e-06)	(3, 0.0)	(4, 0.0)	(5, 0.0010757781445310593)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 3.3203029152193187e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.002015572740019557)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 2.491695800819818e-05)	(50, 0.00036387232328291395)	(52, 0.0007279700555002376)	(54, 2.9927116995624706e-05)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 5.025203489333796e-06)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 6.816904423250688e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
