Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR9929263_1	(1, 36.387991281633994)	(2, 36.3849447423916)	(3, 36.53394392088326)	(4, 36.59053834740355)	(5, 36.664351786728155)	(6, 36.685845342281645)	(7, 36.67870307857177)	(8, 36.737980679107565)	(9, 36.760148867269265)	(10, 36.80815367274815)	(12, 36.81483546888511)	(14, 36.826083429735846)	(16, 36.824549287651195)	(18, 36.82304908264902)	(20, 36.8223549845821)	(22, 36.81374573312046)	(24, 36.808285327033204)	(26, 36.79606334342198)	(28, 36.78926775383303)	(30, 36.78747739652339)	(32, 36.787395620601714)	(34, 36.78556778703528)	(36, 36.783661011885926)	(38, 36.781761270095686)	(40, 36.77499727813502)	(42, 36.769842875657105)	(44, 36.7651259061261)	(46, 36.7577213086187)	(48, 36.758363383822555)	(50, 36.75329453638466)	(52, 36.74927481418585)	(54, 36.73719423258554)	(56, 36.73505000283434)	(58, 36.7407303176169)	(60, 36.7331718710025)	(62, 36.70731980728896)	(64, 36.70664745414895)	(66, 36.688237179266075)	(68, 36.64375136280706)	(70, 36.57872465853716)	(72, 36.551742908379474)	(74, 36.54753695962732)	(76, 36.485188150604465)	(78, 36.43538386994314)	(80, 36.426195948485216)	(82, 36.43944523742611)	(84, 36.39696331345897)	(86, 36.39463426682555)	(88, 36.385685914476156)	(90, 36.36560616908075)	(92, 36.33087878597923)	(94, 36.331960978503716)	(96, 36.29606550291817)	(98, 36.300398532022484)	(100, 36.2006961525876)
SRR9929263_2	(1, 35.94400465371429)	(2, 36.02544537359434)	(3, 36.52717261062994)	(4, 36.61826486880611)	(5, 36.65885541903074)	(6, 36.651426602173714)	(7, 36.63888220878069)	(8, 36.65039373314206)	(9, 36.66207669750647)	(10, 36.65144326328668)	(12, 36.64787833998328)	(14, 36.62998710900747)	(16, 36.631703713523635)	(18, 36.64440386057933)	(20, 36.63069216951685)	(22, 36.6222923591926)	(24, 36.61826801807138)	(26, 36.61686732985194)	(28, 36.615044280169435)	(30, 36.60146475327306)	(32, 36.59218419842651)	(34, 36.58750948903621)	(36, 36.58987200786056)	(38, 36.57351268449071)	(40, 36.565885493914266)	(42, 36.55441323039335)	(44, 36.515865878490544)	(46, 36.49493742109966)	(48, 36.4819767698196)	(50, 36.42588426120186)	(52, 36.402602927736964)	(54, 36.36664961064584)	(56, 36.30903540703954)	(58, 36.28358743905047)	(60, 36.24267363923997)	(62, 36.204127292102754)	(64, 36.145959747590894)	(66, 36.16104061922354)	(68, 36.109039486087894)	(70, 36.10614592615543)	(72, 36.092221014837236)	(74, 36.1253536849853)	(76, 36.091192344825956)	(78, 36.0801652224536)	(80, 35.98985741626478)	(82, 36.012111924288064)	(84, 35.977737243901004)	(86, 35.933987575698595)	(88, 35.9068907723828)	(90, 35.91311769464184)	(92, 35.87933785047949)	(94, 35.86171438203468)	(96, 35.87086829142761)	(98, 35.76204004605725)	(100, 35.66378136480759)
SRR9929264_1	(1, 36.40390000618007)	(2, 36.39370840744873)	(3, 36.537132652137956)	(4, 36.59420828264172)	(5, 36.66593474478396)	(6, 36.68997033946108)	(7, 36.685969472474376)	(8, 36.738878788990135)	(9, 36.76379812128347)	(10, 36.8098010486326)	(12, 36.820147529868336)	(14, 36.82950415264042)	(16, 36.82868556898649)	(18, 36.82808913610846)	(20, 36.824879575825996)	(22, 36.817789315488156)	(24, 36.811763729764195)	(26, 36.79864050663855)	(28, 36.79360498249118)	(30, 36.79303796122358)	(32, 36.78965568314395)	(34, 36.78745596222633)	(36, 36.78452689413578)	(38, 36.78299108863449)	(40, 36.77702363933906)	(42, 36.770570079656025)	(44, 36.76837162855672)	(46, 36.7597873998513)	(48, 36.76249885571706)	(50, 36.7562561881209)	(52, 36.75051180803493)	(54, 36.741620739808695)	(56, 36.73981865281816)	(58, 36.74157401170978)	(60, 36.734902410193314)	(62, 36.711581250067454)	(64, 36.70777885400794)	(66, 36.688131163306004)	(68, 36.64499948254917)	(70, 36.589325916990525)	(72, 36.55135144190254)	(74, 36.545077890481004)	(76, 36.488469387854664)	(78, 36.44486960684149)	(80, 36.42512159418132)	(82, 36.43495163987679)	(84, 36.391376761377586)	(86, 36.384198375109676)	(88, 36.37328476503567)	(90, 36.35987382878777)	(92, 36.339697167637496)	(94, 36.3307850295559)	(96, 36.28885173737744)	(98, 36.29378610888986)	(100, 36.20083728917308)
SRR9929264_2	(1, 35.96195876940171)	(2, 36.010829941801994)	(3, 36.52164690799066)	(4, 36.615962326686734)	(5, 36.6613090179434)	(6, 36.652149821190335)	(7, 36.645005937056915)	(8, 36.65953754533375)	(9, 36.6711446597515)	(10, 36.66425010409043)	(12, 36.66590676314347)	(14, 36.654309229740946)	(16, 36.65740245088156)	(18, 36.66929857091688)	(20, 36.66366206921468)	(22, 36.65496063516587)	(24, 36.65014977773107)	(26, 36.65111096393201)	(28, 36.6468777106904)	(30, 36.63784199513937)	(32, 36.62880808020638)	(34, 36.626177278617206)	(36, 36.62762401163807)	(38, 36.61560840678854)	(40, 36.61042473972815)	(42, 36.59622660250102)	(44, 36.56916586571796)	(46, 36.54736123371203)	(48, 36.53673688812517)	(50, 36.48903743392832)	(52, 36.46562119071235)	(54, 36.43245747683503)	(56, 36.38249172447312)	(58, 36.353278865119854)	(60, 36.31663194015906)	(62, 36.28368004193804)	(64, 36.23112696430012)	(66, 36.23877728559506)	(68, 36.18988009011173)	(70, 36.18330893860879)	(72, 36.16572617234045)	(74, 36.20041605631938)	(76, 36.16354372900611)	(78, 36.14945184488231)	(80, 36.07090620663796)	(82, 36.08367159176041)	(84, 36.05112463599147)	(86, 36.01265337265639)	(88, 35.98106483621299)	(90, 35.99160138398833)	(92, 35.953926727492444)	(94, 35.94137120959104)	(96, 35.95709460407897)	(98, 35.85590029782015)	(100, 35.7645948849752)
SRR9929265_1	(1, 36.38179361495926)	(2, 36.38069152738064)	(3, 36.52395214735982)	(4, 36.58206291349031)	(5, 36.656801042819815)	(6, 36.67993929769621)	(7, 36.67669045991557)	(8, 36.73196376314697)	(9, 36.75484098421844)	(10, 36.803155474917254)	(12, 36.81353602057098)	(14, 36.823134411034175)	(16, 36.822750879965305)	(18, 36.822025979099365)	(20, 36.818927668537825)	(22, 36.81144542335051)	(24, 36.804836403562234)	(26, 36.79222219468003)	(28, 36.78603697478387)	(30, 36.786481079718214)	(32, 36.781487409649415)	(34, 36.779604184002366)	(36, 36.77638653696097)	(38, 36.774409373472736)	(40, 36.766929062404785)	(42, 36.75980163266152)	(44, 36.756314856833384)	(46, 36.749010435840695)	(48, 36.75186771953629)	(50, 36.745705084570524)	(52, 36.74022165401826)	(54, 36.73160749141271)	(56, 36.72854448865034)	(58, 36.73033374281046)	(60, 36.72328112243113)	(62, 36.69836232060828)	(64, 36.69457669118023)	(66, 36.673080016497636)	(68, 36.62702911518768)	(70, 36.56757682783521)	(72, 36.52830727554456)	(74, 36.525465793879405)	(76, 36.46926172208846)	(78, 36.421712860491134)	(80, 36.406441103978636)	(82, 36.41424758651563)	(84, 36.36770805775692)	(86, 36.359961701938516)	(88, 36.34833650203457)	(90, 36.33747866899108)	(92, 36.316136159120646)	(94, 36.30809691186374)	(96, 36.26403032762913)	(98, 36.2675024173741)	(100, 36.17794356202471)
SRR9929265_2	(1, 35.89463345955138)	(2, 35.97414390979188)	(3, 36.48202988250718)	(4, 36.58549960005737)	(5, 36.629591634732115)	(6, 36.62092639203474)	(7, 36.61338706315346)	(8, 36.62785129561216)	(9, 36.639651301773476)	(10, 36.632247624224746)	(12, 36.63290655309328)	(14, 36.61798372761051)	(16, 36.620196275573214)	(18, 36.63442822871008)	(20, 36.62802126655838)	(22, 36.61628667089563)	(24, 36.61084405808905)	(26, 36.6107424009993)	(28, 36.607095938316895)	(30, 36.59534715138678)	(32, 36.58519946106497)	(34, 36.58152702243447)	(36, 36.58338408209752)	(38, 36.570011264497836)	(40, 36.56248965945849)	(42, 36.54665626769831)	(44, 36.514289131292756)	(46, 36.489463081544834)	(48, 36.477375484857035)	(50, 36.422689717116015)	(52, 36.39396422645856)	(54, 36.359528699306196)	(56, 36.30306920189928)	(58, 36.26970320992736)	(60, 36.224980565957466)	(62, 36.19054097119828)	(64, 36.128565723665275)	(66, 36.13463021054743)	(68, 36.082191664938094)	(70, 36.071291715563646)	(72, 36.05189642435833)	(74, 36.09187816306934)	(76, 36.05147408032386)	(78, 36.03418816570831)	(80, 35.948018111639826)	(82, 35.95957445120686)	(84, 35.92289108059275)	(86, 35.88002264906114)	(88, 35.84209454951801)	(90, 35.85416162088377)	(92, 35.81022433519797)	(94, 35.794800076858714)	(96, 35.81623758019016)	(98, 35.69744770076092)	(100, 35.60998195495804)
SRR9929266_1	(1, 36.36438489010949)	(2, 36.35144316604834)	(3, 36.50643632401021)	(4, 36.56832666834533)	(5, 36.647844979854035)	(6, 36.67371206960428)	(7, 36.666418123168874)	(8, 36.72391144305876)	(9, 36.74728258961904)	(10, 36.79752613730092)	(12, 36.806441565974374)	(14, 36.816849712655596)	(16, 36.81604658730377)	(18, 36.815389708840115)	(20, 36.812364344443566)	(22, 36.80466978506883)	(24, 36.7980818914489)	(26, 36.78393432565083)	(28, 36.77773715009605)	(30, 36.77781187278562)	(32, 36.774471603116865)	(34, 36.77277421127002)	(36, 36.77034492459439)	(38, 36.76859189381898)	(40, 36.76240121367434)	(42, 36.75751481933918)	(44, 36.75408813099836)	(46, 36.74506825500181)	(48, 36.747501308182215)	(50, 36.740675774213464)	(52, 36.73632178845244)	(54, 36.72814319585443)	(56, 36.725466589888185)	(58, 36.72814718550514)	(60, 36.7216383203664)	(62, 36.69752756157641)	(64, 36.69359366619974)	(66, 36.67533528153699)	(68, 36.63062497096071)	(70, 36.56714959887857)	(72, 36.53164255523339)	(74, 36.52363251529267)	(76, 36.46518745631697)	(78, 36.417812714429985)	(80, 36.4061439944234)	(82, 36.41558445638263)	(84, 36.374121221957)	(86, 36.367940197903295)	(88, 36.35865683261762)	(90, 36.338720668505744)	(92, 36.31190125723826)	(94, 36.30551139411713)	(96, 36.26412477717899)	(98, 36.27360551381296)	(100, 36.17987795684013)
SRR9929266_2	(1, 35.92304634346674)	(2, 35.984799794056705)	(3, 36.510870668061344)	(4, 36.60770491245224)	(5, 36.656173974134695)	(6, 36.64936389112556)	(7, 36.642513210213295)	(8, 36.6574637357409)	(9, 36.670098392627686)	(10, 36.663981652926736)	(12, 36.666769182443005)	(14, 36.653257150562325)	(16, 36.657315468577636)	(18, 36.66909372902676)	(20, 36.66172292600455)	(22, 36.652232007899016)	(24, 36.64892123108035)	(26, 36.649682709764846)	(28, 36.645569739534864)	(30, 36.63531538639137)	(32, 36.62636471013106)	(34, 36.623621276674335)	(36, 36.62589497925824)	(38, 36.611412493055596)	(40, 36.605394609254304)	(42, 36.594288806045775)	(44, 36.56192934314583)	(46, 36.54202532001902)	(48, 36.53214424982765)	(50, 36.48107383392045)	(52, 36.45870467420748)	(54, 36.42549707605514)	(56, 36.37421337793852)	(58, 36.34680688216981)	(60, 36.31203687073638)	(62, 36.279172599214505)	(64, 36.21962246562077)	(66, 36.231612553497094)	(68, 36.183117776937706)	(70, 36.176695893119586)	(72, 36.16038394433792)	(74, 36.19263285086896)	(76, 36.158764616783316)	(78, 36.144511758842384)	(80, 36.05605432092821)	(82, 36.07388458032757)	(84, 36.0423027939272)	(86, 36.00323147538609)	(88, 35.96945339119079)	(90, 35.9776480823867)	(92, 35.94145592273323)	(94, 35.92627421109396)	(96, 35.93885002671993)	(98, 35.83834085555538)	(100, 35.74497210765712)
SRR9929267_1	(1, 36.363501251455375)	(2, 36.34791495269863)	(3, 36.50429301885726)	(4, 36.56074155512496)	(5, 36.641011438642764)	(6, 36.66754557298368)	(7, 36.65906498808974)	(8, 36.71815283314475)	(9, 36.74314445436035)	(10, 36.794457195883325)	(12, 36.80374373450539)	(14, 36.814836484710305)	(16, 36.813767495837055)	(18, 36.812687582819606)	(20, 36.81084706837276)	(22, 36.803550120618866)	(24, 36.797612728383974)	(26, 36.78353762490557)	(28, 36.77676173813565)	(30, 36.77656764842533)	(32, 36.77472013800764)	(34, 36.77281495220423)	(36, 36.76893272864758)	(38, 36.767506501374484)	(40, 36.76202599131585)	(42, 36.75738219464506)	(44, 36.75378763111965)	(46, 36.743622157047824)	(48, 36.74553630906036)	(50, 36.74001712511466)	(52, 36.73612513688957)	(54, 36.72365353500588)	(56, 36.722937110092026)	(58, 36.72681564343191)	(60, 36.72068316994166)	(62, 36.695587281530344)	(64, 36.69298666427563)	(66, 36.67407043339823)	(68, 36.62829448287377)	(70, 36.56442044456186)	(72, 36.53283550106128)	(74, 36.5244540130672)	(76, 36.46154865735288)	(78, 36.41208596297251)	(80, 36.399144258152916)	(82, 36.41249416230541)	(84, 36.3689861979727)	(86, 36.3649157852052)	(88, 36.35396223803599)	(90, 36.33205376358245)	(92, 36.30115815465523)	(94, 36.30385173644288)	(96, 36.26464475458117)	(98, 36.26872219149629)	(100, 36.17418122610629)
SRR9929267_2	(1, 35.91726183649806)	(2, 35.955866533650905)	(3, 36.49305263138322)	(4, 36.59187673282459)	(5, 36.640547193889155)	(6, 36.63446054739709)	(7, 36.62548583502331)	(8, 36.640270579453286)	(9, 36.65415167024186)	(10, 36.64546444629599)	(12, 36.64920690912537)	(14, 36.63566912105672)	(16, 36.639553287270594)	(18, 36.653825204161734)	(20, 36.645686352722755)	(22, 36.6384383373119)	(24, 36.634975742053435)	(26, 36.636390143466755)	(28, 36.632145603776635)	(30, 36.62177025965187)	(32, 36.61290783211223)	(34, 36.60978736916658)	(36, 36.61329401400975)	(38, 36.598395163413315)	(40, 36.592901813218035)	(42, 36.58204007561457)	(44, 36.54840287695061)	(46, 36.52901502838682)	(48, 36.51749322410476)	(50, 36.46794727506369)	(52, 36.44532860379553)	(54, 36.41157558993668)	(56, 36.357304544724464)	(58, 36.33081487450413)	(60, 36.29366598545054)	(62, 36.257437342336516)	(64, 36.19664946108979)	(66, 36.21273015861789)	(68, 36.160722485319866)	(70, 36.156137676816385)	(72, 36.14113605583935)	(74, 36.17283614958268)	(76, 36.13732868246613)	(78, 36.12801135133989)	(80, 36.04086626763584)	(82, 36.060634847192595)	(84, 36.02972669339674)	(86, 35.98976446783148)	(88, 35.958917076605886)	(90, 35.96560444080367)	(92, 35.93175290931363)	(94, 35.91480829481914)	(96, 35.929385154467916)	(98, 35.82655727119918)	(100, 35.739278648290025)
