Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
SRR9929263_1	(21.0, 2.0)	(22.0, 8.0)	(23.0, 12.0)	(24.0, 36.0)	(25.0, 226.0)	(26.0, 1017.0)	(27.0, 3785.0)	(28.0, 11491.0)	(29.0, 33252.0)	(30.0, 82254.0)	(31.0, 166268.0)	(32.0, 281426.0)	(33.0, 434691.0)	(34.0, 665487.0)	(35.0, 1339393.0)	(36.0, 12391452.0)	(37.0, 17930310.0)							
SRR9929263_2	(14.0, 5.0)	(15.0, 58.0)	(16.0, 421.0)	(17.0, 3122.0)	(18.0, 14044.0)	(19.0, 31993.0)	(20.0, 38959.0)	(21.0, 30429.0)	(22.0, 22433.0)	(23.0, 21571.0)	(24.0, 28481.0)	(25.0, 45289.0)	(26.0, 71127.0)	(27.0, 90920.0)	(28.0, 98392.0)	(29.0, 105552.0)	(30.0, 129312.0)	(31.0, 176304.0)	(32.0, 259204.0)	(33.0, 413806.0)	(34.0, 778251.0)	(35.0, 2281826.0)	(36.0, 16941852.0)	(37.0, 11757759.0)
SRR9929264_1	(21.0, 1.0)	(22.0, 13.0)	(23.0, 31.0)	(24.0, 57.0)	(25.0, 299.0)	(26.0, 1007.0)	(27.0, 3634.0)	(28.0, 11031.0)	(29.0, 31701.0)	(30.0, 76015.0)	(31.0, 152964.0)	(32.0, 258572.0)	(33.0, 397226.0)	(34.0, 609460.0)	(35.0, 1250469.0)	(36.0, 11717491.0)	(37.0, 17010697.0)							
SRR9929264_2	(18.0, 6.0)	(19.0, 1922.0)	(20.0, 13185.0)	(21.0, 17462.0)	(22.0, 16232.0)	(23.0, 17670.0)	(24.0, 26298.0)	(25.0, 46330.0)	(26.0, 76797.0)	(27.0, 99556.0)	(28.0, 102258.0)	(29.0, 103724.0)	(30.0, 120595.0)	(31.0, 159485.0)	(32.0, 230299.0)	(33.0, 364952.0)	(34.0, 683398.0)	(35.0, 2022873.0)	(36.0, 15435753.0)	(37.0, 11981873.0)				
SRR9929265_1	(22.0, 8.0)	(23.0, 36.0)	(24.0, 104.0)	(25.0, 303.0)	(26.0, 1273.0)	(27.0, 4212.0)	(28.0, 12681.0)	(29.0, 34368.0)	(30.0, 82896.0)	(31.0, 166675.0)	(32.0, 281795.0)	(33.0, 433970.0)	(34.0, 661802.0)	(35.0, 1331076.0)	(36.0, 11857374.0)	(37.0, 17364800.0)								
SRR9929265_2	(18.0, 2.0)	(19.0, 2472.0)	(20.0, 15068.0)	(21.0, 19352.0)	(22.0, 17335.0)	(23.0, 19051.0)	(24.0, 28556.0)	(25.0, 48721.0)	(26.0, 78078.0)	(27.0, 100129.0)	(28.0, 107446.0)	(29.0, 114712.0)	(30.0, 140962.0)	(31.0, 191828.0)	(32.0, 278571.0)	(33.0, 441707.0)	(34.0, 832128.0)	(35.0, 2518266.0)	(36.0, 16977325.0)	(37.0, 10301664.0)				
SRR9929266_1	(22.0, 15.0)	(23.0, 31.0)	(24.0, 46.0)	(25.0, 177.0)	(26.0, 973.0)	(27.0, 3418.0)	(28.0, 10925.0)	(29.0, 32642.0)	(30.0, 81155.0)	(31.0, 163154.0)	(32.0, 273229.0)	(33.0, 413593.0)	(34.0, 615300.0)	(35.0, 1220790.0)	(36.0, 11095422.0)	(37.0, 16287734.0)								
SRR9929266_2	(18.0, 5.0)	(19.0, 1598.0)	(20.0, 10786.0)	(21.0, 14456.0)	(22.0, 13207.0)	(23.0, 13905.0)	(24.0, 20620.0)	(25.0, 37658.0)	(26.0, 62205.0)	(27.0, 83014.0)	(28.0, 91222.0)	(29.0, 98575.0)	(30.0, 122324.0)	(31.0, 167489.0)	(32.0, 244232.0)	(33.0, 384577.0)	(34.0, 709154.0)	(35.0, 2040786.0)	(36.0, 14868676.0)	(37.0, 11214115.0)				
SRR9929267_1	(22.0, 12.0)	(23.0, 27.0)	(24.0, 73.0)	(25.0, 238.0)	(26.0, 1059.0)	(27.0, 3968.0)	(28.0, 11852.0)	(29.0, 34178.0)	(30.0, 83383.0)	(31.0, 165187.0)	(32.0, 273100.0)	(33.0, 411736.0)	(34.0, 616869.0)	(35.0, 1226356.0)	(36.0, 11092257.0)	(37.0, 16197439.0)								
SRR9929267_2	(18.0, 5.0)	(19.0, 1918.0)	(20.0, 12812.0)	(21.0, 17087.0)	(22.0, 15681.0)	(23.0, 17421.0)	(24.0, 26223.0)	(25.0, 47139.0)	(26.0, 77513.0)	(27.0, 99612.0)	(28.0, 102976.0)	(29.0, 105009.0)	(30.0, 123137.0)	(31.0, 163729.0)	(32.0, 235519.0)	(33.0, 368639.0)	(34.0, 680029.0)	(35.0, 1960715.0)	(36.0, 14714320.0)	(37.0, 11348250.0)				
SRR9929268_1	(22.0, 9.0)	(23.0, 14.0)	(24.0, 56.0)	(25.0, 226.0)	(26.0, 1077.0)	(27.0, 3796.0)	(28.0, 11452.0)	(29.0, 32183.0)	(30.0, 78020.0)	(31.0, 156466.0)	(32.0, 262044.0)	(33.0, 399225.0)	(34.0, 598854.0)	(35.0, 1186474.0)	(36.0, 10853213.0)	(37.0, 16428936.0)								
SRR9929268_2	(18.0, 11.0)	(19.0, 1863.0)	(20.0, 11649.0)	(21.0, 15537.0)	(22.0, 14412.0)	(23.0, 15522.0)	(24.0, 23401.0)	(25.0, 41979.0)	(26.0, 69550.0)	(27.0, 92550.0)	(28.0, 99633.0)	(29.0, 103478.0)	(30.0, 124707.0)	(31.0, 166551.0)	(32.0, 240455.0)	(33.0, 378137.0)	(34.0, 698730.0)	(35.0, 2039435.0)	(36.0, 14886007.0)	(37.0, 10988438.0)				
SRR9929269_1	(21.0, 2.0)	(22.0, 5.0)	(23.0, 29.0)	(24.0, 60.0)	(25.0, 225.0)	(26.0, 961.0)	(27.0, 3332.0)	(28.0, 10824.0)	(29.0, 31827.0)	(30.0, 77621.0)	(31.0, 153978.0)	(32.0, 254368.0)	(33.0, 383935.0)	(34.0, 570017.0)	(35.0, 1131330.0)	(36.0, 10354215.0)	(37.0, 14952047.0)							
SRR9929269_2	(18.0, 1.0)	(19.0, 1431.0)	(20.0, 9814.0)	(21.0, 13495.0)	(22.0, 12370.0)	(23.0, 13284.0)	(24.0, 20351.0)	(25.0, 35627.0)	(26.0, 58749.0)	(27.0, 77260.0)	(28.0, 85454.0)	(29.0, 93492.0)	(30.0, 115508.0)	(31.0, 156161.0)	(32.0, 226714.0)	(33.0, 356355.0)	(34.0, 653567.0)	(35.0, 1887827.0)	(36.0, 13668386.0)	(37.0, 10438930.0)				
SRR9929270_1	(21.0, 1.0)	(22.0, 4.0)	(23.0, 21.0)	(24.0, 105.0)	(25.0, 581.0)	(26.0, 2901.0)	(27.0, 8799.0)	(28.0, 15135.0)	(29.0, 25368.0)	(30.0, 51142.0)	(31.0, 96254.0)	(32.0, 156494.0)	(33.0, 229940.0)	(34.0, 343876.0)	(35.0, 744211.0)	(36.0, 7419468.0)	(37.0, 9472748.0)							
SRR9929270_2	(18.0, 11.0)	(19.0, 3746.0)	(20.0, 23375.0)	(21.0, 36827.0)	(22.0, 44824.0)	(23.0, 65192.0)	(24.0, 128210.0)	(25.0, 239627.0)	(26.0, 329114.0)	(27.0, 330576.0)	(28.0, 273327.0)	(29.0, 221680.0)	(30.0, 204487.0)	(31.0, 213247.0)	(32.0, 243231.0)	(33.0, 314119.0)	(34.0, 547898.0)	(35.0, 1559937.0)	(36.0, 8387853.0)	(37.0, 5399767.0)				
SRR9929271_1	(22.0, 7.0)	(23.0, 12.0)	(24.0, 43.0)	(25.0, 263.0)	(26.0, 1178.0)	(27.0, 4075.0)	(28.0, 10763.0)	(29.0, 30238.0)	(30.0, 74606.0)	(31.0, 151799.0)	(32.0, 256954.0)	(33.0, 394831.0)	(34.0, 601113.0)	(35.0, 1203634.0)	(36.0, 10680577.0)	(37.0, 15676344.0)								
SRR9929271_2	(18.0, 5.0)	(19.0, 2290.0)	(20.0, 16202.0)	(21.0, 22188.0)	(22.0, 20845.0)	(23.0, 22234.0)	(24.0, 32599.0)	(25.0, 57042.0)	(26.0, 92681.0)	(27.0, 116726.0)	(28.0, 117908.0)	(29.0, 112025.0)	(30.0, 124651.0)	(31.0, 161409.0)	(32.0, 229373.0)	(33.0, 354402.0)	(34.0, 649984.0)	(35.0, 1867526.0)	(36.0, 14390817.0)	(37.0, 10695530.0)				
SRR9929272_1	(21.0, 3.0)	(22.0, 21.0)	(23.0, 75.0)	(24.0, 118.0)	(25.0, 431.0)	(26.0, 1497.0)	(27.0, 4634.0)	(28.0, 12237.0)	(29.0, 32478.0)	(30.0, 76567.0)	(31.0, 153199.0)	(32.0, 257590.0)	(33.0, 398350.0)	(34.0, 608263.0)	(35.0, 1231305.0)	(36.0, 11024587.0)	(37.0, 16044438.0)							
SRR9929272_2	(18.0, 5.0)	(19.0, 2503.0)	(20.0, 17788.0)	(21.0, 25119.0)	(22.0, 24099.0)	(23.0, 26462.0)	(24.0, 38445.0)	(25.0, 66829.0)	(26.0, 109108.0)	(27.0, 137448.0)	(28.0, 134407.0)	(29.0, 121891.0)	(30.0, 127473.0)	(31.0, 157706.0)	(32.0, 218575.0)	(33.0, 338015.0)	(34.0, 615886.0)	(35.0, 1743735.0)	(36.0, 14051112.0)	(37.0, 11889187.0)				
SRR9929273_1	(22.0, 7.0)	(23.0, 13.0)	(24.0, 44.0)	(25.0, 197.0)	(26.0, 1001.0)	(27.0, 3373.0)	(28.0, 9544.0)	(29.0, 26846.0)	(30.0, 66075.0)	(31.0, 135396.0)	(32.0, 229426.0)	(33.0, 354813.0)	(34.0, 537777.0)	(35.0, 1070266.0)	(36.0, 9570714.0)	(37.0, 14673393.0)								
SRR9929273_2	(18.0, 2.0)	(19.0, 2401.0)	(20.0, 15453.0)	(21.0, 19558.0)	(22.0, 17718.0)	(23.0, 18500.0)	(24.0, 26776.0)	(25.0, 47471.0)	(26.0, 77568.0)	(27.0, 98044.0)	(28.0, 100584.0)	(29.0, 100040.0)	(30.0, 116351.0)	(31.0, 153910.0)	(32.0, 222958.0)	(33.0, 349888.0)	(34.0, 653499.0)	(35.0, 1959102.0)	(36.0, 13799295.0)	(37.0, 8899767.0)				
SRR9929274_1	(21.0, 2.0)	(22.0, 10.0)	(23.0, 29.0)	(24.0, 91.0)	(25.0, 392.0)	(26.0, 1459.0)	(27.0, 4438.0)	(28.0, 12175.0)	(29.0, 32716.0)	(30.0, 79029.0)	(31.0, 155488.0)	(32.0, 258777.0)	(33.0, 392111.0)	(34.0, 583153.0)	(35.0, 1152129.0)	(36.0, 9914031.0)	(37.0, 14459125.0)							
