Sample	Unique Reads	Duplicate Reads
SRR9929263_1	4040194.0	29300916.0
SRR9929263_2	5072932.0	28268178.0
SRR9929264_1	3842030.0	27678638.0
SRR9929264_2	4943511.0	26577157.0
SRR9929265_1	4201875.0	28031498.0
SRR9929265_2	5422379.0	26810994.0
SRR9929266_1	4482433.0	25716171.0
SRR9929266_2	5598461.0	24600143.0
SRR9929267_1	4039439.0	26078295.0
SRR9929267_2	5113222.0	25004512.0
SRR9929268_1	4580202.0	25431843.0
SRR9929268_2	5722995.0	24289050.0
SRR9929269_1	4586648.0	23338128.0
SRR9929269_2	5453606.0	22471170.0
SRR9929270_1	2700220.0	15866828.0
SRR9929270_2	4608253.0	13958795.0
SRR9929271_1	4027994.0	25058443.0
SRR9929271_2	5561845.0	23524592.0
SRR9929272_1	4115385.0	25730408.0
SRR9929272_2	5747235.0	24098558.0
SRR9929273_1	3617630.0	23061255.0
SRR9929273_2	4883801.0	21795084.0
SRR9929274_1	3969084.0	23076071.0
SRR9929274_2	5283917.0	21761238.0
SRR9929275_1	4392285.0	24442858.0
SRR9929275_2	5673177.0	23161966.0
SRR9929276_1	3522452.0	24190431.0
SRR9929276_2	4975441.0	22737442.0
SRR9929277_1	3776379.0	25411543.0
SRR9929277_2	5038564.0	24149358.0
SRR9929278_1	3373043.0	24228823.0
SRR9929278_2	4566731.0	23035135.0
SRR9929279_1	4385781.0	23243713.0
SRR9929279_2	5529582.0	22099912.0
SRR9929280_1	4110768.0	27999028.0
SRR9929280_2	5472602.0	26637194.0
SRR9929281_1	4538659.0	27009770.0
SRR9929281_2	5789912.0	25758517.0
SRR9929282_1	3750903.0	25817572.0
SRR9929282_2	4848642.0	24719833.0
SRR9929283_1	4012907.0	26267759.0
SRR9929283_2	5111288.0	25169378.0
SRR9929284_1	3461191.0	23193761.0
SRR9929284_2	4687026.0	21967926.0
SRR9929285_1	3260401.0	22680037.0
SRR9929285_2	4436700.0	21503738.0
SRR9929286_1	3991383.0	22675716.0
SRR9929286_2	5312266.0	21354833.0
