Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR9929263_1	(1.0, 6.676166776092642)	(2.0, 3.638415776993637)	(3.0, 2.6143793033500877)	(4.0, 2.1497776080939297)	(5.0, 1.799855418524545)	(6.0, 1.5413327549005622)	(7.0, 1.361330912652298)	(8.0, 1.2367414009147646)	(9.0, 1.1227870090227359)	('>10', 17.942262027375637)	('>50', 7.291475879077123)	('>100', 17.135003945126005)	('>500', 7.334682369219375)	('>1k', 13.323447544335416)	('>5k', 3.435308291539769)	('>10k+', 11.39703298278153)
SRR9929263_2	(1.0, 8.49872837447304)	(2.0, 4.605911322396564)	(3.0, 3.5725179929759148)	(4.0, 2.842193301113178)	(5.0, 2.2973474911360414)	(6.0, 1.9799884830791477)	(7.0, 1.6464116238359712)	(8.0, 1.427165541536461)	(9.0, 1.31231844835708)	('>10', 18.278178433672128)	('>50', 7.220068216650589)	('>100', 18.293934733579782)	('>500', 6.693485425766095)	('>1k', 10.086459247043287)	('>5k', 3.1654760030632967)	('>10k+', 8.079815361321659)
SRR9929264_1	(1.0, 6.274684959907975)	(2.0, 3.8940617687095473)	(3.0, 2.9778889457680116)	(4.0, 2.2500269015286727)	(5.0, 1.9539886633900827)	(6.0, 1.6793800131768146)	(7.0, 1.4846344855437485)	(8.0, 1.3588272078465196)	(9.0, 1.238146519187789)	('>10', 19.579139559375914)	('>50', 8.21434441411251)	('>100', 19.170804749442706)	('>500', 8.03336464858942)	('>1k', 13.244216394314915)	('>5k', 3.4161597602679046)	('>10k+', 5.230331008837446)
SRR9929264_2	(1.0, 8.363780479672032)	(2.0, 4.83733579216511)	(3.0, 3.868261441829895)	(4.0, 3.146133634501072)	(5.0, 2.5874561180644915)	(6.0, 2.178762452365151)	(7.0, 1.9284037119552888)	(8.0, 1.5977029388752162)	(9.0, 1.5131453455017132)	('>10', 20.527100052407178)	('>50', 8.168795300384204)	('>100', 20.50060387716169)	('>500', 6.527089542002651)	('>1k', 8.857681287177877)	('>5k', 2.286712447930868)	('>10k+', 3.111035578005423)
SRR9929265_1	(1.0, 6.345661775341981)	(2.0, 4.392005586987437)	(3.0, 3.422005590050393)	(4.0, 2.689051899211799)	(5.0, 2.228017722775167)	(6.0, 1.9499506229942047)	(7.0, 1.699130090316918)	(8.0, 1.5638269989331135)	(9.0, 1.3482674358560849)	('>10', 21.639339681065593)	('>50', 8.030129842970355)	('>100', 16.100789639928596)	('>500', 6.089285640269448)	('>1k', 11.807220347878596)	('>5k', 3.456642439821711)	('>10k+', 7.238674685598672)
SRR9929265_2	(1.0, 8.57056845350293)	(2.0, 5.371586640590757)	(3.0, 4.4703549148862995)	(4.0, 3.6658047345649973)	(5.0, 3.0624582409355323)	(6.0, 2.639676385476828)	(7.0, 2.2142693650822296)	(8.0, 1.9371666143641317)	(9.0, 1.7296647925439605)	('>10', 21.71539525089393)	('>50', 7.000376234800052)	('>100', 14.76426882386056)	('>500', 5.680063331678756)	('>1k', 9.609940202674897)	('>5k', 2.5320853142509065)	('>10k+', 5.036320699893162)
SRR9929266_1	(1.0, 8.194551250409262)	(2.0, 4.376747787080183)	(3.0, 3.295345554727945)	(4.0, 2.6878226407262114)	(5.0, 2.2477259605660054)	(6.0, 1.9567560507744362)	(7.0, 1.692061156735911)	(8.0, 1.5625495223350379)	(9.0, 1.4228262868754173)	('>10', 21.613398084745064)	('>50', 7.659152584631553)	('>100', 16.235259137131024)	('>500', 6.570486176112077)	('>1k', 11.085691637262457)	('>5k', 2.6789881803108364)	('>10k+', 6.72063798957648)
SRR9929266_2	(1.0, 10.052907759479105)	(2.0, 5.850597273559571)	(3.0, 4.575639834867054)	(4.0, 3.8671672205294008)	(5.0, 3.138214774045583)	(6.0, 2.5187826278455616)	(7.0, 2.125833580230715)	(8.0, 1.9181276208676399)	(9.0, 1.6702869653075891)	('>10', 20.407261869308105)	('>50', 7.292553839053381)	('>100', 16.180368791689467)	('>500', 5.723905106855861)	('>1k', 8.35985878884055)	('>5k', 2.493210808401729)	('>10k+', 3.8252831391190005)
SRR9929267_1	(1.0, 7.361206713808115)	(2.0, 4.083377946582394)	(3.0, 2.9240881824093496)	(4.0, 2.39164906489911)	(5.0, 1.9641586472718426)	(6.0, 1.7544641118040605)	(7.0, 1.486837697141502)	(8.0, 1.3471725224134141)	(9.0, 1.2255606316495546)	('>10', 19.85701360824673)	('>50', 8.032677812778118)	('>100', 18.22506243558588)	('>500', 7.658007572603556)	('>1k', 11.903651285439402)	('>5k', 2.8391735377075578)	('>10k+', 6.945898229659567)
SRR9929267_2	(1.0, 9.47268603814846)	(2.0, 5.1316522500907755)	(3.0, 3.9956796220374984)	(4.0, 3.172753610766035)	(5.0, 2.64699893948823)	(6.0, 2.1943580011722457)	(7.0, 1.8554632934563002)	(8.0, 1.6347906537521555)	(9.0, 1.425508308856181)	('>10', 20.322375352686333)	('>50', 8.045231642415558)	('>100', 18.978217291360004)	('>500', 6.082019725238854)	('>1k', 8.215271717872094)	('>5k', 2.195267527776153)	('>10k+', 4.631726024882961)
