Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
SRR9929263_1	(101, 33341110.0)																																											
SRR9929263_2	(101, 33341110.0)																																											
SRR9929264_1	(14, 8.0)	(16, 8.0)	(18, 15.0)	(20, 46.0)	(22, 24.0)	(24, 50.0)	(26, 93.0)	(28, 105.0)	(30, 247.0)	(32, 355.0)	(34, 343.0)	(36, 459.0)	(38, 588.0)	(40, 726.0)	(42, 1110.0)	(44, 1341.0)	(46, 1875.0)	(48, 2949.0)	(50, 4052.0)	(52, 4883.0)	(54, 5595.0)	(56, 7675.0)	(58, 10331.0)	(60, 13565.0)	(62, 16590.0)	(64, 20590.0)	(66, 25561.0)	(68, 32151.0)	(70, 39442.0)	(72, 48406.0)	(74, 58200.0)	(76, 69416.0)	(78, 79930.0)	(80, 95537.0)	(82, 118732.0)	(84, 139208.0)	(86, 164128.0)	(88, 180570.0)	(90, 209915.0)	(92, 249167.0)	(94, 265008.0)	(96, 310854.0)	(98, 331039.0)	(100, 29009781.0)
SRR9929264_2	(14, 8.0)	(16, 8.0)	(18, 13.0)	(20, 48.0)	(22, 26.0)	(24, 49.0)	(26, 92.0)	(28, 105.0)	(30, 244.0)	(32, 356.0)	(34, 347.0)	(36, 455.0)	(38, 586.0)	(40, 718.0)	(42, 1100.0)	(44, 1321.0)	(46, 1853.0)	(48, 2911.0)	(50, 4003.0)	(52, 4828.0)	(54, 5529.0)	(56, 7574.0)	(58, 10248.0)	(60, 13401.0)	(62, 16335.0)	(64, 20344.0)	(66, 25129.0)	(68, 31720.0)	(70, 38929.0)	(72, 47711.0)	(74, 57403.0)	(76, 68436.0)	(78, 78737.0)	(80, 94009.0)	(82, 116952.0)	(84, 137047.0)	(86, 161606.0)	(88, 177935.0)	(90, 206208.0)	(92, 246378.0)	(94, 271763.0)	(96, 320428.0)	(98, 331039.0)	(100, 29016736.0)
SRR9929265_1	(30, 209.0)	(32, 404.0)	(34, 405.0)	(36, 453.0)	(38, 615.0)	(40, 799.0)	(42, 1060.0)	(44, 1263.0)	(46, 1621.0)	(48, 2418.0)	(50, 3480.0)	(52, 4402.0)	(54, 5072.0)	(56, 6821.0)	(58, 9300.0)	(60, 12408.0)	(62, 14569.0)	(64, 18212.0)	(66, 22557.0)	(68, 27931.0)	(70, 34145.0)	(72, 41203.0)	(74, 49096.0)	(76, 58128.0)	(78, 67525.0)	(80, 79240.0)	(82, 99789.0)	(84, 116185.0)	(86, 139109.0)	(88, 155085.0)	(90, 180993.0)	(92, 207260.0)	(94, 232059.0)	(96, 255729.0)	(98, 304106.0)	(100, 30079722.0)								
SRR9929265_2	(14, 7.0)	(16, 23.0)	(18, 30.0)	(20, 69.0)	(22, 29.0)	(24, 59.0)	(26, 86.0)	(28, 122.0)	(30, 281.0)	(32, 404.0)	(34, 411.0)	(36, 462.0)	(38, 617.0)	(40, 806.0)	(42, 1066.0)	(44, 1266.0)	(46, 1626.0)	(48, 2430.0)	(50, 3497.0)	(52, 4413.0)	(54, 5092.0)	(56, 6846.0)	(58, 9329.0)	(60, 12437.0)	(62, 14595.0)	(64, 18250.0)	(66, 22599.0)	(68, 27991.0)	(70, 34194.0)	(72, 41272.0)	(74, 49201.0)	(76, 58261.0)	(78, 67641.0)	(80, 79385.0)	(82, 100029.0)	(84, 116497.0)	(86, 139368.0)	(88, 155432.0)	(90, 181989.0)	(92, 217652.0)	(94, 242498.0)	(96, 290543.0)	(98, 304106.0)	(100, 30020462.0)
SRR9929266_1	(14, 12.0)	(16, 12.0)	(18, 24.0)	(20, 34.0)	(22, 22.0)	(24, 26.0)	(26, 66.0)	(28, 103.0)	(30, 331.0)	(32, 443.0)	(34, 564.0)	(36, 808.0)	(38, 1191.0)	(40, 1718.0)	(42, 2304.0)	(44, 3100.0)	(46, 4309.0)	(48, 6290.0)	(50, 8990.0)	(52, 10390.0)	(54, 11427.0)	(56, 15246.0)	(58, 19663.0)	(60, 25311.0)	(62, 28785.0)	(64, 34132.0)	(66, 41635.0)	(68, 49495.0)	(70, 60420.0)	(72, 73236.0)	(74, 84522.0)	(76, 96181.0)	(78, 107640.0)	(80, 126674.0)	(82, 152911.0)	(84, 174264.0)	(86, 201905.0)	(88, 219242.0)	(90, 250741.0)	(92, 279648.0)	(94, 297550.0)	(96, 332491.0)	(98, 348915.0)	(100, 27125833.0)
SRR9929266_2	(14, 10.0)	(16, 12.0)	(18, 25.0)	(20, 34.0)	(22, 20.0)	(24, 26.0)	(26, 67.0)	(28, 100.0)	(30, 332.0)	(32, 445.0)	(34, 564.0)	(36, 811.0)	(38, 1188.0)	(40, 1716.0)	(42, 2279.0)	(44, 3068.0)	(46, 4260.0)	(48, 6228.0)	(50, 8897.0)	(52, 10308.0)	(54, 11321.0)	(56, 15080.0)	(58, 19441.0)	(60, 25048.0)	(62, 28473.0)	(64, 33725.0)	(66, 41115.0)	(68, 49023.0)	(70, 59736.0)	(72, 72495.0)	(74, 83652.0)	(76, 95119.0)	(78, 106304.0)	(80, 125021.0)	(82, 151009.0)	(84, 172070.0)	(86, 199249.0)	(88, 216760.0)	(90, 246579.0)	(92, 277069.0)	(94, 303311.0)	(96, 340936.0)	(98, 348915.0)	(100, 27136763.0)
SRR9929267_1	(14, 17.0)	(16, 13.0)	(18, 33.0)	(20, 46.0)	(22, 16.0)	(24, 63.0)	(26, 149.0)	(28, 176.0)	(30, 349.0)	(32, 538.0)	(34, 630.0)	(36, 828.0)	(38, 1376.0)	(40, 1965.0)	(42, 2612.0)	(44, 3262.0)	(46, 4423.0)	(48, 6462.0)	(50, 8973.0)	(52, 10423.0)	(54, 11567.0)	(56, 15155.0)	(58, 19445.0)	(60, 24184.0)	(62, 28040.0)	(64, 32214.0)	(66, 39333.0)	(68, 46229.0)	(70, 54724.0)	(72, 66480.0)	(74, 76397.0)	(76, 86596.0)	(78, 97636.0)	(80, 115538.0)	(82, 139347.0)	(84, 157758.0)	(86, 184760.0)	(88, 200066.0)	(90, 227054.0)	(92, 254836.0)	(94, 272025.0)	(96, 301260.0)	(98, 319253.0)	(100, 27305483.0)
SRR9929267_2	(14, 16.0)	(16, 12.0)	(18, 33.0)	(20, 47.0)	(22, 16.0)	(24, 61.0)	(26, 148.0)	(28, 178.0)	(30, 351.0)	(32, 532.0)	(34, 629.0)	(36, 833.0)	(38, 1357.0)	(40, 1926.0)	(42, 2579.0)	(44, 3234.0)	(46, 4381.0)	(48, 6361.0)	(50, 8872.0)	(52, 10324.0)	(54, 11398.0)	(56, 14967.0)	(58, 19197.0)	(60, 23911.0)	(62, 27658.0)	(64, 31777.0)	(66, 38757.0)	(68, 45672.0)	(70, 54001.0)	(72, 65572.0)	(74, 75413.0)	(76, 85371.0)	(78, 96141.0)	(80, 113821.0)	(82, 137377.0)	(84, 155276.0)	(86, 181627.0)	(88, 197269.0)	(90, 223070.0)	(92, 251861.0)	(94, 278240.0)	(96, 310794.0)	(98, 319253.0)	(100, 27317421.0)
SRR9929268_1	(14, 15.0)	(16, 16.0)	(18, 38.0)	(20, 83.0)	(22, 35.0)	(24, 92.0)	(26, 222.0)	(28, 273.0)	(30, 522.0)	(32, 746.0)	(34, 867.0)	(36, 1194.0)	(38, 2027.0)	(40, 3031.0)	(42, 3788.0)	(44, 4616.0)	(46, 6845.0)	(48, 10041.0)	(50, 13811.0)	(52, 16189.0)	(54, 17921.0)	(56, 23100.0)	(58, 29750.0)	(60, 37495.0)	(62, 42804.0)	(64, 49096.0)	(66, 58103.0)	(68, 68243.0)	(70, 81651.0)	(72, 96163.0)	(74, 108339.0)	(76, 123452.0)	(78, 135925.0)	(80, 156599.0)	(82, 188200.0)	(84, 210425.0)	(86, 239095.0)	(88, 256141.0)	(90, 285488.0)	(92, 317907.0)	(94, 334534.0)	(96, 365756.0)	(98, 384661.0)	(100, 26336746.0)
SRR9929268_2	(14, 16.0)	(16, 16.0)	(18, 38.0)	(20, 83.0)	(22, 36.0)	(24, 89.0)	(26, 223.0)	(28, 278.0)	(30, 522.0)	(32, 743.0)	(34, 863.0)	(36, 1197.0)	(38, 2014.0)	(40, 2997.0)	(42, 3765.0)	(44, 4562.0)	(46, 6777.0)	(48, 9952.0)	(50, 13637.0)	(52, 16016.0)	(54, 17706.0)	(56, 22849.0)	(58, 29396.0)	(60, 37100.0)	(62, 42315.0)	(64, 48443.0)	(66, 57316.0)	(68, 67450.0)	(70, 80721.0)	(72, 94976.0)	(74, 107081.0)	(76, 121918.0)	(78, 134054.0)	(80, 154494.0)	(82, 185722.0)	(84, 207550.0)	(86, 235410.0)	(88, 252946.0)	(90, 280950.0)	(92, 314242.0)	(94, 339819.0)	(96, 373979.0)	(98, 384661.0)	(100, 26357123.0)
SRR9929269_1	(14, 16.0)	(16, 14.0)	(18, 41.0)	(20, 61.0)	(22, 52.0)	(24, 117.0)	(26, 259.0)	(28, 401.0)	(30, 642.0)	(32, 933.0)	(34, 1101.0)	(36, 1651.0)	(38, 2542.0)	(40, 3564.0)	(42, 4668.0)	(44, 5656.0)	(46, 7465.0)	(48, 10744.0)	(50, 14241.0)	(52, 16072.0)	(54, 17540.0)	(56, 21767.0)	(58, 27770.0)	(60, 34208.0)	(62, 38045.0)	(64, 43016.0)	(66, 50137.0)	(68, 58746.0)	(70, 69179.0)	(72, 81999.0)	(74, 91450.0)	(76, 102168.0)	(78, 113346.0)	(80, 130454.0)	(82, 156223.0)	(84, 174981.0)	(86, 199024.0)	(88, 215522.0)	(90, 242232.0)	(92, 273463.0)	(94, 287543.0)	(96, 318998.0)	(98, 333819.0)	(100, 24772906.0)
