Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR9929263_1	SRR9929263_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33341110.0	3.3 Gbp	0.0	101.0	43.0	12.117754792344119	101.0	101	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR9929263_2	SRR9929263_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33341110.0	3.3 Gbp	0.0	101.0	43.0	15.215244005070328	101.0	101	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
SRR9929264_1	SRR9929264_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31520668.0	3.1 Gbp	0.0	15-101	43.0	12.18892080112306	99.49506520610541	100	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR9929264_2	SRR9929264_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31520668.0	3.1 Gbp	0.0	15-101	43.0	15.68339263276398	99.50538351534935	100	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
SRR9929265_1	SRR9929265_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32233373.0	3.2 Gbp	0.0	31-101	44.0	13.035788814374754	99.65987197492487	100	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR9929265_2	SRR9929265_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32233373.0	3.2 Gbp	0.0	15-101	43.0	16.822249584760193	99.6481227236132	100	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
SRR9929266_1	SRR9929266_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30198604.0	3 Gbp	0.0	15-101	42.0	14.843177961173973	99.06482034732467	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR9929266_2	SRR9929266_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30198604.0	3 Gbp	0.0	15-101	42.0	18.538804617400945	99.07777962186596	100	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
SRR9929267_1	SRR9929267_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30117734.0	3 Gbp	0.0	15-101	43.0	13.412161034545628	99.16817490319823	100	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR9929267_2	SRR9929267_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30117734.0	3 Gbp	0.0	15-101	42.0	16.977443961710996	99.18277381027404	100	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
SRR9929268_1	SRR9929268_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30012045.0	2.9 Gbp	0.0	15-101	43.0	15.261212053666902	98.65324927041793	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR9929268_2	SRR9929268_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30012045.0	2.9 Gbp	0.0	15-101	42.0	19.068992927980815	98.67266794048857	100	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
SRR9929269_1	SRR9929269_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27924776.0	2.7 Gbp	0.0	15-101	43.0	16.425011496438113	98.77365583881496	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR9929269_2	SRR9929269_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27924776.0	2.7 Gbp	0.0	15-101	42.0	19.529631025864138	98.78920289280029	100	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
SRR9929270_1	SRR9929270_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18567048.0	1.8 Gbp	0.0	31-101	44.0	14.543074517070039	99.38789375672428	100	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR9929270_2	SRR9929270_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18567048.0	1.8 Gbp	0.0	31-101	43.0	24.819519517749654	99.38789375672428	100	pass	pass	pass	fail	fail	pass	warn	fail	fail	warn
SRR9929271_1	SRR9929271_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29086437.0	2.9 Gbp	0.0	15-101	42.0	13.848355802640967	99.57826640987344	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR9929271_2	SRR9929271_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29086437.0	2.9 Gbp	0.0	15-101	42.0	19.121780435741147	99.59168262857358	100	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
SRR9929272_1	SRR9929272_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29845793.0	2.9 Gbp	0.0	15-101	43.0	13.788827384818001	98.80410925921787	100	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR9929272_2	SRR9929272_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29845793.0	2.9 Gbp	0.0	15-101	43.0	19.256432089073666	98.83806406149101	100	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
SRR9929273_1	SRR9929273_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26678885.0	2.6 Gbp	0.0	15-101	42.0	13.559897414624587	99.39186560832658	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR9929273_2	SRR9929273_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26678885.0	2.6 Gbp	0.0	15-101	42.0	18.305862825394932	99.40616718052497	100	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
SRR9929274_1	SRR9929274_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27045155.0	2.6 Gbp	0.0	15-101	43.0	14.67576456467967	98.62257167688631	100	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR9929274_2	SRR9929274_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27045155.0	2.6 Gbp	0.0	15-101	43.0	19.53738746722487	98.6580303015457	100	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
SRR9929275_1	SRR9929275_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28835143.0	2.8 Gbp	0.0	15-101	43.0	15.232401119302102	98.85724629491173	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR9929275_2	SRR9929275_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28835143.0	2.8 Gbp	0.0	15-101	42.0	19.67452257537036	98.87980633562317	100	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
SRR9929276_1	SRR9929276_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27712883.0	2.7 Gbp	0.0	15-101	43.0	12.710521480649653	98.01167873800787	100	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR9929276_2	SRR9929276_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27712883.0	2.7 Gbp	0.0	15-101	42.0	17.953528687931307	98.05147409239234	100	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
SRR9929277_1	SRR9929277_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29187922.0	2.9 Gbp	0.0	15-101	44.0	12.938154999007	99.0594725791031	100	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
