Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR9929263_1	87.88224520765588	43.0	101.0	101	30.0	33.34111
SRR9929263_2	84.78475599492967	43.0	101.0	101	10.0	33.34111
SRR9929264_1	87.81107919887694	43.0	99.49506520610541	100	30.0	31.520667999999997
SRR9929264_2	84.31660736723602	43.0	99.50538351534935	100	20.0	31.520667999999997
SRR9929265_1	86.96421118562525	44.0	99.65987197492487	100	30.0	32.233373
SRR9929265_2	83.17775041523981	43.0	99.6481227236132	100	20.0	32.233373
SRR9929266_1	85.15682203882602	42.0	99.06482034732467	100	20.0	30.198604
SRR9929266_2	81.46119538259906	42.0	99.07777962186596	100	10.0	30.198604
SRR9929267_1	86.58783896545437	43.0	99.16817490319823	100	30.0	30.117734
SRR9929267_2	83.022556038289	42.0	99.18277381027404	100	10.0	30.117734
SRR9929268_1	84.7387879463331	43.0	98.65324927041793	100	20.0	30.012044999999997
SRR9929268_2	80.93100707201918	42.0	98.67266794048857	100	20.0	30.012044999999997
SRR9929269_1	83.57498850356188	43.0	98.77365583881496	100	20.0	27.924775999999998
SRR9929269_2	80.47036897413587	42.0	98.78920289280029	100	10.0	27.924775999999998
SRR9929270_1	85.45692548292996	44.0	99.38789375672428	100	40.0	18.567048
SRR9929270_2	75.18048048225035	43.0	99.38789375672428	100	40.0	18.567048
SRR9929271_1	86.15164419735903	42.0	99.57826640987344	100	20.0	29.086437
SRR9929271_2	80.87821956425886	42.0	99.59168262857358	100	10.0	29.086437
SRR9929272_1	86.211172615182	43.0	98.80410925921787	100	30.0	29.845792999999997
SRR9929272_2	80.74356791092633	43.0	98.83806406149101	100	20.0	29.845792999999997
SRR9929273_1	86.44010258537541	42.0	99.39186560832658	100	20.0	26.678884999999998
SRR9929273_2	81.69413717460506	42.0	99.40616718052497	100	10.0	26.678884999999998
SRR9929274_1	85.32423543532033	43.0	98.62257167688631	100	30.0	27.045154999999998
SRR9929274_2	80.46261253277513	43.0	98.6580303015457	100	20.0	27.045154999999998
SRR9929275_1	84.7675988806979	43.0	98.85724629491173	100	20.0	28.835143
SRR9929275_2	80.32547742462964	42.0	98.87980633562317	100	20.0	28.835143
SRR9929276_1	87.28947851935035	43.0	98.01167873800787	100	30.0	27.712882999999998
SRR9929276_2	82.04647131206869	42.0	98.05147409239234	100	10.0	27.712882999999998
SRR9929277_1	87.061845000993	44.0	99.0594725791031	100	40.0	29.187922
SRR9929277_2	82.73750647435136	44.0	99.0781444804464	100	20.0	29.187922
SRR9929278_1	87.77965848551682	44.0	98.96008316973932	100	40.0	27.601865999999998
SRR9929278_2	83.45499361331352	43.0	98.97882719233547	100	20.0	27.601865999999998
SRR9929279_1	84.12645542861539	42.0	99.37788795553043	100	20.0	27.629493999999998
SRR9929279_2	79.9866709360196	41.0	99.38898327273021	100	10.0	27.629493999999998
SRR9929280_1	87.19777694163673	43.0	99.12102917128468	100	30.0	32.109795999999996
SRR9929280_2	82.95659947968431	43.0	99.13865245360014	100	20.0	32.109795999999996
SRR9929281_1	85.61367673791167	42.0	99.31859904973398	100	30.0	31.548429
SRR9929281_2	81.64754363012467	42.0	99.32568574175278	100	10.0	31.548429
SRR9929282_1	87.31452102107639	43.0	98.42126357548031	100	30.0	29.568475
SRR9929282_2	83.60199011387385	42.0	98.4399226372006	100	10.0	29.568475
SRR9929283_1	86.74762788370789	43.0	98.72502655654932	100	40.0	30.280666
SRR9929283_2	83.12029447573866	43.0	98.74009643645222	100	20.0	30.280666
SRR9929284_1	87.01483309211493	43.0	98.7051341154169	100	30.0	26.654951999999998
SRR9929284_2	82.41593029807389	43.0	98.69264743001601	100	10.0	26.654951999999998
SRR9929285_1	87.43120438336486	44.0	98.80129329350568	100	30.0	25.940438
SRR9929285_2	82.8965883023025	43.0	98.81594385568971	100	10.0	25.940438
SRR9929286_1	85.03255783810735	42.0	98.88108997157883	100	30.0	26.667099
SRR9929286_2	80.07932807732885	42.0	98.89943144921763	100	10.0	26.667099
