"","mip6_20_vs_0_logFC","mip6_20_vs_0_padj","mip6_120_vs_20_logFC","mip6_120_vs_20_padj","WT_20_vs_0_logFC","WT_20_vs_0_padj","WT_120_vs_20_logFC","WT_120_vs_20_padj","0_mip6d_vs_WT_logFC","0_mip6d_vs_WT_padj","20_mip6d_vs_WT_logFC","20_mip6d_vs_WT_padj","120_mip6d_vs_WT_logFC","120_mip6d_vs_WT_padj"
"Q0010",0.978260957730097,0.202916467769148,-0.676969448065617,0.397649759100328,0.814024954993747,0.28032454156547,-0.0439318379723334,0.960127807653911,0.0471900237799912,0.996374681090247,0.211426026516341,0.830170873175289,-0.421611583576942,NA
"Q0017",-1.62586687730234,0.293153526992665,1.20026147167329,0.486763428020792,0.300874647031698,0.843874513834214,-0.320195012447347,0.845256817733978,0.628952972449213,0.933169638825787,-1.29778855188482,0.49790107611096,0.222667932235816,NA
"Q0032",0.846728922601322,0.815584142703206,0.012152814099652,0.997656780474461,-2.31185714093828,0.496697353560215,0.625326249832171,0.883210513645712,-1.14141241719744,0.961392157543107,2.01717364634216,0.642689534422639,1.40400021060964,NA
"Q0045",0.0639690189290478,0.683875885691036,-0.0508841979984208,0.771295909294732,-0.10803331426298,0.473878279128749,0.0840027409649405,0.617086917734976,-0.121552026501552,0.845024620666152,0.0504503066904761,0.802200969086033,-0.0844366322728852,0.998144679239541
"Q0050",-0.208267149602884,0.257690387516031,0.349253746349112,0.0569296777346996,-0.375632581017227,0.0290258820236969,0.560206731103865,0.0011219752709316,-0.105776485177617,0.910886782700251,0.0615889462367256,0.809740250728504,-0.149364038518028,0.998144679239541
"Q0055",-0.000756047114034465,0.995327365392631,0.141415024155935,0.319424334458612,-0.258975653953064,0.0364625323426922,0.537380665753552,7.36171455258192e-06,-0.00872753581254626,0.996374681090247,0.249492071026483,0.0840746563806133,-0.146473570571134,0.93158568964585
"Q0060",-0.0198832840639489,0.936325014821956,0.230219982533396,0.336814824670219,-0.271770199309599,0.207417035081805,0.409081012288816,0.0560611846886844,-0.143077056557923,0.891770076347944,0.108809858687727,0.717745439780923,-0.070051171067693,0.998144679239541
"Q0065",-0.199412466814534,0.254070144265529,0.272676388840285,0.126549197643993,-0.371786535397478,0.0219727050896232,0.474783958826414,0.00382744487476687,-0.0115940477814611,0.996374681090247,0.160780020801483,0.452028446276757,-0.0413275491846462,0.998144679239541
"Q0070",0.370502671080957,0.270989786905979,0.520051453517469,0.102635504311885,-0.238058921874797,0.465922992435172,0.476839546351313,0.122171510807513,-0.472451027661338,0.672557866745771,0.136110565294417,0.756322923621489,0.179322472460573,NA
"Q0075",0.60357861635374,0.00477016671598897,0.397534946634644,0.0831118031192626,0.354810177526135,0.105625160781888,0.36137242740912,0.110503242364346,-0.237268212826634,0.785625460081868,0.0115002260009714,0.973078311778801,0.0476627452264961,0.998144679239541
"Q0080",0.841265398417214,0.775823498272303,-1.24306406092364,0.694740795018766,0.723729743083376,0.802052128823261,-1.87407655841928,0.517605808951885,-0.641540663396526,0.97620978832749,-0.524005008062687,0.88692558024296,0.10700748943295,NA
"Q0085",-0.581419629402052,0.150924765221552,-0.264260953335489,0.577228346111602,-0.639618086191113,0.107265077691262,-0.230712511979903,0.629372661331346,0.120546989940574,0.974956977868629,0.178745446729635,0.751536132386113,0.145197005374049,0.998144679239541
"Q0105",-0.00771365222493944,0.977200283985199,-0.593475673963681,0.0102308547311309,-0.538316550629263,0.0145543915450371,-0.37069470318201,0.121857007503852,-0.498893500915764,0.402706615005458,0.0317093974885597,0.929302748292865,-0.191071573293112,0.998144679239541
"Q0110",-0.325555358084142,0.467215148400916,0.603418932030369,0.170820873135323,-0.329330195764646,0.445688624119103,0.560175494524566,0.186251692838357,-0.155244630944274,0.960551404774844,-0.15146979326377,0.798717938013284,-0.108226355757967,NA
"Q0115",1.03581199957354,0.03352338204152,-0.190985789148911,0.731990997037595,0.133609793539246,0.800503581342255,0.384909840732454,0.434236766171564,-0.702527746304283,0.700523879619566,0.199674459730014,0.754529470399271,-0.376221170151351,NA
"Q0120",-0.515444836263687,0.254697380357947,-0.32509166925344,0.525241004097159,-0.918913463715595,0.0299526441519465,0.678429603330685,0.138175785099881,-0.0486075805097357,0.993729449214437,0.354861046942173,0.530492797388951,-0.648660225641952,0.795807390827649
"Q0130",-0.112815310490651,0.576107292945421,-0.0489392926848027,0.835092361424271,-0.258962899112871,0.163349382123638,-0.0317953800977636,0.896277338815634,-0.30205922362267,0.643551135630318,-0.155911635000449,0.512418235233423,-0.173055547587488,0.993560961133502
"Q0140",0.834201668272777,0.0408661096792138,-1.05435179655145,0.0102308547311309,0.059802542312474,0.898314635926287,-0.949496266685315,0.0181656988529335,-0.556303063896937,0.708366920418792,0.218096062063366,0.689105443353544,0.113240532197232,NA
"Q0142",-0.627269235795095,0.881113080436988,1.15499621543582,0.798733302158199,0,1,2.71221708963852,0.513892895142578,1.54559245479239,0.951645289977652,1.25265380065735,0.814456431862548,-0.304567073545351,NA
"Q0144",1.48420574355166,0.154905113888011,-0.573981244316884,0.585776563056883,0.88101203979119,0.42498632907865,0.24568478238788,0.827996349647239,0.0927059314918145,0.996333918045923,0.695899635252283,0.552208310386175,-0.123766391452481,NA
"Q0160",-0.108980794355136,0.651259595334067,0.261981016283875,0.271993968123673,-0.519344319393422,0.0119084915263426,0.640710861803426,0.00210915681500279,-0.273184841999708,0.721138962089676,0.137178683038578,0.643174509558945,-0.241551162480973,0.935688203967253
"Q0182",0.00357177338143709,0.99363078126107,0.318616807819116,0.471858722536299,-0.0924949255300545,0.836111284076336,0.7318208866707,0.0542092068202045,-0.00135383570266826,0.999663820734039,0.0947128632088234,0.86777788648438,-0.318491215642761,NA
"Q0250",0.602035491954732,0.000839926013952665,0.686078553374846,0.000193975781441083,0.269053661042861,0.159293610138723,0.739276744490955,4.26084004986844e-05,-0.315533277214039,0.636773981683316,0.0174485536978323,0.955179894861446,-0.0357496374182767,0.998144679239541
"Q0255",0.574011444744851,0.0859358267546365,0.788959064582645,0.0144088218243359,0.161453528749232,0.657102512920291,1.15541304106034,0.000130276867457513,-0.131516850323865,0.956991723640464,0.281041065671754,0.502438642659575,-0.0854129108059402,NA
"Q0275",0.503048780808759,0.000129167588034354,0.331026508516608,0.0190969744004967,0.406624516313127,0.00210441778476349,0.36181884953811,0.00852452595119058,-0.0918733902515244,0.8943913808968,0.00455087424410762,0.982207095413608,-0.0262414667773942,0.998144679239541
