"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Q0120",342.401854600385,-0.918913463715595,0.379147563643668,-2.42363014253525,0.0153662463450904,0.0299526441519465
"YAL005C",168628.607329662,2.78070849603754,0.14687515376841,18.9324635562399,6.16124674185642e-80,6.34804009545873e-78
"YAL007C",2948.49995759113,-0.590092289359286,0.0548897574038273,-10.7504991326149,5.89417918764864e-27,9.40027447347109e-26
"YAL008W",876.422365709864,0.839997621729231,0.103480423226409,8.11745444731481,4.76063404151275e-16,4.57119460997918e-15
"YAL018C",13.3726005259522,3.0794772720233,0.768691189029788,4.00613057099054,6.17215383508377e-05,0.000198924779262804
"YAL033W",644.435639487224,-0.608585594730968,0.0983901482129242,-6.18543223874345,6.19325344645937e-10,3.61514461519494e-09
"YAL035W",11091.5084427528,-0.714586237246589,0.097334080468803,-7.34158306941241,2.11082076851275e-13,1.70807233272663e-12
"YAL038W",214047.989199748,-0.642715215729217,0.135057751948369,-4.75881766471962,1.947302406214e-06,7.88026179472262e-06
"YAL039C",1307.78424094794,0.846184110504901,0.173054625066036,4.88969370325703,1.00992999913804e-06,4.27065512990557e-06
"YAL044C",3663.90695487554,0.891072893013762,0.110845289121888,8.03888825653133,9.06572041633891e-16,8.51600451844513e-15
"YAL053W",6344.50714018566,1.06049061819152,0.162904670508194,6.50988467600856,7.52085216982623e-11,4.86233580023327e-10
"YAL054C",716.210792535038,0.581978967525727,0.0916593975164873,6.34936496741693,2.16205547509252e-10,1.3239530272477e-09
"YAL060W",2831.96520706412,1.37234748770639,0.130455640063046,10.5196485720599,7.01346846754199e-26,1.08650176188103e-24
"YAL063C-A",24.4868525383502,0.913960239086156,0.336324440218016,2.71749575645973,0.00657779988883849,0.0140310545772102
"YAL064C-A",41.5592157120272,0.800200086419348,0.327687601705269,2.44196021532444,0.0146077563389716,0.0286212491292562
"YAL064W",30.4592104183743,0.690634567286932,0.294232278493761,2.34724269826017,0.0189129309088116,0.0360539895827007
"YAL067C",159.528004310239,1.56121926520019,0.246529933173043,6.33277770819153,2.40786355174181e-10,1.47169889965689e-09
"YAR008W",437.314314293004,-0.748120381889086,0.118231648211481,-6.32758143192695,2.49033557349147e-10,1.5163947661851e-09
"YAR053W",96.578808832453,0.899172684532243,0.194295521336065,4.62786109710157,3.69461672527421e-06,1.43690337758209e-05
"YAR069C",12.8350228721509,1.31024980770871,0.45504609754417,2.87937818779234,0.00398460193527919,0.00891249178562965
"YBL002W",6960.85499356011,-1.81541426116883,0.095203191470342,-19.0688382724478,4.58375113429489e-81,4.95885476878468e-79
"YBL003C",2877.72937771127,-2.05377029303727,0.146578536009352,-14.0113985918527,1.32764388350045e-44,3.83010508791175e-43
"YBL004W",20381.7148352435,-0.754254756507615,0.0802201794750384,-9.4023070185515,5.33795939009361e-21,6.91590706608734e-20
"YBL009W",1140.44342034041,-1.03756550068039,0.195336703810832,-5.31167712180296,1.08620927315205e-07,5.13890990672738e-07
"YBL018C",356.327145242362,-0.868873169281674,0.136010461159589,-6.3882819150372,1.6775985486884e-10,1.04203752914224e-09
"YBL019W",538.387011532148,0.617259860327493,0.0889554908770694,6.93897424702547,3.94957115806713e-12,2.8837644979768e-11
"YBL020W",2321.34213997866,-0.610448938217709,0.0696986232526958,-8.75840740791245,1.98028292080557e-18,2.24720567114492e-17
"YBL022C",10702.433725494,0.7397735084064,0.0501069427786988,14.7638923347143,2.50402392115685e-49,8.37815426403564e-48
"YBL024W",6624.38209542496,-0.599539744174438,0.0793364985307466,-7.55692216416745,4.12718770239264e-14,3.46118544912541e-13
"YBL027W",23003.1605998223,-1.89174185363376,0.127384606219564,-14.850631561973,6.89163250507499e-50,2.37944609523626e-48
