"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Q0010",6.71085878433622,0.0471900237799912,0.691208014400093,0.0682718122430162,0.945569262331442,0.996374681090247
"Q0017",1.7394287987532,0.628952972449213,1.13992198773712,0.551750891039273,0.58111903759326,0.933169638825787
"Q0032",0.461714973602508,-1.14141241719744,2.74596660362571,-0.415668717780598,0.677652434953034,0.961392157543107
"Q0045",5555.81786230987,-0.121552026501552,0.122336968817433,-0.993583768475966,0.320425549632897,0.845024620666152
"Q0050",6495.11618520824,-0.105776485177617,0.154215764498693,-0.68589930167946,0.492776610588912,0.910886782700251
"Q0055",6170.85926818519,-0.00872753581254626,0.110624991991571,-0.0788929848077303,0.937117743163077,0.996374681090247
"Q0060",222.251796535723,-0.143077056557923,0.186255189550273,-0.768177557379171,0.44238170479747,0.891770076347944
"Q0065",1178.02972572595,-0.0115940477814611,0.146114736503438,-0.079348928512685,0.936755089630163,0.996374681090247
"Q0070",49.0913076673391,-0.472451027661338,0.276943279707329,-1.70594869881161,0.088017631570753,0.672557866745771
"Q0075",406.45093861012,-0.237268212826634,0.194751252785557,-1.21831417992413,0.223104603554735,0.785625460081868
"Q0080",0.483742912003697,-0.641540663396526,2.28182757429174,-0.281152121494393,0.778593725533423,0.97620978832749
"Q0085",689.07859299856,0.120546989940574,0.346821039913434,0.347576923160897,0.728157939575825,0.974956977868629
"Q0105",1381.4583664976,-0.498893500915764,0.199390387612115,-2.50209404219771,0.0123461125228911,0.402706615005458
"Q0110",58.9057207228668,-0.155244630944274,0.354364677503455,-0.438092848412525,0.661318978430616,0.960551404774844
"Q0115",19.9886039326158,-0.702527746304283,0.434867566290913,-1.61549814417365,0.106202861905497,0.700523879619566
"Q0120",342.401854600385,-0.0486075805097357,0.378508514241431,-0.128418724231739,0.897817614046272,0.993729449214437
"Q0130",3188.74947417235,-0.30205922362267,0.160715582189005,-1.87946445209924,0.0601811029621943,0.643551135630318
"Q0140",27.988818580447,-0.556303063896937,0.361150797292298,-1.54036227544776,0.123472071575651,0.708366920418792
"Q0142",0.452490766016647,1.54559245479239,3.21425962629228,0.480854888680932,0.630619636341799,0.951645289977652
"Q0144",3.11874914363795,0.0927059314918145,1.00586954259364,0.0921649653023309,0.92656697317294,0.996333918045923
"Q0160",397.054906810821,-0.273184841999708,0.187611255161134,-1.45612181830497,0.145358947072539,0.721138962089676
"Q0182",53.2179964099595,-0.00135383570266826,0.337895038846535,-0.00400667528972849,0.996803144199603,0.999663820734039
"Q0250",4048.6858872062,-0.315533277214039,0.165857477656414,-1.90243624630352,0.057114146188026,0.636773981683316
"Q0255",99.3187237650369,-0.131516850323865,0.292855896377705,-0.449083839357783,0.653371177902835,0.956991723640464
"Q0275",3737.60043251386,-0.0918733902515244,0.121945024276961,-0.753400073486082,0.451209538650712,0.8943913808968
"Q0297",206.895728192512,-0.258675726380056,0.225698625454098,-1.14611121737941,0.251749136776888,0.806168548011238
"YAL001C",1829.28876416939,-0.0155407114117458,0.0740692002929935,-0.209813408950979,0.83381330717014,0.981747293892126
"YAL002W",3019.7400713454,0.0717256097899656,0.0532716826576191,1.34641156824257,0.178169822215135,0.750525109940367
"YAL003W",26902.1462967822,-0.207253258925681,0.138746500462746,-1.49375485676721,0.135239704667619,0.709402234829562
