"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YBL043W",318.656371748001,0.643256515908065,0.157344588613179,4.08820234351667,4.34728890339822e-05,0.00993536651464134
"YBL113C",916.21951180075,1.05032447195511,0.127177490987873,8.25872930655055,1.47231398276524e-16,2.69188073182245e-13
"YBR012C",438.364285033666,-0.69087836553391,0.110273038903209,-6.26516120717706,3.72439905405433e-10,2.91833268735543e-07
"YBR072W",35156.309790455,0.925559401863578,0.176729534091012,5.23715182424989,1.63073542396028e-07,6.88044907724779e-05
"YDR070C",188.704752804195,0.690383517164273,0.188582542641003,3.66090894467643,0.000251322070971579,0.0342102884412854
"YDR262W",3102.33857245793,1.60978925650257,0.135135779427813,11.9123837026632,1.02018444706428e-32,5.59571169214758e-29
"YER091C",16504.1193904922,0.662691789156702,0.164049713292258,4.03957907549708,5.35472129196326e-05,0.0102693831132779
"YFL014W",25159.1157664126,1.30070739346877,0.193714758239814,6.71454981173158,1.88647728154739e-11,2.06946557785749e-08
"YHR216W",2547.80128405134,-1.12803342574253,0.108617479153748,-10.3853765943675,2.89026389248711e-25,7.92654872514589e-22
"YJL052W",24739.3481991509,0.696301152188554,0.165026302313062,4.21933438748232,2.45024633563352e-05,0.00746644508386104
"YLR178C",2568.39718949165,0.662747031218712,0.118021206761225,5.6154910579719,1.96004793610471e-08,1.07508629295343e-05
"YMR105C",4685.24461879767,0.784621475315327,0.175973318221225,4.45875251570207,8.24380380917855e-06,0.00301448425955629
"YMR189W",5395.49426177147,0.582472149477097,0.104442602524181,5.57695935757861,2.44759024248244e-08,1.22045749818329e-05
"YOL052C-A",229.292663589099,1.42302890104044,0.264694473958455,5.37611866148664,7.6108643050289e-08,3.47879922609029e-05
"YPR160W",5431.29954865079,0.719906420715886,0.183552075345312,3.92208270792658,8.77868455263087e-05,0.0150472139909938
