,REF,pgm,pgi,gapC,zwf,rpe,wt_0_5h_1,wt_0_7h_1
b0957,45.27868064006,27.1120472540886,48.3871133058792,25.5291643386374,33.3873223104822,48.5737619262061,38.1883573177425,40.3712313152403
b0929,42.1730870993062,20.9042292605245,38.3900359191323,74.45592903351,46.8758354828768,19.7228405996669,26.7347860047212,26.521086732214
b1480,38.3514845078393,63.7790754645154,31.1048572410262,18.8090028506732,39.6276854769509,58.1597888748495,9.82168418747047,4.97766474130163
b3299,29.2014561609957,29.8808518045807,33.5984357134066,68.1229189261446,32.7722376988037,21.3507458763909,30.0790814379807,48.9965421741699
b2093,36.7784365992076,37.0360695707146,35.0839094039371,21.955324895,32.0734897822412,20.7395779301616,41.537084184262,11.6510483139493
b2092,38.6492411695816,27.1189120054407,26.0149875006939,29.2553336465128,34.0441799773321,22.6568904596336,25.037680756299,5.46317075844497
b3300,27.1764305623818,19.8122317553543,23.1314776799331,47.1653480688677,26.1390339911697,20.6327722702607,34.6970972510166,43.4035409123429
b0953,33.697355867102,58.4572723572577,42.3023120813699,17.1724975935416,29.1827979137914,49.7595567875923,4.97099771254174,1.54472434149771
b0728,30.5472609397503,27.0896398621263,41.3827234829409,31.9122394852588,29.801870623556,29.3142962565431,25.9131459584934,25.4615234480971
b1419,37.4875795125594,27.5676999807893,21.8115817089286,37.8761026235807,33.2152857087496,65.437925134679,8.01921402268529,4.46159604696816
b3342,27.1982948773445,24.7971503781667,37.7373310853077,33.9301209874125,39.0701702832416,24.8542262933001,39.6806665906198,47.6545300956189
b3319,25.771586166815,22.2839280218479,29.2764801752189,49.4875883148106,32.8040631608924,10.765632758057,40.4328971896546,59.3376634272922
b3307,10.5362784906759,8.48816632425656,10.5023508034759,11.5299925003468,7.80119806906683,12.8502869100945,16.7645422255317,7.86432366153133
b1415,37.6520036298188,26.309044833213,20.7935975168006,33.5918340008426,48.3112481221051,39.1085203915217,7.79702460304544,2.06417651758786
b2095,36.4894247981017,31.2230324905236,31.7141637197157,43.4037748577928,33.4030338589166,18.065359025915,22.7557495356039,12.2712803433155
b3737,24.9429255800668,24.4090660162971,30.2271758143911,26.2938268759488,30.2737118577382,13.798981692467,32.5141593811693,29.263419085233
b4015,31.5254203313633,20.1478639334377,34.7136749066271,22.5207270203635,29.8218440681477,29.94403637246,13.5325905622076,6.03471455983615
b3308,27.4688208618942,21.9924640770635,29.4573935710147,25.5075390314965,35.3470037869401,17.6602115857809,33.2810718703611,49.0280478483818
b1088,26.6229936213066,29.4205854646139,21.1578324997622,44.9759473637284,34.2486272551859,20.1091643181323,28.896300245474,30.9979432670182
b4014,30.7625214756751,19.0043825357335,39.1173186749292,26.9076875066124,29.5381741164178,29.1220223887815,12.2866577129376,9.51731584204879
b0169,24.8913688014468,15.1905751602383,25.4014813873464,45.7249367451416,26.239159116479,21.0472968495234,40.3395196011103,39.7966950010101
b0598,33.3633184675486,14.0010216776936,11.4402058601911,26.5457295407708,29.5966597593911,61.1633386604027,29.9882526780292,2.14479282140927
b3985,19.9018609748509,18.8165590435334,20.7625497945927,43.8297621497614,27.1730999364035,21.0972026607229,31.5393160963056,42.815504434927
b0565,24.8106909987914,27.6229192009753,27.5391242038657,25.8728640245337,26.3326267846132,32.9986642627673,29.6219511330114,43.3060609488632
b3321,20.6709326557149,22.2605135673735,20.2358927671814,40.9819462568967,27.0865382757161,8.28752232746337,38.3279190621807,48.4383899738905
b2094,27.1899469983696,20.0542961943361,33.072702928121,24.4115491676789,29.9946002198865,15.9276071102343,20.3694533858614,7.66042436996597
b0880,34.1131998517761,25.2099769217472,21.6296168273352,28.332392908633,12.5684324801302,56.3612209081715,7.66297004434123,1.82941209501268
b1677,27.0833153489478,23.3909102251743,27.634419471231,25.9184375772401,25.6032408109241,30.053327251256,24.7562739895846,17.3896999894882
b1717,25.7079655410998,22.1939780530413,32.0294039552354,64.7546376467872,31.5949687254028,25.532689300243,29.1012148162162,18.0003067799223
b3185,20.7693421417479,27.7691989639959,34.0540099438297,25.4595026670711,32.2219747692099,18.1760411825519,41.3713389053121,41.320500860348
b0553,27.0312598209491,17.9037348606674,15.7019317926601,27.7296793402051,39.9933315234066,19.2374123986213,49.5109233453274,16.0015461836756
b2224,16.572245449795,20.5790895962633,17.0526985197622,21.9821848039975,15.3088540152118,16.8946919766674,14.5732387825889,12.5107990388519
b3297,23.6831011727705,27.7163707264236,35.8491363322288,27.1156920903049,31.5168698355409,13.5469142906996,33.1175088161339,35.1620000747183
b3296,22.7297132513843,17.1487136962723,23.9790662452841,15.2929863335214,30.3644768416702,18.0588711188659,31.4118503794377,34.4981853912137
b3340,26.3615503130002,25.0446556166139,21.05782010945,24.0004796066966,38.4699694701242,25.9122914749727,29.9112441034302,23.1342472183871
b0419,8.11659989452854,8.11396911820199,13.4304403788345,11.9599107557011,8.71992351592924,8.1734024811358,9.69100626216092,11.133062938397
b3734,26.37294549372,9.76271376776527,13.9795151835991,9.26889803598099,22.017648938721,14.4100549939628,33.6208947839073,27.328595415271
b2597,24.0819214280098,34.120527464354,18.2747082844356,13.4986916224826,19.9495415829714,79.7223095319487,14.8946824338631,4.6558426942738
b0862,22.0406179365411,25.0823218460212,26.3232198328415,24.9391860119402,11.6545275894954,23.2902284162954,29.3055469083754,28.7344456781777
b2608,22.4080835581888,23.9950096699186,21.2894085189011,34.4163092117275,12.9687130808271,23.3384360666975,22.5685257249548,32.0539839084896
b3306,22.0789844166589,17.6367375749316,26.4537742782771,14.0531953877681,20.2353439588061,10.1330312571406,33.6903237218373,39.447275890354
b2530,22.6810434538691,18.0713639104668,34.0823725720231,21.0158256851311,26.92463275987,25.179061239189,15.4626278707888,23.4568815982758
b3986,16.9930497247381,26.8988998256141,19.3202084246003,18.396597524902,22.2955720100118,11.5647110089438,38.4576143919402,45.7484286498714
b3310,18.4339231218355,22.4193078109488,18.3303218397335,17.0762830697273,19.689201318174,9.2018095476401,18.6862524770513,29.2904563884252
b0440,23.517853675867,20.3430285573019,18.6891602527398,11.8890631847476,28.8153997083936,14.012320417766,15.7826880824679,9.69148985503347
b0406,23.3164768936942,29.5026872882809,13.844964768693,36.2932475382789,28.2065309624236,27.3955738670784,25.9618625535259,23.34903010226
b3186,19.4835734709035,21.9988006328719,27.2632295707097,38.2337921477119,18.7564441506605,19.7763291882991,33.1111301007996,41.3585342414961
b3341,20.2522612440086,22.2987474652773,12.1979271215662,24.6382645398161,18.5065798519532,16.7775869832829,27.0043129054306,34.2079489439021
b2415,18.3357072410902,28.0379927025984,26.6489769659503,32.717535376831,20.0788340184288,18.5570121725748,42.5488944523337,29.4499519057671
b3339,22.1241277047949,20.545447204867,23.2671576928274,27.6088106078543,22.9254700020173,15.5335160672229,25.5154577584364,27.4157652549077
b4200,19.3813771063999,21.5719461335943,22.2836303240319,31.6274324958177,20.1689979175092,9.39927650530192,38.4269478039416,31.4713953025459
b3460,24.0070892583657,19.1370330496841,19.4395278091106,37.4476351241721,30.1705301924829,11.9857704354469,19.5767552923389,15.2054906036683
b0259,23.8890278561135,19.8600982253529,13.6152343387861,29.6959540359786,25.1230657940738,25.5023784833954,35.2976908754184,16.3861241981692
b4201,19.6666731185793,16.0163175889038,21.2872854915272,9.19685243188894,29.4078994347237,12.561176980029,35.2760037442585,31.5499018912753
b3312,19.417092022333,20.5760203683512,22.0489787865928,22.0786751515741,14.1515447849694,13.0291601284808,29.5217755302168,34.7376285948014
b1713,26.1656852522281,10.8562407780016,24.3078658337581,18.7647174788562,17.2659500001656,18.0961557269106,13.4843778836045,12.2235466473336
b3315,19.7154567712398,23.8026981387667,29.429059807584,22.2564452581234,20.6307201752696,9.01164122216774,35.0331294703458,44.6693793744809
b3316,20.4134775335655,13.3854941602646,23.3185301592123,12.7524251428693,29.444796808756,15.2948322895933,31.4101634163349,40.1241043858509
b2741,25.0272697589138,21.3767952079434,13.8236953469576,15.5387763169917,23.132411790939,22.2320210956067,8.69274458081762,6.09591131176337
b0741,22.5200706832235,17.3419086619903,18.3602532867458,11.7986369208801,16.1656633312205,15.0627141209807,28.4709044947503,29.0315769850885
b1093,26.063579408586,19.6101979724355,16.5539525189682,12.3054592630485,25.6679554132453,17.0859172180798,17.4913178917455,17.9173540446658
b4171,20.4810062008307,39.9812248128791,15.4946619757511,15.5945882047625,14.9170082940122,25.9753503880714,12.0735735778933,12.0822121596808
b1094,21.8911808744505,22.6513975817552,21.1884823647433,27.8520074888846,22.6185075695128,21.1903564033738,21.4980636613261,23.2479769633441
b3320,16.5759766080547,21.4745145902004,20.2586881515052,11.2622144980808,18.1305965243012,5.49623041622211,29.3965444413921,32.0212700442098
b3318,20.0493921762651,32.5687061512945,23.0591583627503,10.1158103656159,19.7095505539205,8.7002927509155,42.0503253893559,36.6779446490678
b2019,16.079445248036,25.0278320966094,16.4291217489623,17.2147028932802,18.2335576772144,43.8864686936511,16.005383426432,15.2256335885258
b1994,19.9021964905187,21.9799040489294,9.22168292866095,27.7949566668362,13.2340422283283,17.8394528846637,21.5277869655059,16.1642245327451
b3739,16.978210226962,19.4099126003272,11.7802584532806,16.1136441249081,30.4605668333409,15.3459758487546,28.33124571074,21.743220368865
b0812,23.7414765893357,37.711390577146,19.9580800964046,10.772307127158,8.15486140713091,53.5962461777833,9.61881477848115,7.68406943225223
