Reaction_id,Condition1,Condition2
BIOMASS_Ec_iJO1366_core_53p95M,0.8312993282092336,0.2845177863163783
12DGR120tipp@PAPA120pp,0.0,0.0
12DGR140tipp@PAPA140pp,0.0,0.0
12DGR141tipp@PAPA141pp,0.0,0.0
12DGR160tipp@PAPA160pp,0.0,0.0
12DGR161tipp,0.0,0.0
12DGR180tipp@PAPA180pp,0.0,0.0
12DGR181tipp,0.0,0.0
12PPDRtex@12PPDRtpp,0.0,0.0
12PPDStex@12PPDStpp@LCARS,0.0,0.0
2AGPA120tipp@LPLIPAL2A120@PLIPA1A120pp,0.0,0.0
2AGPA140tipp@LPLIPAL2A140@PLIPA1A140pp,0.0,0.0
2AGPA141tipp@LPLIPAL2A141@PLIPA1A141pp,0.0,0.0
2AGPA160tipp@LPLIPAL2A160@PLIPA1A160pp,0.0,0.0
2AGPA161tipp@LPLIPAL2A161@PLIPA1A161pp,0.0,0.0
2AGPA180tipp@LPLIPAL2A180@PLIPA1A180pp,0.0,0.0
2AGPA181tipp@LPLIPAL2A181@PLIPA1A181pp,0.0,0.0
2AGPE120tipp@PLIPA1E120pp,0.0,0.0
2AGPE140tipp@PLIPA1E140pp,0.0,0.0
2AGPE141tipp@PLIPA1E141pp,0.0,0.0
2AGPE160tipp@PLIPA1E160pp,0.0,0.0
2AGPE161tipp@PLIPA1E161pp,0.0,0.0
2AGPE180tipp@PLIPA1E180pp,0.0,0.0
2AGPE181tipp@PLIPA1E181pp,0.0,0.0
2AGPEAT120,0.0,0.0
2AGPEAT140,0.0,0.0
2AGPEAT141,0.0,0.0
2AGPEAT160,0.0,0.0
2AGPEAT161,0.0,0.0
2AGPEAT180,0.0,0.0
2AGPEAT181,0.0,0.0
2AGPG120tipp@PLIPA1G120pp,0.0,0.0
2AGPG140tipp@PLIPA1G140pp,0.0,0.0
2AGPG141tipp@PLIPA1G141pp,0.0,0.0
2AGPG160tipp@PLIPA1G160pp,0.0,0.0
2AGPG161tipp@PLIPA1G161pp,0.0,0.0
2AGPG180tipp@PLIPA1G180pp,0.0,0.0
2AGPG181tipp@PLIPA1G181pp,0.0,0.0
2AGPGAT120,0.0,0.0
2AGPGAT140,0.0,0.0
2AGPGAT141,0.0,0.0
2AGPGAT160,0.0,0.0
2AGPGAT161,0.0,0.0
2AGPGAT180,0.0,0.0
2AGPGAT181,0.0,0.0
2MAHMP,0.0,0.0
3AMACHYD@3HPPtex@3HPPtpp@CBMD@MSAR@POAACR@PYROX@URACPAH,0.0,0.0
3HAD100@3OAR100@3OAS100,0.0,0.0
3HAD120@3OAR120@3OAS120,0.0,0.0
5DOAN,0.0001870423488678,6.401650192829808e-05
5MTRtex@5MTRtpp@ADMDC@MTAN@SPMS,0.0,0.0
3HAD121@3HAD141@3OAR121@3OAR141@3OAS121@3OAS141@T2DECAI,0.0,0.0
3HAD140,0.0,0.0
A5PISO@KDOCT2@KDOPP@KDOPS,0.0323475194592468,0.01107115610111
AACPS1,0.0,0.0
AACPS2,0.0,0.0
AACPS3,0.1060970706603311,0.0363124360319867
AACPS4,0.1250506953440847,0.0427994415595942
AACPS5,0.0,0.0
3HAD160@3OAR160@3OAS160,0.0,0.0
AACPS6,0.0,0.0
AACPS7,0.0646950389185008,0.0221423122022201
3HAD161@3OAR161@3OAS161,0.0,0.0
AACPS8,0.0,0.0
AACPS9,0.0,0.0
3HAD180@3OAR180@3OAS180@ACOAD8f,0.0,0.0
3HAD181@3OAR181@3OAS181@CTECOAI8,0.0,0.0
AACTOOR@AOBUTDs,0.0,0.0
AADDGT@ACGAMT@ACMAMUT@ECA4COLIPAabctex@ECA4OALpp@TDPADGAT@TDPAGTA@UACMAMO@UAG2E,0.0,0.0
ABTA,0.0,0.0
ABUTD@PTRCTA,0.0,0.0
3HAD40@3HAD60@3HAD80@3OAR40@3OAR60@3OAR80@3OAS60@3OAS80,0.0,0.0
ABUTt2pp,0.0,0.0
ABUTtex,0.0,0.0
ACACT1r@ACACT2r@ACOAD1f@ACOAD2f@ECOAH1@ECOAH2@HACD1@HACD2,0.0,0.0
ACACT3r@ACOAD3f@ECOAH3@HACD3,0.2958428049224759,0.1012541897938097
ACACT4r@ACOAD4f@ECOAH4@HACD4,0.2958428049224759,0.1012541897938097
ACACT5r@ACOAD5f@ECOAH5@HACD5,0.2958428049224759,0.1012541897938097
ACACT6r@ECOAH6@HACD6,0.231147766003975,0.0791118775915895
ACACT7r@ECOAH7@HACD7,0.2311477660041896,0.0791118775915895
ACACT8r@ECOAH8@HACD8,0.0,0.0
3OAR140@3OAS140,0.0646950389184937,0.0221423122022201
ACALD,2.467664026837848,0.0
ACALDtex@ACALDtpp,0.0,0.0
ACCOAC,0.0647000267149815,0.022144019308597
ACCOAL@PPCSCT,4.930366035295217,1.0
ACGAMK,0.0,0.0
ACGK@ACGS@AGPR,0.245891690888925,0.0841580850496939
ACHBS@DHAD2@KARA2@ILETA,0.2415165625253004,0.082660667940711
ACKr@PTAr,0.0,0.0
ACLS@DHAD1@KARA1,0.7267792323741709,0.248745080525038
ACM6PH,0.0,0.0
3PEPTabcpp,0.0,0.0
3PEPTtex,0.0,0.0
4PCP,0.0,0.0
4PCPpp,0.0,0.0
4PEPTabcpp,0.0,0.0
4PEPTtex,0.0,0.0
5DGLCNR,0.0,0.0
ACOAD6f,0.0,0.0
ACOAD7f,0.0,0.0
ACOATA,0.0,0.0
5DGLCNt2rpp@5DGLCNtex,0.0,0.0
ACODA@ACOTA,0.2458916908896656,0.0841580850496939
ACOLIPAabctex@LA4NTpp@UDPGD@UDPGDC@UDPKAAT@ULA4NFT@ULA4Ntppi@UPLA4FNF@UPLA4FNT,0.0,0.0
ACONTa,2.063750721926029,8.87964676556775
ACONTa_rev,0.0,0.0
ACONTb,2.063750721926029,8.87964676556775
ACONTb_rev,0.0,0.0
ACPPAT120,0.0,0.0
AGM4PCPpp,0.0,0.0
AGM4PH,0.0,0.0
AGM4Pt2pp,0.0,0.0
AGMH,0.0,0.0
ACPPAT140,0.0,0.0
ACPPAT141,0.0,0.0
ACPPAT160,0.0,0.0181562180125458
AGMHE,0.0,0.0
AGMT@UREAtex@UREAtpp,0.0,0.0
ACPPAT161,0.0,0.0
AGMt2pp,0.0,0.0
AGMtex,0.0,0.0
ACPPAT180,0.0,0.0
ACPPAT181,0.0,0.0
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
ACS,1.030805449012406,0.0
ACSERtex@ACSERtpp,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0530485353301655,0.0181562180125458
AGPAT161,0.0625253476719293,0.0213997207795941
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
ACt2rpp,0.0,13.584
ACt4pp,0.0,0.0
ACtex,0.0,13.584
ADA,0.0,0.0
ADCL@ADCS@DHFS@DNMPPA@DNTPPA@DHNPA2r@DHPS2@GCALDD@HPPK2@GTPCI@CA2tex@CLt3_2pp@CLtex@COBALT2tex@CU2te,2.0782483205729937e-05,7.112944658080279e-06
AHCYSNS@DHPTDCs2@MTHTHFSs@RHCCE,0.0003724220990335,0.0001274639682683
AICART@IMPC,0.4511902042835787,0.1544228820763246
AIRC2@AIRC3@ADSL2r@PRASCSi,0.3724345685269343,0.1274682360362713
AKGDH,1.1699443346309302,8.57373551786312
AKGt2rpp@AKGtex,0.0,0.0
ALAALAD,0.0,0.0
ALAALAabcpp,0.0,0.0
ADD,0.0,0.0
ADEt2rpp@ADEtex,0.0,0.0
ADK1,2.815856631833872,1.9542159660046956
ADK3,0.0,1.3183644143664903
ADK4,0.0,0.0
ADNCYC@PDE1,0.0,0.0
ADNK1,0.0005594644479014,0.0
ALAALAr,0.0231001457321298,0.0079061802461595
ALAALAtex,0.0,0.0
ALAGLUE@LADGMDH@LALGP,0.0,0.0
ALAR,0.0346502185981554,0.634246480217975
ADNUC,0.0,0.0
ADNt2pp_copy2@ADNtex,0.0,0.0
ALATA_D2,0.0,0.000462625920549
ALATA_L,0.0,0.0
ALATA_L2,0.0,0.0
ALAabcpp,0.0,0.0
ALAt2pp_copy2,0.0,0.0
ALAt4pp,0.0,0.0
ALAtex,0.0,0.0
ALCD19@GLYALDtex@GLYALDtpp,0.0,0.0
ALCD2x@ETOHtex@ETOHtrpp,0.0,0.0
ADPRDP@NADN,0.0,0.0
ADPT,0.0,0.0001914804701966
ADSK@BPNT@SADT2@SULR,0.2060558270818768,0.0705239927298042
ADSL1r@ADSS,0.2485892572097228,0.0850813452664413
AGDC,0.0,0.0
ALDD2x,0.0,0.0
ALDD2y,0.0,0.0
AGM3PA,0.0,0.0
AGM3PApp,0.0,0.0
AGM3PH,0.0,0.0
AGM3Pt2pp,0.0,0.0
AGM4PA,0.0,0.0
ALLTAMH@ALLTN,0.0,0.0
ALLTNt2rpp@ALLTNtex,0.0,0.0
AGM4PApp,0.0,0.0
AGM4PCP,0.0,0.0
AMAOTr,1.662598656418467e-06,5.690355726327567e-07
AMPMS2@ASP1DC@CHRPL@APRAUR@DB4PS@DPCOAK@DPR@DHPPDA2@E4PD@FMNAT@HBZOPT@GTPCII2@MOHMT@PANTS@OHPBAT@OPH,4.572146305150785e-05,1.564847824740081e-05
ALR2@ALR4x,0.0,0.0
ASNN,0.0,0.0
ASNNpp,0.0,0.0
AMPN,0.0,0.0
ASNS1,0.0,0.0
AM3PA,0.0,0.0
ASNS2,0.2003888595614767,0.0685844349804945
AMPTASECG@CGLYabcpp,0.0,0.0
AM4PA,0.0,0.0
AM4PCP,0.0,0.0
ASNabcpp,0.0,0.0
ASNt2rpp,0.0,0.0
ASNtex,0.0,0.0
ASPCT@DHORTS@ORPT@OMPDC,0.2749896612746845,0.0941170611243541
ANHGMtex,0.0,0.0
ASPK@ASAD,0.8887221606044853,0.3041711369233458
ASPO3,0.0,0.0
ANHMK,0.0,0.0
ASPO4,0.0,0.0
ASPO5,0.0,0.0
ANPRT@ANS@IGPS@PRAIi,0.0472535477133974,0.0161728445275754
ASPO6,0.0018936998696645,0.00064813151723
AOXSr2,1.662598656418467e-06,5.690355726327567e-07
ASPT,0.0,0.0
ASPTA,0.0,0.0
AP4AH@AP4AS,0.0,0.0
CAt6pp,0.0,0.0
ASPabcpp,0.0,0.0
ASPt2_2pp,0.0,0.0
ASPt2_3pp,0.0,0.0
ASPt2pp_copy1,0.0,0.0
CBMKr,0.52088135216435,0.1782751461740475
CBPS,0.0,0.0
ASPt2pp_copy2,0.0,0.0
ASPtex,0.0,0.0
AST@SADH@SGDS@SGSAD@SOTA,0.0,0.0
ATHRDHr@THRA2,0.0,0.0
ATPHs,0.0,0.0
ATPM,9.0,9.0
CD2abcpp,0.0,0.0
CD2t3pp,0.0,0.0
ATPPRT@HISTD@HISTP@HSTPT@IG3PS@IGPDH@PRAMPC@PRATPP@PRMICI,0.0787556357558969,0.0269546460400533
APG3PAT120,0.0,0.0
ATPS4rpp,65.73982630876158,44.82761000563223
CD2tpp,0.0,0.0
CDAPPA120,0.0,0.0
CDAPPA140,0.0,0.0
CDAPPA141,0.0,0.0
CDAPPA160,0.0,0.0
CDAPPA161,0.0,0.0
CDAPPA180,0.0,0.0
CDAPPA181,0.0,0.0
BMOCOS@BMOGDS1@BMOGDS2,0.0001014185180415,3.471116993059816e-05
CDPMEK@DXPRIi@MEPCT@MECDPDH5@MECDPS,0.0019859740952581,0.0006797129915667
APG3PAT140,0.0,0.0
BTS5,1.662598656418467e-06,5.690355726327567e-07
APG3PAT141,0.0,0.0
CGLYtex,0.0,0.0
CA2t3pp,0.0,0.0
CADVtpp@DAPtex@LYSDC,0.0,0.0
CHORM,0.2688289019534977,0.0920084998094807
CHORS@DHQTi@PSCVT@SHK3Dr@SHKK,0.3168239686676919,0.108435134202462
CITL,3.092625929971246,0.0
CITt3pp,0.0,0.0
APG3PAT160,0.0,0.0181562180125458
CITt7pp,0.0,0.0
CITtex,0.0,0.0
CMPN,0.0,0.0
CLIPAabctex@EDTXS3@EDTXS4@LIPACabcpp,0.0,0.0
APG3PAT161,0.0,0.0
CLPNH120pp@CLPNS120pp,0.0,0.0
CLPNH140pp@CLPNS140pp,0.0,0.0
CLPNH141pp@CLPNS141pp,0.0,0.0
CMtex@CMtpp,0.0,0.0
CO2tex,0.0,0.0
CLPNH160pp@CLPNS160pp,0.0,0.0
CO2tpp,0.0,0.0
COBALT2abcpp,0.0,0.0
COBALT2t3pp,0.0,0.0
CLPNH161pp@CLPNS161pp,0.0,0.0
CLPNH180pp@CLPNS180pp,0.0,0.0
CLPNH181pp@CLPNS181pp,0.0,0.0
COBALT2tpp,2.078248320523084e-05,7.112944657909459e-06
APG3PAT180,0.0,0.0
COLIPAKpp@COLIPAPabctex,0.0,0.0
APG3PAT181,0.0,0.0
COLIPAabcpp@GLCTR1@GLCTR2@GALT1@GLCTR3@GMHEPAT@GMHEPK@HEPK1@GMHEPPA@HEPK2@MOAT3C@S7PI@TDPDRE@TDPDRR@,0.0,0.0
APH120,0.0,0.0
COLIPAabctex,0.0,0.0
APH140,0.0,0.0
CPGNR1,0.0,0.0
APH141,0.0,0.0
APH160,0.0,0.0
CPGNR2,0.0,0.0
CPGNR3,0.0,0.0
APH161,0.0,0.0
CPGNUtex@CPGNUtpp@CPGNabcpp@CPGNexs@CPGNtonex,0.0,0.0
APH180,0.0,0.0
APH181,0.0,0.0
CPMPS@MOADSUx@MPTAT@MPTS@MPTSS,0.0002028370360882,6.942233985892784e-05
CYSDS,0.0,0.0
CYSS,0.2060558270818768,0.0705239927298042
CPPPGO,0.0001853797501906,6.34474663314677e-05
CPPPGO2,0.0,0.0
CYSTL@HSST@SHSL1,0.1279461109040113,0.0437904170097401
CYSabc2pp,0.0,0.0
CRNDabcpp,0.0,0.0
CYSabcpp,0.0,0.0
CYStex,0.0,0.0
ARBTNR1,0.0,0.0
CYStpp,0.0,0.0
CYTBD2pp,0.0,0.0
CYTBDpp,0.0,0.0
CYTBO3_4pp,44.04937780795598,29.761327886962647
CYTD,0.0,0.0
CRNDt2rpp,0.0,0.0
CRNabcpp,0.0,0.0
CRNt2rpp,0.0,0.0
CYTDH,0.0,0.0
CRNt8pp,0.0,0.0
CYTDK2,0.0,0.0
ARBTNR2,0.0,0.0
CS,5.156376651897274,8.87964676556775
CSND,0.0,0.0
CYTDt2pp_copy2@CYTDtex,0.0,0.0
ARBTNR3,0.0,0.0
CTBTabcpp@CTBTt2rpp,0.0,0.0
CYTK1,0.1503862049698393,0.0514706901335927
CYTK2,0.0,0.0
D_LACt2pp,0.0,0.0
D_LACt2pp_rev,0.0,0.0
D_LACtex,0.0,0.0
D_LACtex_rev,0.0,0.0
CTECOAI6,0.0,0.0
ARBTNabcpp@ARBTNexs@ARBTNtex@ARBTNtonex@ARBTNtpp,0.0,0.0
CTECOAI7,0.0,0.0
DAAD,0.0,0.6219245839282227
DADA,0.0,0.0
DADK,0.0,0.0
DAGK120,0.0,0.0
CTPS2,0.1334443246607872,0.045672217648443
CU2abcpp,0.0,0.0
DAGK140,0.0,0.0
DAGK141,0.0,0.0
DAGK160,0.0,0.0
CU2tpp,0.0005893912236937,0.000201723110496
DAGK161,0.0,0.0
DAGK180,0.0,0.0
DAGK181,0.0,0.0
DALAt2pp,0.011550072866139,0.0039530901230797
DALAtex,0.0,0.0
DAPDC,0.2852695087676088,0.0976354080701147
DAPE@DHDPRy@DHDPS@SDPDS@SDPTA@THDPS,0.3083696544997423,0.105541588316278
DDPA@DHQS,0.3168239686676919,0.108435134202462
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0530485353301655,0.0181562180159933
DGK1,0.0,0.0
DASYN161,0.0625253476719293,0.02139972078
DASYN180,0.0,0.0
DASYN181,0.0,0.0
DATPHs@NTD12@NTPP10,0.0,0.0
DHAPT,0.0,0.0
DBTS,1.662598656418467e-06,5.690355726327567e-07
DHAtex@DHAtpp,0.0,0.0
ARBabcpp,0.0,0.0
DHBD@ICHORT,0.0,0.0
DHBS@ENTCS@SERASr,0.0,0.0
DHBSH,0.0,0.0
DCTPD,0.0,0.0
DCYTD@NTD3,0.0,0.0
ARBt2rpp,0.0,0.0
