Reaction_id,Condition1,Condition2
BIOMASS_Ec_iJO1366_core_53p95M,0.8312993282092336,0.1409678665340195
12DGR120tipp@PAPA120pp,0.0,0.0
12DGR140tipp@PAPA140pp,0.0,0.0
12DGR141tipp@PAPA141pp,0.0,0.0
12DGR160tipp@PAPA160pp,0.0,0.0
12DGR161tipp,0.0,0.0
12DGR180tipp@PAPA180pp,0.0,0.0
12DGR181tipp,0.0,0.0
12PPDRtex@12PPDRtpp,0.0,0.0
12PPDStex@12PPDStpp@LCARS,0.0,0.0
2AGPA120tipp@LPLIPAL2A120@PLIPA1A120pp,0.0,0.0
2AGPA140tipp@LPLIPAL2A140@PLIPA1A140pp,0.0,0.0
2AGPA141tipp@LPLIPAL2A141@PLIPA1A141pp,0.0,0.0
2AGPA160tipp@LPLIPAL2A160@PLIPA1A160pp,0.0,0.0
2AGPA161tipp@LPLIPAL2A161@PLIPA1A161pp,0.0,0.0
2AGPA180tipp@LPLIPAL2A180@PLIPA1A180pp,0.0,0.0
2AGPA181tipp@LPLIPAL2A181@PLIPA1A181pp,0.0,0.0
2AGPE120tipp@PLIPA1E120pp,0.0,0.0
2AGPE140tipp@PLIPA1E140pp,0.0,0.0
2AGPE141tipp@PLIPA1E141pp,0.0,0.0
2AGPE160tipp@PLIPA1E160pp,0.0,0.0
2AGPE161tipp@PLIPA1E161pp,0.0,0.0
2AGPE180tipp@PLIPA1E180pp,0.0,0.0
2AGPE181tipp@PLIPA1E181pp,0.0,0.0
2AGPEAT120,0.0,0.0
2AGPEAT140,0.0,0.0
2AGPEAT141,0.0,0.0
2AGPEAT160,0.0,0.0
2AGPEAT161,0.0,0.0
2AGPEAT180,0.0,0.0
2AGPEAT181,0.0,0.0
2AGPG120tipp@PLIPA1G120pp,0.0,0.0
2AGPG140tipp@PLIPA1G140pp,0.0,0.0
2AGPG141tipp@PLIPA1G141pp,0.0,0.0
2AGPG160tipp@PLIPA1G160pp,0.0,0.0
2AGPG161tipp@PLIPA1G161pp,0.0,0.0
2AGPG180tipp@PLIPA1G180pp,0.0,0.0
2AGPG181tipp@PLIPA1G181pp,0.0,0.0
2AGPGAT120,0.0,0.0
2AGPGAT140,0.0,0.0
2AGPGAT141,0.0,0.0
2AGPGAT160,0.0,0.0
2AGPGAT161,0.0,0.0
2AGPGAT180,0.0,0.0
2AGPGAT181,0.0,0.0
2MAHMP,0.0,0.0
3AMACHYD@3HPPtex@3HPPtpp@CBMD@MSAR@POAACR@PYROX@URACPAH,0.0,0.0
3HAD100@3OAR100@3OAS100,0.1402352879690099,0.0
3HAD120@3OAR120@3OAS120,0.1402352879690099,0.0
5DOAN,0.0001870423488468,3.171776997794555e-05
5MTRtex@5MTRtpp@ADMDC@MTAN@SPMS,0.0,0.0
3HAD121@3HAD141@3OAR121@3OAR141@3OAS121@3OAS141@T2DECAI,0.0,0.0
3HAD140,0.0755402490505091,0.0
A5PISO@KDOCT2@KDOPP@KDOPS,0.0323475194592504,0.0054853416225455
AACPS1,0.0,0.0
AACPS2,0.0,0.0
AACPS3,0.0305568216101789,0.0179914468700038
AACPS4,0.1250506953438586,0.0212055142269794
AACPS5,0.0,0.0
3HAD160@3OAR160@3OAS160,0.0755402490505091,0.0
AACPS6,0.0,0.0
AACPS7,0.0,0.01097068324475
3HAD161@3OAR161@3OAS161,0.0,0.0
