Reaction_id,Condition1,Condition2
BIOMASS_Ec_iJO1366_core_53p95M,0.8312993282092336,0.2218690455883134
12DGR120tipp@PAPA120pp,0.0,0.0
12DGR140tipp@PAPA140pp,0.0,0.0
12DGR141tipp@PAPA141pp,0.0,0.0
12DGR160tipp@PAPA160pp,0.0,0.0
12DGR161tipp,0.0,0.0
12DGR180tipp@PAPA180pp,0.0,0.0
12DGR181tipp,0.0,0.0
12PPDRtex@12PPDRtpp,0.0,0.0
12PPDStex@12PPDStpp@LCARS,0.0,0.0
2AGPA120tipp@LPLIPAL2A120@PLIPA1A120pp,0.0,0.0
2AGPA140tipp@LPLIPAL2A140@PLIPA1A140pp,0.0,0.0
2AGPA141tipp@LPLIPAL2A141@PLIPA1A141pp,0.0,0.0
2AGPA160tipp@LPLIPAL2A160@PLIPA1A160pp,0.0,0.0
2AGPA161tipp@LPLIPAL2A161@PLIPA1A161pp,0.0,0.0
2AGPA180tipp@LPLIPAL2A180@PLIPA1A180pp,0.0,0.0
2AGPA181tipp@LPLIPAL2A181@PLIPA1A181pp,0.0,0.0
2AGPE120tipp@PLIPA1E120pp,0.0,0.0
2AGPE140tipp@PLIPA1E140pp,0.0,0.0
2AGPE141tipp@PLIPA1E141pp,0.0,0.0
2AGPE160tipp@PLIPA1E160pp,0.0,0.0
2AGPE161tipp@PLIPA1E161pp,0.0,0.0
2AGPE180tipp@PLIPA1E180pp,0.0,0.0
2AGPE181tipp@PLIPA1E181pp,0.0,0.0
2AGPEAT120,0.0,0.0
2AGPEAT140,0.0,0.0
2AGPEAT141,0.0,0.0
2AGPEAT160,0.0,0.0
2AGPEAT161,0.0,0.0
2AGPEAT180,0.0,0.0
2AGPEAT181,0.0,0.0
2AGPG120tipp@PLIPA1G120pp,0.0,0.0
2AGPG140tipp@PLIPA1G140pp,0.0,0.0
2AGPG141tipp@PLIPA1G141pp,0.0,0.0
2AGPG160tipp@PLIPA1G160pp,0.0,0.0
2AGPG161tipp@PLIPA1G161pp,0.0,0.0
2AGPG180tipp@PLIPA1G180pp,0.0,0.0
2AGPG181tipp@PLIPA1G181pp,0.0,0.0
2AGPGAT120,0.0,0.0
2AGPGAT140,0.0,0.0
2AGPGAT141,0.0,0.0
2AGPGAT160,0.0,0.0
2AGPGAT161,0.0,0.0
2AGPGAT180,0.0,0.0
2AGPGAT181,0.0,0.0
2MAHMP,0.0,0.0
3AMACHYD@3HPPtex@3HPPtpp@CBMD@MSAR@POAACR@PYROX@URACPAH,0.0,0.0
3HAD100@3OAR100@3OAS100,0.2958428049218939,0.0
3HAD120@3OAR120@3OAS120,0.1707921095788319,0.0
5DOAN,0.0001870423488678,4.992053526291725e-05
5MTRtex@5MTRtpp@ADMDC@MTAN@SPMS,0.0,0.0
3HAD121@3HAD141@3OAR121@3OAR141@3OAS121@3OAS141@T2DECAI,0.1250506953438586,0.0
3HAD140,0.1060970706603312,0.0
A5PISO@KDOCT2@KDOPP@KDOPS,0.0323475194592504,0.0086333683019006
AACPS1,0.0,0.0
AACPS2,0.0,0.0
AACPS3,0.0,0.0283167025503452
AACPS4,0.0,0.0333753167897588
AACPS5,0.0,0.0
3HAD160@3OAR160@3OAS160,0.1060970706603312,0.0
AACPS6,0.0,0.0
AACPS7,0.0,0.0172667366026964
3HAD161@3OAR161@3OAS161,0.1250506953438586,0.0
AACPS8,0.0,0.0
AACPS9,0.0,0.0
3HAD180@3OAR180@3OAS180@ACOAD8f,0.0,0.0
3HAD181@3OAR181@3OAS181@CTECOAI8,0.0,0.0
AACTOOR@AOBUTDs,0.0,0.0
AADDGT@ACGAMT@ACMAMUT@ECA4COLIPAabctex@ECA4OALpp@TDPADGAT@TDPAGTA@UACMAMO@UAG2E,0.0,0.0
ABTA,0.0,1.249502662284807
ABUTD@PTRCTA,0.0,0.0
3HAD40@3HAD60@3HAD80@3OAR40@3OAR60@3OAR80@3OAS60@3OAS80,0.2958428049226905,0.0
ABUTt2pp,0.0,0.0
ABUTtex,0.0,0.0
ACACT1r@ACACT2r@ACOAD1f@ACOAD2f@ECOAH1@ECOAH2@HACD1@HACD2,0.0,0.0
ACACT3r@ACOAD3f@ECOAH3@HACD3,0.0,0.0789587559430658
ACACT4r@ACOAD4f@ECOAH4@HACD4,0.0,0.0789587559430658
ACACT5r@ACOAD5f@ECOAH5@HACD5,0.0,0.0789587559430658
ACACT6r@ECOAH6@HACD6,0.0,0.0616920193396056
ACACT7r@ECOAH7@HACD7,0.0,0.0616920193396056
ACACT8r@ECOAH8@HACD8,0.0,0.0
3OAR140@3OAS140,0.1707921095788319,0.0172667366038012
ACALD,0.0,0.0
ACALDtex@ACALDtpp,0.0,0.0
ACCOAC,2.0062095833363025,0.017268067817503
ACCOAL@PPCSCT,1.0,1.527970116232762
ACGAMK,0.0,0.0
ACGK@ACGS@AGPR,0.2458916908885839,0.0656270887326584
ACHBS@DHAD2@KARA2@ILETA,0.2415165625253004,0.0644593919457271
ACKr@PTAr,0.3243906430345717,0.0
ACLS@DHAD1@KARA1,0.7267792323741709,0.1939732286174525
ACM6PH,0.0,0.0
3PEPTabcpp,0.0,0.0
3PEPTtex,0.0,0.0
4PCP,0.0,0.0
4PCPpp,0.0,0.0
4PEPTabcpp,0.0,0.0
4PEPTtex,0.0,0.0
5DGLCNR,0.0,0.0
ACOAD6f,0.0,0.0
ACOAD7f,0.0,0.0
ACOATA,0.0,0.0
5DGLCNt2rpp@5DGLCNtex,0.0,0.0
ACODA@ACOTA,0.2458916908885839,0.0656270887326584
ACOLIPAabctex@LA4NTpp@UDPGD@UDPGDC@UDPKAAT@ULA4NFT@ULA4Ntppi@UPLA4FNF@UPLA4FNT,0.0,0.0
ACONTa,3.861287134022721,1.4880544851489097
ACONTa_rev,0.0,0.0
ACONTb,3.861287134022721,1.4880544851489097
ACONTb_rev,0.0,0.0
ACPPAT120,0.0,0.0
AGM4PCPpp,0.0,0.0
AGM4PH,0.0,0.0
AGM4Pt2pp,0.0,0.0
AGMH,0.0,0.0
ACPPAT140,0.0,0.0
ACPPAT141,0.0,0.0
ACPPAT160,0.0530485353301656,0.0141583512751726
AGMHE,0.0,0.0
AGMT@UREAtex@UREAtpp,0.0,0.0
ACPPAT161,0.0625253476719293,0.0166876583948794
AGMt2pp,0.0,0.0
AGMtex,0.0,0.0
ACPPAT180,0.0,0.0
ACPPAT181,0.0,0.0
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
ACS,0.8086856804645508,0.0
ACSERtex@ACSERtpp,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0530485353301656,0.0141583512751726
AGPAT161,0.0625253476719293,0.0166876583948794
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
ACt2rpp,0.0,0.0
ACt4pp,0.0,0.0
ACtex,0.0,0.0
ADA,0.0,0.0
ADCL@ADCS@DHFS@DNMPPA@DNTPPA@DHNPA2r@DHPS2@GCALDD@HPPK2@GTPCI@CA2tex@CLt3_2pp@CLtex@COBALT2tex@CU2te,2.0782483205729937e-05,5.546726139841043e-06
AHCYSNS@DHPTDCs2@MTHTHFSs@RHCCE,0.0003724220990335,9.939733242245508e-05
AICART@IMPC,0.4511902042833999,0.1204200901001969
AIRC2@AIRC3@ADSL2r@PRASCSi,0.3724345685275029,0.0994006604592512
AKGDH,2.9674807467267774,0.0
AKGt2rpp@AKGtex,0.0,0.0
ALAALAD,0.0,0.0
ALAALAabcpp,0.0,0.0
ADD,0.0,0.0
ADEt2rpp@ADEtex,0.0,0.0
ADK1,0.0,0.8556393957119234
ADK3,0.0,0.1999134723363793
ADK4,0.0,0.0
ADNCYC@PDE1,0.0,0.0
ADNK1,0.0,0.0
ALAALAr,0.0231001457322008,0.0061652970387626
ALAALAtex,0.0,0.0
ALAGLUE@LADGMDH@LALGP,0.0,0.0
ALAR,0.0346502185994371,3.12035109935202
ADNUC,0.0,0.0
ADNt2pp_copy2@ADNtex,0.0,0.0
ALATA_D2,0.0,2.626121825738073
ALATA_L,0.0,0.0
ALATA_L2,0.0,0.0
ALAabcpp,0.0,0.0
ALAt2pp_copy2,0.0,0.0
ALAt4pp,0.0,0.0
ALAtex,0.0,0.0
ALCD19@GLYALDtex@GLYALDtpp,0.0,0.0
ALCD2x@ETOHtex@ETOHtrpp,0.0,0.0
ADPRDP@NADN,0.0,0.0
ADPT,0.0005594644479014,0.0001493178676853
ADSK@BPNT@SADT2@SULR,0.2060558270818769,0.0549951240680659
ADSL1r@ADSS,0.248589257209544,0.0663470537855901
AGDC,0.0,0.0
ALDD2x,0.0,0.0
ALDD2y,0.0,0.0
AGM3PA,0.0,0.0
AGM3PApp,0.0,0.0
AGM3PH,0.0,0.0
AGM3Pt2pp,0.0,0.0
AGM4PA,0.0,0.0
ALLTAMH@ALLTN,0.0,0.0
ALLTNt2rpp@ALLTNtex,0.0,0.0
AGM4PApp,0.0,0.0
AGM4PCP,0.0,0.0
AMAOTr,1.662598656418467e-06,4.437380911766269e-07
AMPMS2@ASP1DC@CHRPL@APRAUR@DB4PS@DPCOAK@DPR@DHPPDA2@E4PD@FMNAT@HBZOPT@GTPCII2@MOHMT@PANTS@OHPBAT@OPH,4.5721463046382126e-05,1.220279750735724e-05
ALR2@ALR4x,0.0,0.0
ASNN,0.0,0.0
ASNNpp,0.0,0.0
AMPN,0.0,0.0
ASNS1,0.0,0.0534826427842908
AM3PA,0.0,0.0
ASNS2,0.2003888595614767,0.0
AMPTASECG@CGLYabcpp,0.0,0.0
AM4PA,0.0,0.0
AM4PCP,0.0,0.0
ASNabcpp,0.0,0.0
ASNt2rpp,0.0,0.0
ASNtex,0.0,0.0
ASPCT@DHORTS@ORPT@OMPDC,0.2749896612746925,0.0733931709351467
ANHGMtex,0.0,0.0
ASPK@ASAD,0.8887221606045943,0.2371948717813264
ASPO3,0.0,0.0
ANHMK,0.0,0.0
