Reaction_id,Condition1,Condition2
2AGPA140tipp@LPLIPAL2A140@PLIPA1A140pp,0.0,0.0
2AGPA141tipp@LPLIPAL2A141@PLIPA1A141pp,0.0,0.0
2AGPA160tipp@LPLIPAL2A160@PLIPA1A160pp,0.0,0.0
3OAR180@3OAS180@ACOAD8f@3HAD180,0.0,0.0
2AGPA161tipp@LPLIPAL2A161@PLIPA1A161pp,0.0,0.0
3OAR181@3OAS181@3HAD181@CTECOAI8,0.0,0.0
2AGPA180tipp@LPLIPAL2A180@PLIPA1A180pp,0.0,0.0
3OAR40@3OAR60@3OAR80@3OAS60@3OAS80@3HAD40@3HAD60@3HAD80,0.3075487419772552,0.3517665603204031
2AGPA181tipp@LPLIPAL2A181@PLIPA1A181pp,0.0,0.0
3OAS100@3HAD100@3OAR100,0.3075487419772456,0.3517665603204031
2AGPE120tipp@PLIPA1E120pp,0.0,0.0
3OAS120@3HAD120@3OAR120,0.1775423296340195,0.2030684769026609
3OAS121@3OAS141@3HAD121@3HAD141@3OAR121@3OAR141@T2DECAI,0.1300064123432356,0.1486980834177421
3OAS140@3OAR140,0.1775423296340195,0.2030684769026609
12DGR120tipp@PAPA120pp,0.0,0.0
12DGR140tipp@PAPA140pp,0.0,0.0
12DGR141tipp@PAPA141pp,0.0,0.0
2AGPE140tipp@PLIPA1E140pp,0.0,0.0
12DGR160tipp@PAPA160pp,0.0,0.0
12DGR161tipp,0.0,0.0
3OAS160@3HAD160@3OAR160,0.1103006139026999,0.1261590839367923
3OAS161@3HAD161@3OAR161,0.1300064123432356,0.1486980834177421
3PEPTabcpp,0.0,0.0
3PEPTtex,0.0,0.0
4PCP,0.0,0.0
4PCPpp,0.0,0.0
12DGR180tipp@PAPA180pp,0.0,0.0
12DGR181tipp,0.0,0.0
12PPDRtex@12PPDRtpp,0.0,0.0
4PEPTabcpp,0.0,0.0
4PEPTtex,0.0,0.0
5DGLCNR,0.0,0.0
5DGLCNt2rpp@5DGLCNtex,0.0,0.0
5DOAN@CPPPGO2,0.0,0.0
A5PISO@KDOCT2@KDOPP@KDOPS,0.0336208578656598,0.038454696482852
AACPS1,0.0,0.0
AACPS2,0.0,0.0
2AGPA120tipp@LPLIPAL2A120@PLIPA1A120pp,0.0,0.0
AACPS3,0.0,0.0
2AGPE141tipp@PLIPA1E141pp,0.0,0.0
AACPS4,0.0,0.0
AACPS5,0.0,0.0
AACPS6,0.0,0.0
ACGAMK,0.0,0.0
AACPS7,0.0,0.0
2AGPE160tipp@PLIPA1E160pp,0.0,0.0
AACPS8,0.0,0.0
AACPS9,0.0,0.0
ACGAMT@AADDGT@ACMAMUT@ECA4COLIPAtex@TDPADGAT@TDPAGTA@UACMAMO@UAG2E,0.0,0.0
AACTOOR@AOBUTDs,0.0,0.0
2AGPE161tipp@PLIPA1E161pp,0.0,0.0
ACGK@ACGS@AGPR,0.2556568060838639,0.2924138616870858
ACHBS@DHAD2@ILETA@KARA2,0.2510760722358433,0.2871745328603732
ACKr,0.0,0.0
ACKr_rev,6.73248079133358,5.450428781512521
PTAr,6.73248079133358,5.450428781512521
PTAr_rev,0.0,0.0
ACLS@DHAD1@KARA1,0.7556274840965571,0.8642678206231302
ACM6PH,0.0,0.0
ABTA,0.0,0.0
ABUTD@PTRCTA,0.0,0.0
ABUTt2pp,0.0,0.0
ABUTtex,0.0,0.0
2AGPE180tipp@PLIPA1E180pp,0.0,0.0
ACACT1r,0.0,0.0
ACALD,0.0,0.0
ACALDtex@ACALDtpp,0.0,0.0
2AGPE181tipp@PLIPA1E181pp,0.0,0.0
ACOAD1f@ACOAD2f@ECOAH1@ECOAH2@HACD1i@HACD2i@ACACT11,0.0,0.0
ACCOAC@MCOATA,2.085599478109457,2.3854565292769507
2AGPEAT120,0.0,0.0
ACCOAL@PPCSCT,0.0,2.6701364661935347
ACOAD3f@ECOAH3@HACD3i@ACACT8,0.0,0.0
ACOAD4f@ECOAH4@HACD4i@ACACT13,0.0,0.0
ACOAD5f@ECOAH5@HACD5i@ACACT10,0.0,0.0
ACOAD6f,0.0,0.0
ACOAD7f,0.0,0.0
ADPT,0.0003854730747579,0.0004408944635309
ACOATA,0.0,0.3517665603204031
2AGPEAT140,0.0,0.0
ACODA@ACOTA,0.2556568060838639,0.2924138616870858
ADSK@BPNT@SADT2@SULR,0.2128762091116332,0.2434824846682191
ADSL1r@ADSS,0.2577397435509894,0.294796273474746
ADSL2r@AIRC2@AIRC3@PRASCSi,0.3860823987890661,0.4415913931205334
2AGPEAT141,0.0,0.0
2AGPEAT160,0.0,0.0
AGDC,0.0,0.0
2AGPEAT161,0.0,0.0
AGM3PA,0.0,0.0
AGM3PApp,0.0,0.0
2AGPEAT180,0.0,0.0
2AGPEAT181,0.0,0.0
AGM3PH,0.0,0.0
AGM3Pt2pp,0.0,0.0
AGM4PA,0.0,0.0
ACOLIPAtex@LA4NTpp@UDPGD@UDPGDC@UDPKAAT@ULA4NFT@ULA4Ntppi@UPLA4FNF@UPLA4FNT,0.0,0.0
2AGPG120tipp@PLIPA1G120pp,0.0,0.0
ACONTa,4.118090053629119,4.598882293392924
ACONTa_rev,0.0,0.0
ACONTb,4.118090053629119,4.598882293392924
ACONTb_rev,0.0,0.0
AGM4PApp,0.0,0.0
AGM4PCP,0.0,0.0
