reaction,flux
ACGAM1PPpp,0.0
2AGPA140tipp,0.0
EX_acser_e,-0.0
2AGPA141tipp,0.0
2AGPA160tipp,0.0
3OAR180,0.0
2AGPA161tipp,0.0
3OAR181,0.0
2AGPA180tipp,0.0
3OAR40,1.0000293788834085
2AGPA181tipp,0.0
3OAR60,1.0000293788834085
3OAR80,1.0000293788834085
3OAS100,1.0000293788834085
2AGPE120tipp,0.0
3OAS120,2.9378883408481826e-05
3OAS121,1.0
3OAS140,6.423328263187238e-06
12DGR120tipp,0.0
12DGR140tipp,0.0
3OAS141,1.0
12DGR141tipp,0.0
2AGPE140tipp,0.0
12DGR160tipp,0.0
12DGR161tipp,0.0
3OAS160,0.0
3OAS161,2.2955555145198758e-05
3OAS180,0.0
3OAS181,0.0
3OAS60,1.0000293788834085
3OAS80,1.0000293788834085
3PEPTabcpp,0.0
3PEPTtex,0.0
3UMPtex,0.0
42A12BOOXpp,0.0
4HOXPACDtex,0.0
4HTHRS,0.0
4PCP,0.0
4PCPpp,0.0
12DGR180tipp,0.0
12DGR181tipp,0.0
12PPDRtex,0.0
12PPDRtpp,0.0
12PPDStex,0.0
12PPDStpp,0.0
14GLUCANabcpp,0.0
14GLUCANtexi,0.0
23CAMPtex,0.0
23CCMPtex,0.0
23CGMPtex,0.0
23CUMPtex,0.0
23DAPPAt2pp,0.0
23DAPPAtex,0.0
23PDE2pp,0.0
23PDE4pp,0.0
4PEPTabcpp,0.0
4PEPTtex,0.0
5DGLCNR,0.0
5DGLCNt2rpp,0.0
5DGLCNtex,0.0
5DOAN,0.0
A5PISO,3.211664131593619e-06
AACPS1,0.0
AACPS2,0.0
23PDE7pp,0.0
23PDE9pp,0.0
26DAHtex,0.0
2AGPA120tipp,0.0
AACPS3,1.0536570089305341e-05
2AGPE141tipp,0.0
AACPS4,0.0
AACPS5,0.0
ACGAM1Ptex,0.0
AACPS6,0.0
ACGAMK,0.0
AACPS7,0.0
2AGPE160tipp,0.0
AACPS8,0.0
AACPS9,0.0
ACGAMT,0.0
ACGAptspp,0.0
AACTOOR,0.0
ACGAtex,0.0
2AGPE161tipp,0.0
ACGK,2.442185732970161e-05
ACGS,2.442185732970161e-05
AADDGT,0.0
AAMYL,0.0
ACHBS,2.398427841202947e-05
ACKr,-1.3631764289122643
ACLS,1.0000721820275145
ACM6PH,0.0
AAMYLpp,0.0
AB6PGH,-0.0
ABTA,0.0
ABUTD,0.0
ABUTt2pp,0.0
ACMAMUT,0.0
ACMANAptspp,0.0
ABUTtex,0.0
2AGPE180tipp,0.0
ACACCT,0.0
ACACT1r,2.5490161079200724
ACACt2pp,0.0
ACACtex,0.0
