reaction,flux
ACGAM1PPpp,0.0
2AGPA140tipp,0.0
EX_acser_e,0.0
2AGPA141tipp,0.0
2AGPA160tipp,0.0
3OAR180,0.0
2AGPA161tipp,0.0
3OAR181,0.0
2AGPA180tipp,0.0
3OAR40,0.3877788061663205
2AGPA181tipp,0.0
3OAR60,0.3877788061663205
3OAR80,0.38777880616632077
3OAS100,0.38777880616632077
2AGPE120tipp,0.0
3OAS120,0.22385769548866236
3OAS121,0.1639211106776584
3OAS140,0.22385769548866236
12DGR120tipp,0.0
12DGR140tipp,0.0
3OAS141,0.1639211106776584
12DGR141tipp,0.0
2AGPE140tipp,0.0
12DGR160tipp,0.0
12DGR161tipp,0.0
3OAS160,0.13907467188327863
3OAS161,0.1639211106776584
3OAS180,0.0
3OAS181,0.0
3OAS60,0.3877788061663205
3OAS80,0.38777880616632077
3PEPTabcpp,0.0
3PEPTtex,0.0
3UMPtex,0.0
42A12BOOXpp,0.0
4HOXPACDtex,0.0
4HTHRS,0.0
4PCP,0.0
4PCPpp,0.0
12DGR180tipp,0.0
12DGR181tipp,0.0
12PPDRtex,0.0
12PPDRtpp,0.0
12PPDStex,0.0
12PPDStpp,0.0
14GLUCANabcpp,0.0
14GLUCANtexi,0.0
23CAMPtex,0.0
23CCMPtex,0.0
23CGMPtex,0.0
23CUMPtex,0.0
23DAPPAt2pp,0.0
23DAPPAtex,0.0
23PDE2pp,0.0
23PDE4pp,0.0
4PEPTabcpp,0.0
4PEPTtex,0.0
5DGLCNR,0.0
5DGLCNt2rpp,0.0
5DGLCNtex,0.0
5DOAN,0.0
A5PISO,0.04239151180269188
AACPS1,0.0
AACPS2,0.0
23PDE7pp,0.0
23PDE9pp,0.0
26DAHtex,0.0
2AGPA120tipp,0.0
AACPS3,0.0
2AGPE141tipp,0.0
AACPS4,0.0
AACPS5,0.0
ACGAM1Ptex,0.0
AACPS6,0.0
ACGAMK,0.0
AACPS7,0.0
2AGPE160tipp,0.0
AACPS8,0.0
AACPS9,0.0
ACGAMT,0.0
ACGAptspp,0.0
AACTOOR,0.0
ACGAtex,0.0
2AGPE161tipp,0.0
ACGK,0.32234985067445393
ACGS,0.32234985067445393
AADDGT,0.0
AAMYL,0.0
ACHBS,0.31657414341084805
ACKr,0.0
ACLS,0.9527475931313685
ACM6PH,0.0
AAMYLpp,0.0
AB6PGH,0.0
ABTA,0.0
ABUTD,0.0
ABUTt2pp,0.0
ACMAMUT,0.0
ACMANAptspp,0.0
ABUTtex,0.0
2AGPE180tipp,0.0
ACACCT,0.0
ACACT1r,0.0
ACACt2pp,0.0
ACACtex,0.0
ACMANAtex,0.0
ACMUMptspp,0.0
