"","mip6_20_vs_0_logFC","mip6_20_vs_0_padj","mip6_120_vs_20_logFC","mip6_120_vs_20_padj","WT_20_vs_0_logFC","WT_20_vs_0_padj","WT_120_vs_20_logFC","WT_120_vs_20_padj","0_mip6d_vs_WT_logFC","0_mip6d_vs_WT_padj","20_mip6d_vs_WT_logFC","20_mip6d_vs_WT_padj","120_mip6d_vs_WT_logFC","120_mip6d_vs_WT_padj"
"Q0010",0.97826095774917,0.202947728893312,-0.676969448075724,0.397711020707767,0.814024954989519,0.280307589206482,-0.0439318379703415,0.960124571313602,0.0471900237710635,0.996369902468643,0.211426026530715,0.830151630965497,-0.421611583574668,NA
"Q0017",-1.62586687726994,0.293198690046282,1.20026147164314,0.486838418468426,0.300874647038704,0.843865977560788,-0.3201950124459,0.845244452404419,0.628952972454195,0.933084424671061,-1.29778855185444,0.49785673776008,0.222667932234599,NA
"Q0032",0.846728922592754,0.815709791132067,0.012152814109512,0.997810478942882,-2.31185714094224,0.496678834502347,0.625326249832172,0.883200645228591,-1.14141241720141,0.961330279980621,2.01717364633359,0.642652391586143,1.40400021061093,NA
"Q0045",0.0639690189290354,0.683981243248867,-0.0508841979984097,0.771414734734262,-0.108033314262992,0.473859451255937,0.084002740964943,0.617062631283764,-0.121552026501567,0.844813189881069,0.0504503066904609,0.802178784522166,-0.0844366322728918,0.998144679236324
"Q0050",-0.208267149602965,0.257730087180787,0.349253746349197,0.0569384483017916,-0.375632581017224,0.0290216070252203,0.560206731103862,0.00112144896467131,-0.105776485177623,0.910768298850232,0.061588946236637,0.809718655357895,-0.149364038518029,0.998144679236324
"Q0055",-0.000756047114021706,0.995480704994361,0.141415024155926,0.319473544799422,-0.258975653953074,0.0364574646686537,0.537380665753555,7.35546369020507e-06,-0.00872753581256341,0.996369902468643,0.249492071026489,0.0840425699853524,-0.14647357057114,0.931585689688249
"Q0060",-0.0198832840636431,0.936469264555041,0.230219982533089,0.336866714182574,-0.271770199309574,0.207402044851729,0.4090810122888,0.0560504536272795,-0.143077056557912,0.891630558060617,0.108809858688018,0.717714454222864,-0.0700511710676925,0.998144679236324
"Q0065",-0.19941246681467,0.254109286201488,0.27267638884043,0.12656869375299,-0.371786535397482,0.0219760901950764,0.474783958826419,0.00382599073103092,-0.0115940477814679,0.996369902468643,0.160780020801343,0.451982783819275,-0.041327549184646,0.998144679236324
"Q0070",0.37050267108593,0.271031535399331,0.520051453512337,0.102651316252843,-0.238058921874741,0.465904111778744,0.476839546350843,0.122153955450446,-0.472451027661134,0.671871043934638,0.136110565299537,0.756296068645696,0.179322472461032,NA
"Q0075",0.603578616353765,0.00477090160622224,0.397534946634666,0.0831246072872037,0.354810177526133,0.105614654782324,0.361372427409133,0.110486663444264,-0.237268212826693,0.785325407142559,0.0115002260009388,0.973075007675678,0.0476627452264725,0.998144679236324
"Q0080",0.84126539840974,0.775943021172432,-1.24306406091617,0.694847826333075,0.723729743086101,0.802041482067918,-1.87407655842333,0.517579184439223,-0.641540663397857,0.976172131812454,-0.524005008074218,0.886911920896746,0.10700748943295,NA
"Q0085",-0.581419629402051,0.150948016537788,-0.264260953335486,0.57731727360292,-0.639618086191115,0.107254470468358,-0.230712511979904,0.629349195571849,0.120546989940569,0.974906498579318,0.178745446729632,0.751508741827018,0.145197005374049,0.998144679236324
"Q0105",-0.00771365222495025,0.977350830941493,-0.59347567396364,0.0102324308958675,-0.538316550629251,0.0145566337925365,-0.370694703182007,0.121839486596448,-0.498893500915769,0.400754812628846,0.0317093974885318,0.929293672779334,-0.191071573293101,0.998144679236324
"Q0110",-0.325555358084186,0.467287127318158,0.603418932030415,0.170847189708568,-0.329330195764628,0.445669625455002,0.560175494524555,0.186230135694529,-0.155244630944271,0.960484657358699,-0.151469793263829,0.798695187564424,-0.108226355757969,NA
"Q0115",1.03581199957889,0.0335285466208916,-0.190985789154968,0.732103767137245,0.133609793538935,0.800492843016952,0.384909840732435,0.434209373548687,-0.702527746303136,0.699931169954628,0.199674459736823,0.754502461864423,-0.37622117015058,NA
"Q0120",-0.515444836263685,0.254736618900602,-0.325091669253438,0.525321922446276,-0.918913463715597,0.0299482651673149,0.678429603330685,0.138157003651122,-0.0486075805097386,0.99371311159815,0.354861046942174,0.530451020514428,-0.64866022564195,0.795807390827651
"Q0130",-0.112815310490628,0.576196047746127,-0.0489392926848154,0.835221015317125,-0.258962899112875,0.163336052182245,-0.0317953800977584,0.896268609885382,-0.30205922362268,0.642591645540502,-0.155911635000434,0.512375473751603,-0.173055547587491,0.993560961192951
"Q0140",0.834201668272407,0.0408724054741173,-1.05435179655115,0.0102324308958675,0.0598025423123922,0.898308607184448,-0.949496266685855,0.0181609177587284,-0.556303063896182,0.707856753805704,0.218096062063834,0.68907138036355,0.113240532198543,NA
"Q0142",-0.627269235795661,0.881248824236654,1.15499621543684,0.798856354561014,0,1,2.71221708963777,0.513866178852642,1.54559245479296,0.951570758688746,1.25265380065735,0.814435293554701,-0.304567073543586,NA
