"","SRR9929263","SRR9929264","SRR9929273","SRR9929282","SRR9929267","SRR9929276","SRR9929278","SRR9929285","SRR9929268","SRR9929269","SRR9929275","SRR9929286","SRR9929270","SRR9929277","SRR9929283","SRR9929284","SRR9929266","SRR9929272","SRR9929279","SRR9929281","SRR9929265","SRR9929271","SRR9929274","SRR9929280"
"Citrate cycle (TCA cycle)",-0.270151943930673,-0.370722316773262,-0.196185418705882,-0.511739065863636,0.117451915858332,-0.220495078832223,-0.237037638697329,0.25388172178629,-0.203751284686536,0.21865521100215,0.354375151909295,0.061166229442891,0.459938813342486,0.526985651890326,0.456506783179646,0.409549209894356,-0.374482939898086,-0.338900718153082,-0.228185975033696,-0.146490636465706,0.187281106897866,0.108991352871803,0.253040543835523,0.159305313878382
"Pentose phosphate pathway",-0.153387379064621,0.290389573567016,0.0373999211910686,0.304874018107291,-0.193623134144398,0.171850745493566,0.187786691921999,0.158897618754708,-0.238430324658847,-0.265678886100895,-0.204293722852711,-0.330925471457943,0.252365826039025,-0.0934820286739793,-0.111663170344683,0.012015637595247,-0.0392137376290671,0.20451857722482,-0.197437979676885,-0.20115507620076,-0.0930392485075449,-0.222549870830457,0.0754257535579581,0.275694064064133
"Oxidative phosphorylation",0.140000116487987,0.0340094683760074,-0.196326286112783,0.0971950283377763,0.313040829213203,0.336667063517334,0.0946492466555382,-0.0765146135065436,-0.0400992630286116,0.109771340378669,-0.0475966335078795,0.123938686255909,-0.0166315309837151,-0.120928942210696,0.0360595962312933,0.0160055909017652,0.00174413135802409,-0.496394118960931,0.20520882852493,-0.00277028148942887,-0.0246960407654641,-0.105912413068311,-0.0343690906067727,-0.353171372947719
"Arginine biosynthesis",-0.226755788511938,-0.174963596154007,-0.0825268776745983,-0.343436176648518,-0.107200268720459,0.0177757739004479,-0.160390291679538,-0.0816763877206772,0.538211414953347,0.302740532621194,0.116988169934908,0.499580831825099,-0.0539025487715529,-0.00354724401324269,0.0907752074096835,-0.0797448165869218,0.344364842847715,0.45313255500949,-0.0578937209845692,0.0186295530471249,-0.0562332741223473,-0.072617905051001,-0.537565668627746,-0.175596096648728
"Purine metabolism",0.174551593268103,0.379318337165796,0.24135139782715,0.377196168689713,0.070192815951997,0.110250275564481,0.275016179685473,0.0284666524334998,-0.114022484954074,-0.163089833289068,-0.0418505913670518,-0.218240897944663,-0.336427776745064,-0.202436475265653,-0.146224961479199,-0.341954922516922,-0.0376700883265696,0.110403890143525,0.138131823988219,0.0313781283461056,-0.131314114222586,-0.089245946011101,-0.323557327017195,-0.00082319204723813
"Pyrimidine metabolism",0.253206404293801,0.396950986033763,0.366047101915874,0.508197191014162,0.0878214267371655,0.338519880369079,0.424046013454026,0.114621724602497,0.277084888571495,-0.169986514407314,-0.0615051630374578,0.328759144200429,-0.555507053603268,-0.487455484391575,-0.520857568098617,-0.440818900824735,0.336823874706631,0.402816223236033,0.121061949769134,0.180782499231054,-0.483771152742684,-0.397560211914988,-0.483580351841621,-0.188273144801425
"Alanine, aspartate and glutamate metabolism",0.011097332269426,0.0207905597687621,0.122422378371656,-0.325379744057943,0.424455758546528,-0.0359245740234484,0.180381011437233,0.220089227414501,-0.00361616855605182,0.0808460443867489,0.0480369733157913,-0.22900325203252,-0.0276422764227643,0.296332359623499,0.296547930575592,-0.157158325533594,-0.433647678603744,-0.281066609890153,-0.227632189473259,-0.21099193310586,0.0987600399142823,-0.00384691651794561,-0.261833424984216,-0.214538125502089
"Glycine, serine and threonine metabolism",0.274113270003702,0.36437709446438,0.393819695205066,0.244121894331372,0.260077514589028,0.285598172881868,0.387899201868762,0.302195822260981,-0.565926362279005,-0.430055005774406,-0.419820241179176,-0.433633788103946,0.32967499367052,0.160935215118164,0.146213074182021,0.11009039755644,-0.423363140867193,-0.400527484081402,-0.530537753698579,-0.529580592030928,-0.0315780715344613,-0.0809558751362779,0.0826694261938111,0.158102209264782
"Arginine and proline metabolism",0.19376571141277,0.147034211498865,0.427326230679889,0.145834982273889,0.252024902957739,0.128788301223966,0.0279334828101644,0.31444561127155,-0.109366016392785,-0.167346830324865,-0.126135567386685,-0.0275669550642698,0.127057329992922,-0.141296482201866,-0.0944558720794846,0.0504289735872078,-0.175671821235551,0.0616901020126827,-0.158135248156707,-0.0347027614219591,-0.29919162422027,-0.170428997197791,-0.178875800913307,-0.148461382494229
"Cyanoamino acid metabolism",0.190832346934794,0.112115386715891,0.00834129825795138,-0.141642857415812,0.639954758321571,-0.029368713536949,0.328550814104386,0.510044027342103,-0.27762767119682,0.447176046842228,0.39320622001415,-0.17420221291644,-0.231252937814705,-0.177208323993212,0.236098086672799,-0.614663273282339,-0.673821310904409,-0.602653891181809,-0.158307210031348,-0.115320760391397,0.0354409023214156,0.0298674510366034,-0.56583125686574,-0.401325269163446
