"PathwayID","UserReactions","MapID","TotalKOs","PES","Description"
"sce04981",5,"map04981",24,20.8333333333333,"Folate transport and metabolism"
"sce00340",7,"map00340",47,14.8936170212766,"Histidine metabolism"
"sce00670",8,"map00670",65,12.3076923076923,"One carbon pool by folate"
"sce00020",7,"map00020",70,10,"Citrate cycle (TCA cycle)"
"sce00350",8,"map00350",84,9.52380952380952,"Tyrosine metabolism"
"sce00250",6,"map00250",70,8.57142857142857,"Alanine, aspartate and glutamate metabolism"
"sce00710",3,"map00710",36,8.33333333333333,"Carbon fixation by Calvin cycle"
"sce00360",6,"map00360",74,8.10810810810811,"Phenylalanine metabolism"
"sce01230",18,"map01230",241,7.46887966804979,"Biosynthesis of amino acids"
"sce00220",5,"map00220",67,7.46268656716418,"Arginine biosynthesis"
"sce00400",5,"map00400",74,6.75675675675676,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"sce01210",7,"map01210",113,6.19469026548673,"2-Oxocarboxylic acid metabolism"
"sce00460",2,"map00460",36,5.55555555555556,"Cyanoamino acid metabolism"
"sce00290",1,"map00290",19,5.26315789473684,"Valine, leucine and isoleucine biosynthesis"
"sce00620",7,"map00620",133,5.26315789473684,"Pyruvate metabolism"
"sce00071",3,"map00071",60,5,"Fatty acid degradation"
"sce01232",6,"map01232",123,4.8780487804878,"Nucleotide metabolism"
"sce01200",17,"map01200",377,4.50928381962865,"Carbon metabolism"
"sce00330",5,"map00330",115,4.34782608695652,"Arginine and proline metabolism"
"sce00270",5,"map00270",128,3.90625,"Cysteine and methionine metabolism"
"sce00500",4,"map00500",106,3.77358490566038,"Starch and sucrose metabolism"
"sce00010",4,"map00010",107,3.73831775700935,"Glycolysis / Gluconeogenesis"
"sce00190",8,"map00190",224,3.57142857142857,"Oxidative phosphorylation"
"sce00480",2,"map00480",57,3.50877192982456,"Glutathione metabolism"
"sce00630",4,"map00630",118,3.38983050847458,"Glyoxylate and dicarboxylate metabolism"
"sce00450",1,"map00450",36,2.77777777777778,"Selenocompound metabolism"
"sce00730",1,"map00730",36,2.77777777777778,"Thiamine metabolism"
"sce00260",3,"map00260",110,2.72727272727273,"Glycine, serine and threonine metabolism"
"sce04146",2,"map04146",74,2.7027027027027,"Peroxisome"
"sce00230",6,"map00230",224,2.67857142857143,"Purine metabolism"
"sce00030",2,"map00030",89,2.24719101123596,"Pentose phosphate pathway"
"sce00770",1,"map00770",45,2.22222222222222,"Pantothenate and CoA biosynthesis"
"sce00300",1,"map00300",48,2.08333333333333,"Lysine biosynthesis"
"sce01110",41,"map01110",2211,1.8543645409317,"Biosynthesis of secondary metabolites"
"sce04070",1,"map04070",55,1.81818181818182,"Phosphatidylinositol signaling system"
"sce00240",2,"map00240",114,1.75438596491228,"Pyrimidine metabolism"
"sce00650",2,"map00650",114,1.75438596491228,"Butanoate metabolism"
"sce00564",2,"map00564",117,1.70940170940171,"Glycerophospholipid metabolism"
"sce00130",1,"map00130",64,1.5625,"Ubiquinone and other terpenoid-quinone biosynthesis"
"sce00680",3,"map00680",196,1.53061224489796,"Methane metabolism"
"sce00910",1,"map00910",69,1.44927536231884,"Nitrogen metabolism"
"sce00280",1,"map00280",71,1.40845070422535,"Valine, leucine and isoleucine degradation"
"sce01240",5,"map01240",380,1.31578947368421,"Biosynthesis of cofactors"
"sce00380",1,"map00380",81,1.23456790123457,"Tryptophan metabolism"
"sce04138",1,"map04138",82,1.21951219512195,"Autophagy - yeast"
"sce01100",58,"map01100",4854,1.19489081170169,"Metabolic pathways"
"sce00790",1,"map00790",84,1.19047619047619,"Folate biosynthesis"
"sce00760",1,"map00760",98,1.02040816326531,"Nicotinate and nicotinamide metabolism"
"sce00640",1,"map00640",104,0.961538461538462,"Propanoate metabolism"
"sce04148",1,"map04148",131,0.763358778625954,"Efferocytosis"
"sce04820",1,"map04820",155,0.645161290322581,"Cytoskeleton in muscle cells"
"sce04082",1,"map04082",164,0.609756097560976,"Neuroactive ligand signaling"
