"PathwayID","UserReactions","MapID","TotalKOs","PES","Description"
"sce04981",4,"map04981",24,16.6666666666667,"Folate transport and metabolism"
"sce00061",6,"map00061",40,15,"Fatty acid biosynthesis"
"sce00290",2,"map00290",19,10.5263157894737,"Valine, leucine and isoleucine biosynthesis"
"sce00670",5,"map00670",65,7.69230769230769,"One carbon pool by folate"
"sce01212",6,"map01212",84,7.14285714285714,"Fatty acid metabolism"
"sce00460",2,"map00460",36,5.55555555555556,"Cyanoamino acid metabolism"
"sce01232",6,"map01232",123,4.8780487804878,"Nucleotide metabolism"
"sce00770",2,"map00770",45,4.44444444444444,"Pantothenate and CoA biosynthesis"
"sce00062",1,"map00062",25,4,"Fatty acid elongation"
"sce00240",4,"map00240",114,3.50877192982456,"Pyrimidine metabolism"
"sce00480",2,"map00480",57,3.50877192982456,"Glutathione metabolism"
"sce00030",3,"map00030",89,3.37078651685393,"Pentose phosphate pathway"
"sce00450",1,"map00450",36,2.77777777777778,"Selenocompound metabolism"
"sce00710",1,"map00710",36,2.77777777777778,"Carbon fixation by Calvin cycle"
"sce00270",3,"map00270",128,2.34375,"Cysteine and methionine metabolism"
"sce00760",2,"map00760",98,2.04081632653061,"Nicotinate and nicotinamide metabolism"
"sce00260",2,"map00260",110,1.81818181818182,"Glycine, serine and threonine metabolism"
"sce00230",4,"map00230",224,1.78571428571429,"Purine metabolism"
"sce00071",1,"map00071",60,1.66666666666667,"Fatty acid degradation"
"sce01230",4,"map01230",241,1.6597510373444,"Biosynthesis of amino acids"
"sce01200",6,"map01200",377,1.59151193633952,"Carbon metabolism"
"sce00620",2,"map00620",133,1.50375939849624,"Pyruvate metabolism"
"sce00250",1,"map00250",70,1.42857142857143,"Alanine, aspartate and glutamate metabolism"
"sce00280",1,"map00280",71,1.40845070422535,"Valine, leucine and isoleucine degradation"
"sce04146",1,"map04146",74,1.35135135135135,"Peroxisome"
"sce01240",5,"map01240",380,1.31578947368421,"Biosynthesis of cofactors"
"sce04138",1,"map04138",82,1.21951219512195,"Autophagy - yeast"
"sce00790",1,"map00790",84,1.19047619047619,"Folate biosynthesis"
"sce00640",1,"map00640",104,0.961538461538462,"Propanoate metabolism"
"sce01210",1,"map01210",113,0.884955752212389,"2-Oxocarboxylic acid metabolism"
"sce00330",1,"map00330",115,0.869565217391304,"Arginine and proline metabolism"
"sce00630",1,"map00630",118,0.847457627118644,"Glyoxylate and dicarboxylate metabolism"
"sce04082",1,"map04082",164,0.609756097560976,"Neuroactive ligand signaling"
"sce01110",13,"map01110",2211,0.587969244685663,"Biosynthesis of secondary metabolites"
"sce01100",28,"map01100",4854,0.57684384013185,"Metabolic pathways"
"sce00680",1,"map00680",196,0.510204081632653,"Methane metabolism"
"sce00190",1,"map00190",224,0.446428571428571,"Oxidative phosphorylation"
