"Reaction","WT_mean","mip6_mean","log2FC","p_value","FDR"
"2PHETOHt_rev",0.00129156141978261,0,-10.3360171206456,1.44019401345064e-28,1.26874234518271e-27
"ACALDCD",1.82957858065353,2.79844229663,0.613112345967531,5.13287290981527e-17,1.02105536378046e-16
"AGTi",0.000199999999999985,0,-7.65105169117882,1.40262050286534e-25,9.79187898226747e-25
"ALATA_Lm",0.0881471489132805,0.0285765028999591,-1.6250504143096,7.80055736177764e-22,1.56859033905311e-21
"ALAtmi",0.0881471489132805,0.0285765028999591,-1.6250504143096,7.80055736177764e-22,1.56859033905311e-21
"ALCD25xi",0.00129156141978261,0,-10.3360171206456,1.44019401345064e-28,1.26874234518271e-27
"ARGN",0.00292192168625136,0,-11.5131954602411,1.44019401345064e-28,1.26874234518271e-27
"ASNN",0,0.00043636303885125,8.77268749447918,1.44019401345064e-28,1.26874234518271e-27
"ASPTA",0,0.0500144642981181,15.6100866107726,1.44019401345064e-28,1.26874234518271e-27
"BTDD_RR",1.8905663666697,2.99144021361716,0.662021454256679,7.80055736177764e-22,1.56859033905311e-21
"BTDt_RR_rev",1.8905663666697,2.99144021361716,0.662021454256679,7.80055736177764e-22,1.56859033905311e-21
"CITtcm_rev",1.67809891813474e-06,0,-1.42120924896203,2.34560292021189e-28,1.92860684550755e-27
"CSND",0.0747916087875617,0.0313606746528484,-1.2538931074049,2.09389439189968e-12,3.99350992269527e-12
"CSNt2",0.0747916087875617,0.0313606746528484,-1.2538931074049,2.09389439189968e-12,3.99350992269527e-12
"CTPtm",8.25006896209972e-05,0,-6.38371620754812,1.75403531682438e-26,1.29798613445004e-25
"DASYN_SC",0.00358404635237304,0.0118341153140982,1.72301008558458,1.5987210838325e-22,6.22659790545289e-22
"DASYNm_SC",8.25006896209972e-05,0,-6.38371620754812,1.75403531682438e-26,1.29798613445004e-25
"EX_2phetoh_e",0.00129156141978261,0,-10.3360171206456,1.44019401345064e-28,1.26874234518271e-27
"EX_btd_RR_e",1.8905663666697,2.99144021361716,0.662021454256679,7.80055736177764e-22,1.56859033905311e-21
"EX_csn_e_rev",0.0747916087875617,0.0313606746528484,-1.2538931074049,2.09389439189968e-12,3.99350992269527e-12
"EX_orn_e",0.00292192168625136,0,-11.5131954602411,1.44019401345064e-28,1.26874234518271e-27
"EX_ura_e_rev",0,0.0434309341347132,15.4064685806587,2.43665778265813e-13,4.72022711823826e-13
"EX_urea_e",0.00292192168625136,0,-11.5131954602411,1.44019401345064e-28,1.26874234518271e-27
