"Reaction","WT_mean","mip6_mean","log2FC","p_value","FDR"
"13BGH",0,0,0,NA,1
"13GS",0.767391660507459,0.767391660507459,-8.0085662595373e-16,3.15680028454754e-09,4.66988731748585e-09
"2DDA7Ptm",0,0,0,NA,1
"2DHPtm",0,0,0,NA,1
"2HBO",1.87012233492419,1.87900444997519,0.00683583202713286,3.03792257329155e-22,7.08298252142433e-22
"2HBt2",0,0,0,NA,1
"2HBt2_rev",1.87012233492419,1.87900444997519,0.00683583202713286,3.03792257329155e-22,7.08298252142433e-22
"2MBACt",0,0,0,NA,1
"2MBALDt",0,0,0,NA,1
"2MBALDtm",0,0,0,NA,1
"2MBTOHt",0,0,0,NA,1
"2MBTOHtm",0,0,0,NA,1
"2MPPALt",0,0,0,NA,1
"2MPPALtm",0.00664800385881275,0.00512998247504507,-0.37390311697065,0.00689363238466284,0.00893464741093764
"2OBUTtm",0,0,0,NA,1
"2OBUTtm_rev",0,0,0,NA,1
"2OXOADPtim",0,0,0,NA,1
"2PHETOHt",0,0,0,NA,1
"2PHETOHt_rev",0.0215349047892992,0.0218071473852252,0.0181232805141926,1.20310417258998e-25,6.70300896157277e-25
"2PHETOHtm",0.0215349047892992,0.00914493277444927,-1.23554171686558,0.109257549995756,0.132032363234308
"34HPPt2m",0,0,0,NA,1
"3C3HMPt",0,0,0,NA,1
"3C3HMPtm",0,0,0,NA,1
"3HAO",0,0,0,NA,1
"3MBALDt",0,0,0,NA,1
"3MBALDtm",0.00171609984294549,5.71210278349837e-06,-7.99899340560607,1.00942474543271e-24,3.09316582707594e-24
"3MOBDC",0.00664800385881275,0.0138238658022954,1.05605535624271,1.44019401345064e-28,1.21145731719672e-27
"3MOBtm",0,0,0,NA,1
"3MOBtm_rev",0,0,0,NA,1
"3MOPDC",0,0,0,NA,1
"3MOPt",0,0,0,NA,1
"3MOPt_rev",0,0,0,NA,1
"3MOPtm",0.0172123890782853,0.0218196377175739,0.342162093615738,3.17670622903671e-22,7.16015359150171e-22
"3MOPtm_rev",0,0,0,NA,1
"4ABZt",0,0,0,NA,1
"4HGLSDm",0,0,0,NA,1
"4MOPDC",0.00171609984294549,1.01185820736257e-05,-7.27085730256584,1.92933197761105e-27,1.25406578544718e-26
"6PGLter",0.00196108196639616,0.00196108196639621,3.45970062412007e-14,2.64633620788904e-25,1.18258149290041e-24
"AABTN",0,0,0,NA,1
"AASAD1",0,0,0,NA,1
"AASAD2",0,0,0,NA,1
"AATA",0,0,0,NA,1
"ABTA",0,0,0,NA,1
"ABUTt2r",0,0,0,NA,1
"ABUTt2r_rev",0,0,0,NA,1
"ACACT1m",0.00892630412291389,0.00892630412288837,-4.12377093836684e-12,0.325178960006528,0.356782030288492
"ACACT1r",0,0,0,NA,1
"ACALDCD",6.31014461981144,6.36010179788768,0.0113767850768052,5.23380974232582e-15,8.25479551271241e-15
"ACALDt",0,0,0,NA,1
"ACALDt_rev",0,0,0,NA,1
"ACALDtm",0,0,0,NA,1
"ACALDtm_rev",0.00031634809856068,0.000193548387096774,-0.705937178821759,3.7325535168822e-28,2.76149854205287e-27
"ACCOAC",0.268871099941305,0.26887109994281,8.07359581754215e-12,0.618666579199285,0.636469933996387
"ACESt",0,0,0,NA,1
"ACGKm",0,0,0,NA,1
"ACHBSm",0,0,0,NA,1
"ACHLE1",0,0,0,NA,1
"ACHLE2",0,0,0,NA,1
"ACHLE3",0,0,0,NA,1
"ACLSm",0,0,0,NA,1
"ACOAHim",0,0,0,NA,1
"ACONT",0.00019999999999242,0.00021979403622267,0.13550570324737,1.44019401345064e-28,1.21145731719672e-27
"ACONT3m",0,0,0,NA,1
"ACONTm",1.00856298038963,1.17702279987708,0.222840885258044,7.79026912533583e-22,1.26759057128887e-21
"ACOTAim",0,0,0,NA,1
"ACPSm",0,0,0,NA,1
"ACRNtm",0,0,0,NA,1
"ACS",0.306740268947123,0.306740268948839,8.07455684549329e-12,0.70940944869449,0.71777512615551
"ACSm",0,0,0,NA,1
"ACt2r",0,0,0,NA,1
"ACt2r_rev",0,1.27194101352259,20.2786014705201,1.00923169331926e-24,3.09316582707594e-24
"ACtm",0,0,0,NA,1
"ACtm_rev",0,0,0,NA,1
"ACtr",0,1.09917396317207,20.0679896174949,1.00923169331926e-24,3.09316582707594e-24
"ACtr_rev",0.168415005120935,0,-17.36166972336,1.00845984019432e-24,3.09316582707594e-24
"ADA",0.0341149731618897,0,-15.0581597494701,5.92043062924448e-25,2.18953856891886e-24
"ADCL",0,0,0,NA,1
"ADCS",0,0,0,NA,1
"ADD",0.0145045607080787,0,-13.8243184431053,3.31789768740969e-08,4.7764366036871e-08
"ADEt2",0.0335412639770586,0.0335412639770689,4.43674570778298e-13,1.12371974431589e-08,1.64530979628504e-08
"ADHAPR_SC",0,0,0,NA,1
"ADK1",0.225067479047823,0.323397469943225,0.522948832393032,7.99065317331431e-21,1.29358121183088e-20
"ADK1_rev",0,0,0,NA,1
"ADK1m",2.18319985745644e-14,0,-3.14969155726813e-08,0.325178960006528,0.356782030288492
"ADK1m_rev",0,0,0,NA,1
"ADK3",0.0994484209746264,0.00530159786761226,-4.22919172299185,1.89631568159527e-05,2.64990041499795e-05
"ADK3_rev",0,0,0,NA,1
"ADK3m",0,0,0,NA,1
"ADK4",0,0,0,NA,1
"ADMDC",0,0,0,NA,1
"ADNCYC",0,0,0,NA,1
"ADNK1",0,0.0486213080634424,15.5693307581619,1.0086527501888e-24,3.09316582707594e-24
"ADNUC",0,0,0,NA,1
"ADPT",0,0,0,NA,1
"ADSK",0,0,0,NA,1
"ADSL1r",0.0762415006241177,0.00209086108345972,-5.18773648473511,5.39134141699077e-23,1.41029601700551e-22
"ADSL2r",0,0,0,NA,1
"ADSS",0.0762415006241177,0.00209086108345972,-5.18773648473511,5.39134141699077e-23,1.41029601700551e-22
"AGAT_SC",0.0168085786774876,0.0168087490776887,1.46246544227091e-05,7.28995421988585e-22,1.26759057128887e-21
"AGPRim",0,0,0,NA,1
"AGTi",0.00020000000000001,0,-7.651051691179,5.48565423223989e-27,3.41064589221872e-26
"AHCi",0.012645597507479,0.0126455975074787,-3.1073237087005e-14,0.00112649415924722,0.00152449840478567
"AHSERL2",0,0,0,NA,1
"AICART",0,0.0020908610834597,11.0305713327774,1.44019401345064e-28,1.21145731719672e-27
"AIRCr",0,0,0,NA,1
"AKGDam",4.78873822783678,4.98221079606126,0.0571404771544035,7.73675236725961e-22,1.26759057128887e-21
"AKGDbm",4.78873822783678,4.98221079606126,0.0571404771544035,7.73675236725961e-22,1.26759057128887e-21
"AKGMAL",0,0,0,NA,1
"AKGMAL_rev",-3.98784947716165e-15,0,5.75325083904662e-09,0.325178960006528,0.356782030288492
"AKGt2r",-4.47536273273294e-15,-9.27215293791784e-15,-6.92030543196855e-09,0.554226722499505,0.574307400850937
"AKGt2r_rev",1.35979936987859e-14,-3.3485758968533e-16,-2.01008553203439e-08,0.189414253810773,0.216113603417079
"ALATA_L",0,0,0,NA,1
"ALATA_L_rev",0,0,0,NA,1
