Reaction_id,Condition_1,Condition_2,Condition_3,Condition_4,Condition_5,Condition_6
13BGH,0.0,0.0,0.0,0.0,0.0,0.0
13GS,0.7673916605074591,0.767391660507458,0.7673916605074591,0.7673916605074591,0.7673916605074591,0.7673916605074591
2DDA7Ptm@CITtbm@DDPAm@E4Ptm,0.0,0.0,0.0,0.0,0.0,0.0
2DHPtm@DPRm@PANTtm,0.0,0.0,0.0,0.0,0.0,0.0
2HBO@2HBt2,0.0,0.0,0.0,0.0,0.0,0.0
2MBACt@OHACT3,0.0,0.0,0.0,0.0,0.0,0.0
2MBALDt,0.0,0.0,0.0,0.0,0.0,0.0
2MBALDtm@2MBTOHtm@ALCD22xim,0.0,0.0,0.0,0.0,0.0,0.0
2MBTOHt,1.2218773550159072,0.0,0.0,1.476945306271831,0.0,0.0
2MPPALt,0.0,0.0,0.0,0.0,0.0,0.0
ACALDCD,6.172876586817807,6.91800739422007,0.0,5.8127925381942305,6.986233507674266,1.8905663659574974
ACALDt,0.0,0.0,0.0,0.0,0.0,0.0
ACALDtm,0.0,0.0,0.0,0.0,0.0,0.0
ACCOAC,0.26887109992663116,0.2688710999499626,0.26887109994996417,0.26887109992662583,0.26887109994995995,0.26887109992662556
AGAT_SC,0.01680300847114296,0.01680874907819405,0.01680300847278634,0.016804370659045744,0.016808578678107956,0.01680300847114296
AGPRim@ACGKm@ACOTAim@ORNTACim@ORNt3m,0.0,0.0,0.0,0.0,0.0,0.0
AGTi,0.0,0.0,0.0,0.0,0.0002,0.0002
2MPPALtm@ALCD23xim@IBUTOHtm,0.0,0.0,0.0,0.0,0.006648003858812757,0.0
ACESt,0.0,0.0,0.0,0.0,0.0,0.0
AHCi,0.012645597507478724,0.012645597507478724,0.012645597507478724,0.012645597507478724,0.012645597507478724,0.012645597507478724
AHSERL2,0.0,0.0,0.0,0.0,0.0,0.0
2OBUTtm,52.0,0.0,0.0,52.0,0.0,0.0
2OXOADPtim@AATA@HCITSm@HACNHm@HICITDm@MCITDm@OXAGm@SACCD1@SACCD2,0.0,0.0,0.0,0.0,0.0,0.0
ACHBSm@DHAD2m@KARA2im,1.2590701569345457,0.0,0.0,1.494848033340336,0.0,0.0
ACHLE1,0.0,0.0,0.0,0.0,0.0,0.0
2PHETOHt,0.0,0.0,0.0,0.0,0.0,0.0
ACHLE2,0.0,0.0,0.0,0.0,0.0,0.0
ACHLE3,0.0,0.0,0.0,0.0,0.0,0.0
ACLSm@DHAD1m@KARA1im,0.0,0.0,0.20536359747874755,0.0,0.0,0.20536359747874755
2PHETOHtm@ALCD25xim@PACALDtm,0.0,0.0,0.0,0.0,0.02153490478930091,0.0
