Gene_id,Condition_1,Condition_2,Condition_3,Condition_4,Condition_5,Condition_6
YHR104W,0.0,1.0,0.004940016466134901,0.0,1.0,0.0038732459452810977
YDR368W,0.0,1.0,0.0,0.0,1.0,0.0
YGR282C,0.0,1.0,0.0,0.0,1.0,0.0
YOL086C,1.0,1.0,0.0,1.0,1.0,0.0
YLR300W,0.0,1.0,0.0,0.0,0.0,0.0
YFR055W,1.0,0.0,0.0,1.0,0.0,0.0
YGL184C,0.0,1.0,0.0,0.0,1.0,0.0
YDR261C,0.0,0.0,1.0,0.0,0.0,1.0
YDL168W,0.0,1.0,0.0,0.0,0.0,0.0
YOR190W,0.0,0.0,1.0,0.0,0.0,1.0
YOL030W,1.0,1.0,0.0,1.0,1.0,0.0
YLR343W,0.0,0.0,1.0,0.0,0.0,1.0
YNL247W,1.0,0.0,1.0,1.0,0.0,1.0
YMR303C,0.0,1.0,1.0,0.0,1.0,1.0
YGR155W,1.0,1.0,0.00012159228372575696,1.0,8.797559351924028e-05,0.00012159228372575696
YGR032W,0.0,1.0,1.0,0.0,0.0,1.0
YOL132W,0.0,0.0,1.0,0.0,0.0,1.0
YGL256W,0.0,1.0,1.0,0.0,0.0,1.0
YBR145W,0.0,1.0,0.0,0.0,0.0,0.0
YCR034W,1.0,0.009358434884236932,1.0,1.0,0.009358434884236932,1.0
YMR215W,1.0,0.0,1.0,1.0,0.0,1.0
YMR307W,1.0,0.0,1.0,1.0,0.0,1.0
YLR342W,1.0,1.0,0.0,1.0,1.0,0.0
YMR306W,0.0,1.0,1.0,0.0,1.0,1.0
YBR068C,1.0,1.0,0.0,1.0,1.0,0.0
YMR083W,1.0,1.0,0.0,1.0,1.0,0.0
YMR318C,1.0,0.0,0.0,1.0,0.0,0.0
YBR036C,1.0,1.0,0.0,1.0,1.0,0.0
YDR046C,1.0,1.0,0.0,1.0,0.0,0.0
YBR069C,1.0,0.0,0.0,1.0,0.0,0.0
YMR170C,0.0,1.0,0.0,0.0,1.0,0.0
YMR169C,0.0,1.0,0.0,0.0,1.0,0.0
YPL061W,1.0,1.0,0.004573044194535019,1.0,1.0,0.004588410467454858
YLR245C,0.0,0.0,1.0,0.0,1.0,1.0
YNR012W,1.0,0.00014796965686826458,0.00015294807523018745,1.0,0.00014796965686826458,0.00015294807523018745
YIR029W,0.0,0.0,0.0,0.0,0.0,1.0
YHR123W,1.0,1.8181818181818073e-06,1.8181818181818073e-06,1.0,0.0,1.8181818181818073e-06
YNL130C,0.0,1.0,0.0,0.0,1.0,0.0
YPR159W,0.0,0.0,0.0,0.0,0.0,0.0
YGR143W,1.0,1.0,0.0,1.0,0.0,0.0
YGR247W,1.0,0.0,0.0,1.0,0.0,0.0
YHR043C,0.0,1.0,0.0,0.0,0.0,0.0
YHR044C,0.0,0.0,1.0,0.0,1.0,1.0
YIR027C,0.0,1.0,1.0,0.0,1.0,1.0
YIR028W,0.0,1.0,1.0,0.0,1.0,1.0
YJR152W,0.0,1.0,1.0,0.0,0.0,1.0
YLR201C,0.0,1.0,1.0,0.0,1.0,1.0
YOL096C,0.0,1.0,1.0,0.0,1.0,1.0
YGL119W,0.0,1.0,1.0,0.0,1.0,1.0
YDR204W,0.0,1.0,0.0,0.0,1.0,0.0
YDR503C,0.0,0.0,0.0,0.0,1.0,0.0
YDR284C,1.0,1.0,2.0931890190335528e-05,1.0,0.0,2.0931890190335528e-05
YBR029C,0.00013922488605245127,1.0,0.00013922488605245127,0.00013922488605245127,1.0,4.3135847552699145e-05
YDR487C,1.0,0.0,1.0,1.0,0.0,1.0
YNR057C,0.0,0.0,1.0,0.0,0.0,1.0
YHR144C,1.0,6.624344432599475e-06,6.624344432599475e-06,1.0,6.624344432599475e-06,6.624344432599475e-06
YBR249C,1.0,0.0,1.0,1.0,0.0,1.0
YBR208C,1.0,0.0,0.0,1.0,0.0,0.0
YNR058W,0.0,0.0,1.0,0.0,0.0,1.0
YDR035W,1.0,1.0,0.0,1.0,1.0,0.0
YML110C,0.0,1.0,0.0,0.0,1.0,0.0
YPL274W,0.0,1.0,0.0,1.0,0.0,0.0
YGR255C,0.0,1.0,0.0,0.0,1.0,0.0
YGL055W,1.0,1.0,1.0,1.0,0.0,1.0
YNL003C,0.0,0.0,0.0,0.0,0.0,0.0
YOR125C,1.0,0.0,0.0,1.0,1.0,1.0
YDR242W,0.0,1.0,1.0,0.0,1.0,1.0
YJL221C,0.0,0.0,0.0,0.0,1.0,1.0
YMR293C,0.0,1.0,1.0,0.0,0.0,1.0
YDR454C,1.0,8.006956198759335e-06,1.0,1.0,8.006956198759335e-06,1.0
YBR265W,1.0,1.0,0.0,1.0,0.0,0.0
