Gene_id,Condition_1,Condition_2,Condition_3,Condition_4,Condition_5,Condition_6
13BGH,0,1,0,0,1,0
13GS,1,1,1,1,1,1
2DDA7Ptm@CITtbm@DDPAm@E4Ptm,1,1,0,1,1,0
2DHPtm@DPRm@PANTtm,1,0,1,1,0,1
2HBO@2HBt2,1,1,1,1,1,1
2MBACt@OHACT3,1,0,1,1,0,1
2MBALDt,1,1,1,1,1,1
2MBALDtm@2MBTOHtm@ALCD22xim,1,1,0,1,1,0
2MBTOHt,1,1,1,1,1,1
2MPPALt,1,1,1,1,1,1
ACALDCD,1,1,1,1,1,1
ACALDt,1,1,1,1,1,1
ACALDtm,1,1,1,1,1,1
ACCOAC,1,1,1,1,1,1
AGAT_SC,1,1,1,1,1,1
AGPRim@ACGKm@ACOTAim@ORNTACim@ORNt3m,0,0,1,0,0,1
AGTi,0,1,1,0,1,1
2MPPALtm@ALCD23xim@IBUTOHtm,1,1,0,1,1,0
ACESt,1,1,1,1,1,1
AHCi,1,1,1,1,1,1
AHSERL2,1,1,1,1,1,1
2OBUTtm,1,1,1,1,1,1
2OXOADPtim@AATA@HCITSm@HACNHm@HICITDm@MCITDm@OXAGm@SACCD1@SACCD2,0,0,0,0,0,0
ACHBSm@DHAD2m@KARA2im,1,0,1,1,0,1
ACHLE1,0,0,0,0,0,0
2PHETOHt,1,1,1,1,1,1
ACHLE2,0,0,0,0,0,0
ACHLE3,0,0,0,0,0,0
ACLSm@DHAD1m@KARA1im,1,0,1,1,0,1
2PHETOHtm@ALCD25xim@PACALDtm,1,1,0,1,1,0
ACOAHim,0,1,1,0,1,1
AICART@IMPC,0,1,0,0,1,0
AIRCr@ADSL2r@GLUPRT@GARFT@PRAGSr@PRAIS@PRASCSi@PRFGS,0,0,0,0,0,0
AKGDam@AKGDbm@SUCOASm,1,1,1,1,1,1
AKGMAL,1,1,1,1,1,1
AKGt2r,1,1,1,1,1,1
ALATA_L,1,0,1,1,0,1
ALATA_Lm@ALAtmi,1,1,1,1,1,1
34HPPt2m@TYRTAim@TYRt2m,1,1,1,1,1,1
ALAt2r,1,1,1,1,1,1
ACONT,1,1,1,1,1,1
ACONT3m@MCITL2m@MCITSm@OBDHm,0,1,0,0,1,0
ACONTm,1,1,1,1,1,1
ALCD22xi,1,1,1,1,1,1
ALCD22yi,1,1,0,1,1,0
ALCD23xi,1,1,1,1,1,1
ALCD23yi,1,1,0,1,1,0
ALCD24xi,1,1,1,1,1,1
ALCD24xim@3MBALDtm@IAMOHtm,1,1,0,1,1,0
ACPSm@DPCOAK@PAN4Ptm@PAPtm@PTPATi,0,0,1,0,0,1
ACRNtm@CRNtim,1,1,1,1,1,1
ACS,1,1,1,1,1,1
ACSm,0,1,1,0,1,1
ACt2r,0,1,1,0,0,1
ALCD24yi,1,1,0,1,1,0
ALCD25xi,1,1,1,1,1,1
ALCD25yi,1,1,0,1,1,0
ACtm,1,1,1,1,1,1
3C3HMPt,1,1,1,1,1,1
ACtr,1,1,1,1,1,1
ADA,1,0,1,1,1,1
ADCL@ADCS@4ABZt,0,0,0,0,0,0
ALCD26xi,1,1,1,1,1,1
ALCD26xim@IND3ETHtm@ID3ACALDtm,1,1,0,1,1,0
ALCD2x_copy1,0,1,1,0,1,1
ALCD2ir,1,1,1,1,1,1
ALCD2irm@ETOHtm,1,1,0,1,1,0
3C3HMPtm@IPPSm,1,1,0,1,0,0
ADD,1,0,1,1,1,1
ADEt2,1,1,1,1,1,1
ADHAPR_SC@GAT2_SC,0,1,0,0,1,0
ADK1,1,1,1,1,1,1
ADK1m,1,0,1,1,1,1
ADK3,1,1,1,1,1,1
ALCD2x_copy2,0,1,0,0,0,0
ALDD22x@MOHMT@PANTS@PNTOt2,0,1,0,0,1,0
ALDD2xm,0,1,0,0,1,0
ALDD2y,1,1,1,1,1,1
ALDD2ym,1,1,1,1,1,1
ADK3m@GTPt2m,1,0,0,1,0,0
ADK4@NDPK9,1,1,1,1,1,1
ADMDC@DKMPPD2@MDRPD@MTAP@MTRI@UNK3,0,0,0,0,0,0
ADNCYC@PDE1,0,1,1,0,0,1
ADNK1,1,1,1,1,0,1
ADNUC,1,0,1,1,0,1
ADPT,1,0,0,1,0,0
ADSK@PAPSR,0,1,0,0,1,0
ALPHNH@UREASE,1,0,0,1,0,0
ADSL1r@ADSS,1,1,0,1,1,0
AMPN,0,1,1,0,1,1
AMPDA,0,1,1,0,1,1
ANPRT@IGPS@PRAIi@TRPS1,0,0,0,0,0,0
ATPtm_H,1,1,1,1,1,1
ANS,1,0,0,1,0,0
AP4AH@ATPATF1,0,0,0,0,0,0
APRTO2@AABTN@NABTNO@POLYAO,0,1,1,0,1,1
3HAO@HKYNH@KYN3OX@QUILSYN,0,0,1,0,0,1
ARGN,1,1,1,1,1,1
BPNT,1,0,0,1,0,0
BTDD_RR@BTDt_RR,1,1,1,1,1,1
C14STR@C3STDH1@C3STDH2@C3STKR1@C3STKR2@C4STMO1@C4STMO2,1,1,1,1,1,1
C22STDS,1,1,0,1,1,0
C22STDSx,1,0,0,1,0,0
C24STRer@ERGSTter@ERGTETROLter,1,1,1,1,1,1
ARGSL@ARGSS@OCBT,0,1,0,0,1,0
ARGt2r,1,1,1,1,1,1
ASAD,1,0,0,1,0,0
ASNN,1,1,1,1,1,1
ASNNe,1,0,0,1,0,0
ASNS1,1,1,1,1,1,1
3MBALDt,1,1,1,1,1,1
C5STDS,1,0,0,1,1,0
C8STI,1,0,1,1,0,1
ASNt2r,1,1,1,1,1,1
ASNt6@ASNt7,1,0,0,0,0,0
CAT,0,1,0,0,1,0
ASPCT@DHORTS@OMPDC@ORPT,1,0,0,1,0,1
3MOBDC,1,1,1,1,1,1
ASPGLU2m,1,1,1,1,1,1
ASPK,0,1,0,0,0,0
ASPOcm@QULNS,1,1,1,1,1,1
CBPS,1,1,0,1,0,1
ASPTA,1,1,1,1,1,0
ASPTAm,1,1,1,1,1,1
3MOBtm,1,1,1,1,1,1
ASPt2m,1,1,1,1,1,1
ASPt2n@ASPt5n@CO2tn@H2Otn@HCO3En@HCO3tn,1,1,1,1,1,1
CERASE124er,0,1,1,0,1,1
3MOPDC,1,1,1,1,1,1
CERASE126er,0,1,1,0,1,1
ASPt2r,1,1,1,1,1,1
CERASE224er,0,1,1,0,1,1
CERASE226er,0,1,1,0,1,1
3MOPt,1,1,1,1,1,1
ATPH1,0,1,1,0,0,1
ATPM,1,1,1,1,1,1
CERS124er,1,1,1,1,1,1
CERS126er,1,1,1,1,1,1
CERS224er,1,1,1,1,1,0
ATPPRT@HISTD@HISTP@HSTPT@IG3PS@IGPDH@PRAMPC@PRATPP@PRMICI,0,1,0,0,0,0
ATPS,1,1,1,1,1,1
ATPS3m,1,1,1,1,1,1
CERS226er,1,1,1,1,1,0
3MOPtm,1,1,1,1,1,1
CITtcm,1,1,1,1,1,1
CHLPCTD@CHOLK@DAGCPT_SC,1,1,1,1,1,1
CHLSTI,1,1,1,1,1,1
CMPN,1,1,1,1,1,1
CHORM,1,0,0,1,0,0
CHORS@DHQS@DHQTi@SHK3Dr@SHKK@PSCVT,1,0,1,1,0,1
CO2t,1,1,1,1,1,1
CO2tm,1,1,1,1,1,1
CITt2r,1,1,1,1,1,1
CO2tv@PEtv_SC@PSERDv_SC@PStv_SC,0,0,0,0,0,0
COAtim,1,1,1,1,1,1
CITtam,1,1,1,1,1,1
CRNCARtm,0,1,1,0,1,1
DCTPD,1,1,1,1,1,1
DCYTD@NTD3,0,0,1,0,1,1
CSNATm@CSNATr,0,1,1,0,1,1
DDPA,1,1,1,1,1,1
DESAT16,1,1,1,1,0,1
DESAT18,1,1,1,1,0,1
CSND,1,0,1,1,1,1
CSNt2,1,1,1,1,1,1
CSm,1,1,1,1,1,1
DESAT18_2@DOLPMMer@DB4PS@DOLPMTcer@DOLPt2er@DROPPRy@DRTPPD@GTPCII@MAN1PT@MAN6PI@MANNANter@MI1PS@PMAN,1,1,1,1,1,1
DGK1,1,1,1,1,1,1
CTPS1,1,1,1,1,1,1
CTPS2,1,1,1,1,1,1
CTPtm@DASYNm_SC@PAtm_SC@PSERSm_SC,1,1,1,1,1,1
DHAK@GLYCDy,1,1,1,1,1,1
CYOOm@O2tm,1,1,1,1,1,1
CYOR_u6m,1,1,1,1,1,1
DHAPtm@GLYC3Ptm,1,1,1,1,1,1
DHFR@TMDS,1,0,1,1,0,1
CYSS@SERAT,0,0,1,0,1,1
