target_id	length	eff_length	est_counts	tpm
YPL071C_mRNA	471	312.678	417	33.3884
YLL050C_mRNA	432	273.844	8113	741.713
YMR172W_mRNA	2160	2001.46	811.169	10.1466
YOR185C_mRNA	663	504.461	3464	171.912
YLL032C_mRNA	2478	2319.46	1210	13.0604
YBR225W_mRNA	2703	2544.46	1075.65	10.5835
YEL041W_mRNA	1488	1329.46	358	6.74162
YOR237W_mRNA	1305	1146.46	150	3.27558
YMR027W_mRNA	1413	1254.46	4308	85.9756
YBR182C-A_mRNA	195	60.5364	46	19.0238
YKL103C_mRNA	1545	1386.46	8060	145.541
YOL048C_mRNA	1029	870.461	808	23.2391
YIR015W_mRNA	435	276.816	335	30.2977
YNR017W_mRNA	669	510.461	1444	70.8209
YBL055C_mRNA	1257	1098.46	2430	55.3832
YML089C_mRNA	369	211.731	1	0.118242
YOL144W_mRNA	1455	1296.46	953	18.4031
YDL246C_mRNA	1074	915.461	292.32	7.99421
YDL243C_mRNA	990	831.461	425.192	12.8027
YDR387C_mRNA	1668	1509.46	988	16.3867
YMR290C_mRNA	1518	1359.46	7387.79	136.052
YOR082C_mRNA	342	185.615	7.28291	0.982308
YCR031C_mRNA	414	256.038	12922.8	1263.6
YBR293W_mRNA	1425	1266.46	972	19.2146
YJL160C_mRNA	864	705.461	207	7.34605
YBR223W-A_mRNA	120	19.3701	0	0
YMR139W_mRNA	1113	954.461	1110	29.1153
YNL105W_mRNA	429	270.862	59.0957	5.46217
YDL094C_mRNA	510	351.568	99.0724	7.05506
YDR438W_mRNA	1113	954.461	510	13.3773
YDR523C_mRNA	1473	1314.46	126	2.39982
YDR542W_mRNA	363	205.913	0	0
YIL156W-A_mRNA	402	244.188	70.0272	7.17957
YLR466W_mRNA	4149	3990.46	6571.43	41.2281
YPL208W_mRNA	1752	1593.46	1510	23.7242
YLR054C_mRNA	2175	2016.46	215	2.66935
YER011W_mRNA	765	606.461	879	36.2863
YLR437C_mRNA	402	244.188	507	51.9804
YPL102C_mRNA	303	148.814	19	3.19644
YNR069C_mRNA	1470	1311.46	410	7.82682
YDR492W_mRNA	951	792.461	2209.82	69.813
YIL115W-A_mRNA	372	214.653	228.957	26.7038
YMR191W_mRNA	1122	963.461	2154	55.9717
YIL086C_mRNA	309	154.366	22	3.56802
YOL072W_mRNA	1368	1209.46	894	18.5056
YOR114W_mRNA	885	726.461	144	4.96257
YIL156W-B_mRNA	222	80.2497	613	191.238
YHR094C_mRNA	1713	1554.46	11847	190.802
YOL085C_mRNA	342	185.615	31.2128	4.20994
YFL031C-A_mRNA	102	14.3986	888	1544.01
YHL031C_mRNA	672	513.461	591.836	28.857
YOR385W_mRNA	873	714.461	1453	50.9148
YGL087C_mRNA	414	256.038	2172	212.379
YMR244C-A_mRNA	315	159.936	427.24	66.8779
YNL306W_mRNA	654	495.461	1894	95.7033
YOR214C_mRNA	711	552.461	9	0.407847
YAL037W_mRNA	804	645.461	227	8.80466
YLR217W_mRNA	324	168.452	3813.99	566.838
YLL056C_mRNA	897	738.461	409	13.866
YOL119C_mRNA	1506	1347.46	1683	31.2698
YJL204C_mRNA	2523	2364.46	877	9.2859
YAL016W_mRNA	1908	1749.46	5030.89	71.9941
YIL146C_mRNA	1590	1431.46	711	12.435
YCL011C_mRNA	1284	1125.46	3899	86.732
YLR128W_mRNA	810	651.461	480	18.4463
YKL131W_mRNA	522	363.544	143.261	9.86572
YDR018C_mRNA	1191	1032.46	201	4.87393
YOR019W_mRNA	2193	2034.46	463	5.69755
YNL288W_mRNA	1122	963.461	1523	39.5751
YCL040W_mRNA	1503	1344.46	20854.8	388.343
YER158W-A_mRNA	216	75.672	211.149	69.857
YNL191W_mRNA	1074	915.461	1950	53.3275
YBR115C_mRNA	4179	4020.46	7096	44.187
YGL156W_mRNA	3252	3093.46	3556	28.7789
YNL150W_mRNA	408	250.122	512.231	51.2708
YCR052W_mRNA	1452	1293.46	1850	35.8076
YGL015C_mRNA	393	235.332	10	1.06384
YOR206W_mRNA	2133	1974.46	6694	84.8777
YMR091C_mRNA	1308	1149.46	1018	22.1723
YMR173W-A_mRNA	1185	1026.46	4264.5	104.012
YJR105W_mRNA	1023	864.461	9880	286.133
YHL002W_mRNA	1359	1200.46	1649.2	34.3939
YCR100C_mRNA	951	792.461	239	7.55052
YOR345C_mRNA	351	194.354	95.5606	12.3096
YPL217C_mRNA	3552	3393.46	5077	37.456
YOR341W_mRNA	4995	4836.46	32650	169.01
YDL189W_mRNA	1374	1215.46	1450	29.8665
YLR279W_mRNA	390	232.363	31.4654	3.39018
YHR219C-A_mRNA	483	324.656	0	0
YER056C-A_mRNA	366	208.816	7511.02	900.517
YMR180C_mRNA	963	804.461	698	21.7224
YNL097C_mRNA	993	834.461	624	18.7213
YDR508C_mRNA	1992	1833.46	8329.06	113.731
YHR045W_mRNA	1683	1524.46	1860	30.5459
YML020W_mRNA	1995	1836.46	884	12.0511
YGR251W_mRNA	591	432.491	495	28.6539
YPL197C_mRNA	414	256.038	2353.82	230.157
YBR031W_mRNA	1089	930.461	23632.1	635.86
YDR462W_mRNA	444	285.807	821	71.9164
YPR139C_mRNA	903	744.461	1758	59.1199
YPR169W_mRNA	1479	1320.46	2856	54.1489
YPL257W_mRNA	582	423.491	188	11.114
YOL088C_mRNA	834	675.461	1731	64.1584
YLR075W_mRNA	666	507.461	26762.3	1320.31
YML088W_mRNA	2007	1848.46	2584	34.9976
YIL010W_mRNA	648	489.461	1967	100.61
YBL108C-A_mRNA	129	22.7071	2.42917	2.67826
YDR175C_mRNA	960	801.461	1264	39.484
YLR052W_mRNA	753	594.461	1336	56.2652
YKR004C_mRNA	1134	975.461	239	6.13401
YNL137C_mRNA	1461	1302.46	2332	44.825
YNL331C_mRNA	1131	972.461	619	15.9358
YFL026W_mRNA	1296	1137.46	10379	228.442
YBR116C_mRNA	528	369.532	136.05	9.21732
YJR129C_mRNA	1020	861.461	859	24.964
YKR092C_mRNA	1221	1062.46	3163	74.532
YDR186C_mRNA	2634	2475.46	2829	28.611
YML077W_mRNA	480	321.667	1073	83.5122
YEL067C_mRNA	588	429.491	104	6.06227
YJL139C_mRNA	1287	1128.46	1654	36.6949
YKL002W_mRNA	699	540.461	924	42.802
YGR162W_mRNA	2859	2700.46	16761	155.388
YLR159C-A_mRNA	132	24.1016	765.75	795.423
YDR150W_mRNA	8247	8088.46	6565.23	20.3208
YEL054C_mRNA	498	339.59	10015.2	738.348
YOR392W_mRNA	444	285.807	5	0.43798
YPL009C_mRNA	3117	2958.46	3611	30.5575
YLR025W_mRNA	723	564.461	753	33.3978
YDR243C_mRNA	1767	1608.46	757	11.7826
YGR005C_mRNA	1203	1044.46	1014	24.3054
YOR160W_mRNA	2919	2760.46	2829	25.6571
YLR049C_mRNA	1287	1128.46	1004	22.2743
YLR308W_mRNA	939	780.461	9	0.288701
